SMILES,ADRB2
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.015134382
Oc1nc(c2ccccc2C2CC2)no1,0.15932144
Clc1cc(c2ccccc2C2CC2)no1,0.10634007
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.2560249
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.2560249
OCc1cc(c2ccccc2C2CC2)no1,0.07796515
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.24216625
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.6033559
O[C@H](c1ccccc1C1CC1)C1CNC1,0.6033559
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.3865785
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.3865785
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.10084647
NC1CN(Cc2ccccc2C2CC2)C1,0.1342046
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.061763912
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.044929698
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.15956095
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.15956095
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.29777956
N[C@H](c1ccccc1C1CCC1)C1CC1,0.29777956
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.7942187
O[C@H](c1ccccc1C1CCC1)C1CC1,0.7942187
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.023054136
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.08680458
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.19012198
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.19012198
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.17960575
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.031401075
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.0938319
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.02096251
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.5545854
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.5545854
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.5545854
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.025689539
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.5545854
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.2547514
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.2547514
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.2547514
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.2547514
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.10704468
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.058893148
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.058893148
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.058893148
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.058893148
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.30814514
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.30814514
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.30814514
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.30814514
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.21423522
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.21423522
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.26659617
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.26659617
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.26659617
O[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.26659617
CC1(C#N)CN(Cc2ccccc2C2CC2)C1,0.15695304
NC1=NC[C@@H](c2ccccc2C2CC2)N1,0.033496033
NC1=NC[C@H](c2ccccc2C2CC2)N1,0.033496033
NC1=NC[C@@H](c2ccccc2C2CC2)O1,0.05674873
NC1=NC[C@H](c2ccccc2C2CC2)O1,0.05674873
CC(C)(C)n1cnc(c2ccccc2C2CC2)c1N,0.118497424
N#C[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.040440366
N#C[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.040440366
N#C[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.040440366
N#C[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.040440366
CN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.3226163
CN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.3226163
CC1([C@@H](NN)c2ccccc2C2CCC2)CC1,0.24266243
CC1([C@H](NN)c2ccccc2C2CCC2)CC1,0.24266243
CC1(C)NCC[C@H]1c1ccccc1C1CC1,0.29761487
CC1(C)NCC[C@@H]1c1ccccc1C1CC1,0.29761487
C[C@@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.28157336
C[C@@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.28157336
CC1(C)C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.11059734
CC1(C)C[C@@H]1[C@@H](N)c1ccccc1C1CCC1,0.11059734
CC1(C)C[C@H]1[C@@H](N)c1ccccc1C1CCC1,0.11059734
C[C@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.28157336
C[C@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.28157336
CC1(C)C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.11059734
Cn1c(N)c(c2ccccc2C2CC2)nc1C(C)(C)C,0.055321034
CCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.032655656
CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.038074005
CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.038074005
C[C@@H]1C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.24177764
C[C@@H]1C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.24177764
CC[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.33237538
CC[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.33237538
CC[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.33237538
CC[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.33237538
C[C@@H]1C[C@H]1[C@H](O)c1ccccc1C1CCC1,0.5913013
C[C@@H]1C[C@@H]1[C@H](O)c1ccccc1C1CCC1,0.5913013
C[C@@H]1C[C@H]1[C@H](NN)c1ccccc1C1CCC1,0.20840186
C[C@@H]1C[C@H]1[C@@H](NN)c1ccccc1C1CCC1,0.20840186
C[C@@H]1C[C@@H]1[C@@H](NN)c1ccccc1C1CCC1,0.20840186
C[C@@H]1C[C@@H]1[C@H](NN)c1ccccc1C1CCC1,0.20840186
CCc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.031519234
