SMILES,ALK
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.3764747
Oc1nc(c2ccccc2C2CC2)no1,0.45882902
Clc1cc(c2ccccc2C2CC2)no1,0.4861117
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.35753438
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.35753438
OCc1cc(c2ccccc2C2CC2)no1,0.21564874
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.41641822
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.46566883
O[C@H](c1ccccc1C1CC1)C1CNC1,0.46566883
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.6181431
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.6181431
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.43517467
NC1CN(Cc2ccccc2C2CC2)C1,0.46268353
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.3669663
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.26330158
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.14215586
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.14215586
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.39279693
N[C@H](c1ccccc1C1CCC1)C1CC1,0.39279693
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.4989653
O[C@H](c1ccccc1C1CCC1)C1CC1,0.4989653
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.36791292
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.17335445
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.49562955
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.49562955
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.33999273
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.2767881
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.33548814
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.39035442
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.5925798
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.5925798
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.5925798
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.3264495
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.5925798
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.5914419
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.5914419
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.5914419
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.5914419
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.3207517
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.5467311
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.5467311
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.5467311
