SMILES,ABL1,ACACB,ADRB2,AKT1,AKT2,ALK,AURKB,BACE1,BCL2,BRAF,BRD4,BTK,C5AR1,CASP3,CASP6,CASP7,CASP8,CASR,CCR2,CCR5,CDC7,CDK1,CDK2,CFTR,CLK1,CLK4,CNR1,CNR2,CSF1R,DPP4,DPP8,DPP9,DRD2,DRD3,DRD4,EDNRB,EGFR,EPHB4,ERBB2,ESR1,FFAR1,FGFR1,FLT3,FYN,GRM1,GRM2,GRM3,GRM5,GSK3B,HCK,HDAC1,HDAC2,HDAC4,HDAC6,HDAC8,HRH1,IGF1R,INSR,IRAK4,ITK,JAK1,JAK2,JAK3,KIT,LCK,LIMK1,LYN,MCL1,MERTK,MET,MMP1,MMP12,MMP13,MMP14,MMP3,MMP7,MMP8,MMP9,MTAP,MTOR,NAMPT,NPY1R,NR1H2,NR1H3,NR1H4,NTRK1,PARP1,PDE2A,PDE4A,PDE4B,PDE4D,PDE5A,PDE7A,PDPK1,PIM1,PIM2,PLK1,PNMT,PPARA,PPARD,PPARG,PTAFR,RARA,RARB,RET,ROCK1,ROCK2,RXRA,RXRG,S1PR1,SMO,SPHK1,SRC,TNKS2,TTK,TYK2,TYRO3,WEE1,ZAP70
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.26513195,0.011082785,0.015134382,0.5447366,0.33604237,0.3764747,0.03944427,0.027064335,0.044504218,0.22618309,0.040267207,0.38597873,0.02238851,0.0128935855,0.115308754,0.014025535,0.028265443,0.08397763,0.0077328924,0.002883342,0.144148,0.22555597,0.25740942,0.1428018,0.59180045,0.5830438,0.020082649,0.10755614,0.10632326,0.005531709,0.025023228,0.051737454,0.0060114237,0.12442003,0.23207733,0.016378492,0.80166835,0.22668645,0.3723902,0.038969874,0.040240023,0.30929655,0.530175,0.33264095,0.4342557,0.101199344,0.35214213,0.42677996,0.28999382,0.17907123,0.02112089,0.23226982,0.1268156,0.1203659,0.10442259,0.10103221,0.21851547,0.31531858,0.44785976,0.13665336,0.1467253,0.21353589,0.22460121,0.380001,0.14775887,0.4029439,0.5391025,0.025976945,0.35225433,0.69304156,0.012623006,0.08413791,0.011366112,0.025910301,0.0036839829,0.02483823,0.010112424,0.0035384155,0.3728202,0.10345376,0.04913453,0.0042982036,0.08723649,0.07241298,0.05885958,0.5346251,0.008670955,0.50697744,0.10193783,0.23900937,0.117882624,0.04075156,0.070744835,0.3264505,0.14424947,0.15233968,0.33523113,0.09762026,0.03154706,0.025585108,0.0045933533,0.1444554,0.24987015,0.15916389,0.53478235,0.1908607,0.510979,0.04890315,0.2108057,0.026945718,0.18128787,0.44408444,0.55995405,0.28671178,0.11703298,0.092497036,0.29858008,0.0232718,0.11074597
Oc1nc(c2ccccc2C2CC2)no1,0.03052161,0.15992372,0.15932144,0.033195376,0.0867754,0.45882902,0.10462623,0.25220937,0.116417944,0.102735415,0.26999146,0.264795,0.0790919,0.27217215,0.29298145,0.08057146,0.27328208,0.10126152,0.044149827,0.006106993,0.09657745,0.41836855,0.16580509,0.20636895,0.30992782,0.5000759,0.13965757,0.6303825,0.03666861,0.22385645,0.18880902,0.16513549,0.7868692,0.3306184,0.48493463,0.2294249,0.019237615,0.06515096,0.023339385,0.34342447,0.17877853,0.17924058,0.2866323,0.18525377,0.44885784,0.3720396,0.6301319,0.43736732,0.122152895,0.09874412,0.03426233,0.25333598,0.4062761,0.22383921,0.35753018,0.49548405,0.22759561,0.25898007,0.51239467,0.060461584,0.4313517,0.18073888,0.1862125,0.1277562,0.060043857,0.17786115,0.16606997,0.10336954,0.1769446,0.07133892,0.0040749107,0.12727524,0.0044642966,0.01713213,0.005369162,0.074234806,0.010932032,0.007905557,0.25829184,0.30458283,0.058771506,0.059554446,0.19001785,0.30641413,0.10915556,0.28968897,0.3909329,0.31378955,0.13929638,0.08422188,0.40623197,0.17021784,0.3928583,0.16524631,0.19615437,0.22259179,0.17230034,0.2571825,0.033445742,0.048349757,0.04022968,0.04684653,0.4081345,0.19297896,0.19836,0.0540489,0.091253385,0.1614542,0.3104804,0.4170165,0.6284736,0.46194807,0.021558894,0.42763326,0.098852925,0.14901295,0.61952144,0.10628802,0.21729794
Clc1cc(c2ccccc2C2CC2)no1,0.08790748,0.11481774,0.10634007,0.24467638,0.17898992,0.4861117,0.18206696,0.5368889,0.17252848,0.1487352,0.29469746,0.2680142,0.14945509,0.14303806,0.2682222,0.08443763,0.13635749,0.2537712,0.1339106,0.011864855,0.17680748,0.47525653,0.33730984,0.37613833,0.340261,0.49476096,0.057755686,0.42891535,0.12871765,0.041107643,0.19774164,0.21973029,0.8353647,0.67593694,0.6932541,0.1010539,0.045935795,0.100940265,0.0910233,0.32284382,0.23326354,0.20436564,0.29382002,0.17615744,0.41085595,0.45941234,0.5351934,0.54369247,0.23705034,0.07309216,0.0067516146,0.11500561,0.18701449,0.06531199,0.1995104,0.7656882,0.19574137,0.4337415,0.44520077,0.039856445,0.37487733,0.34684354,0.25995824,0.20159043,0.058147892,0.2216148,0.23019667,0.085217714,0.17343587,0.092230126,0.0037488348,0.14948611,0.0066292263,0.017249057,0.0027563693,0.05488104,0.0070420895,0.002127533,0.1645157,0.095543,0.029452467,0.08218651,0.2776286,0.41572648,0.23641157,0.514231,0.16848962,0.36067513,0.10619708,0.16328923,0.3877455,0.2581563,0.34480006,0.13906997,0.35255235,0.27489978,0.14847013,0.24097057,0.0760027,0.05664546,0.0121570965,0.019813996,0.30049,0.20082648,0.22818758,0.12367469,0.112402946,0.06768524,0.29205847,0.32310003,0.7241635,0.48074257,0.034735154,0.2433255,0.06384148,0.24383,0.55043066,0.13015686,0.25712976
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.075765654,0.17826426,0.2560249,0.13758367,0.12691829,0.35753438,0.050434437,0.15267368,0.13723527,0.032043096,0.32182276,0.2600482,0.28285554,0.08212332,0.39304575,0.20289457,0.24014351,0.3848278,0.13078828,0.091423504,0.1672804,0.47540608,0.25598162,0.38449278,0.36766398,0.5712551,0.06038243,0.27452353,0.081949644,0.2734243,0.20279314,0.12294971,0.9937721,0.8813446,0.87241757,0.32004532,0.59767437,0.15664457,0.30498257,0.25562805,0.42600477,0.093754046,0.24442826,0.24249777,0.42954904,0.5199848,0.6378102,0.25842792,0.25943372,0.1870199,0.11633194,0.25021535,0.30603483,0.27524415,0.3910447,0.8575969,0.35071644,0.30129024,0.38164732,0.13779984,0.3275464,0.29438785,0.3524526,0.10155938,0.07999284,0.27587387,0.2394717,0.14287467,0.18880911,0.053436723,0.066747606,0.30609116,0.03808326,0.09523567,0.11559707,0.27276546,0.15732537,0.07963489,0.32551697,0.07057417,0.102076165,0.15243536,0.2529279,0.25219315,0.119920306,0.22385323,0.082743004,0.3431208,0.118215375,0.18715966,0.5449029,0.18571813,0.4773955,0.2464236,0.19197649,0.17227821,0.245975,0.47927222,0.14031386,0.077723466,0.038698412,0.13824075,0.33368096,0.14295082,0.23472014,0.18097432,0.33781588,0.13267541,0.35170344,0.11363687,0.5427227,0.48472145,0.11790167,0.33897263,0.110428795,0.12664957,0.5631404,0.07921803,0.2703956
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.075765654,0.17826426,0.2560249,0.13758367,0.12691829,0.35753438,0.050434437,0.15267368,0.13723527,0.032043096,0.32182276,0.2600482,0.28285554,0.08212332,0.39304575,0.20289457,0.24014351,0.3848278,0.13078828,0.091423504,0.1672804,0.47540608,0.25598162,0.38449278,0.36766398,0.5712551,0.06038243,0.27452353,0.081949644,0.2734243,0.20279314,0.12294971,0.9937721,0.8813446,0.87241757,0.32004532,0.59767437,0.15664457,0.30498257,0.25562805,0.42600477,0.093754046,0.24442826,0.24249777,0.42954904,0.5199848,0.6378102,0.25842792,0.25943372,0.1870199,0.11633194,0.25021535,0.30603483,0.27524415,0.3910447,0.8575969,0.35071644,0.30129024,0.38164732,0.13779984,0.3275464,0.29438785,0.3524526,0.10155938,0.07999284,0.27587387,0.2394717,0.14287467,0.18880911,0.053436723,0.066747606,0.30609116,0.03808326,0.09523567,0.11559707,0.27276546,0.15732537,0.07963489,0.32551697,0.07057417,0.102076165,0.15243536,0.2529279,0.25219315,0.119920306,0.22385323,0.082743004,0.3431208,0.118215375,0.18715966,0.5449029,0.18571813,0.4773955,0.2464236,0.19197649,0.17227821,0.245975,0.47927222,0.14031386,0.077723466,0.038698412,0.13824075,0.33368096,0.14295082,0.23472014,0.18097432,0.33781588,0.13267541,0.35170344,0.11363687,0.5427227,0.48472145,0.11790167,0.33897263,0.110428795,0.12664957,0.5631404,0.07921803,0.2703956
OCc1cc(c2ccccc2C2CC2)no1,0.046736963,0.038932506,0.07796515,0.07061952,0.117250904,0.21564874,0.2338466,0.123550385,0.21427299,0.16754548,0.16075753,0.2864945,0.2075672,0.07658637,0.28692755,0.08981721,0.13892649,0.13656594,0.07398339,0.0029735183,0.13810539,0.70400935,0.6270965,0.30818188,0.296753,0.43288743,0.015309437,0.058568873,0.08679087,0.02221124,0.14978856,0.11983669,0.3738171,0.32161885,0.3353128,0.22411963,0.0325493,0.056993656,0.06600424,0.1737329,0.27270758,0.25574195,0.30157954,0.14862639,0.48227715,0.26527694,0.5339541,0.33590314,0.19326562,0.048539873,0.10507865,0.16830347,0.29033175,0.2882862,0.4298019,0.37274006,0.18768036,0.31124243,0.47309577,0.035362612,0.36967722,0.1723339,0.12813677,0.21779595,0.016709428,0.23652229,0.1409378,0.10128523,0.16267823,0.011053083,0.006195788,0.23740956,0.01116996,0.03263369,0.0060115005,0.07546917,0.0128683625,0.004264456,0.26104206,0.021280251,0.037860576,0.07832984,0.17528276,0.11283151,0.082575254,0.48490506,0.0988553,0.35337365,0.049873248,0.14423233,0.32058063,0.17075019,0.24153137,0.16181004,0.22332719,0.21066791,0.18588859,0.24719685,0.04576938,0.040180787,0.016869126,0.013489275,0.31503347,0.30266887,0.15635455,0.13741215,0.08581475,0.097654104,0.28579605,0.41487926,0.4949203,0.5040116,0.06286788,0.21245359,0.05358677,0.13255982,0.54651105,0.14086947,0.25379273
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.027875561,0.057255384,0.24216625,0.23859286,0.34588262,0.41641822,0.24381413,0.09694527,0.09382148,0.20610808,0.1229064,0.27529585,0.14632782,0.07587335,0.33265755,0.07463607,0.20280631,0.23763028,0.02638775,0.02810525,0.23689964,0.85653025,0.6321049,0.40575743,0.38332587,0.4203223,0.38327348,0.2888987,0.062010024,0.3749672,0.2345471,0.19205397,0.8251855,0.5956474,0.25978526,0.1708178,0.010428766,0.08163912,0.034608427,0.17538688,0.20289586,0.20171574,0.40795913,0.15975688,0.5670936,0.19594799,0.5083814,0.28298005,0.26625,0.07679059,0.02795668,0.14226806,0.1418377,0.14342004,0.25648385,0.8191167,0.24441786,0.16776535,0.46228972,0.12445528,0.72509235,0.690936,0.38281006,0.09430954,0.015423342,0.3176934,0.30049685,0.057577237,0.21476486,0.044481993,0.034560565,0.26453155,0.06981877,0.08573092,0.03625466,0.0747474,0.11675629,0.047976512,0.37921688,0.21781757,0.057476044,0.07341326,0.183003,0.14520897,0.06061709,0.49921045,0.25604847,0.42912227,0.08467533,0.26743132,0.35457456,0.53413844,0.30837262,0.20463476,0.19828793,0.32381624,0.28263775,0.31633306,0.02521158,0.018712014,0.045087516,0.14197657,0.29619563,0.20001765,0.33831266,0.118753865,0.34698123,0.0651617,0.25088918,0.1514377,0.5418369,0.45980436,0.05499255,0.26394054,0.078598015,0.24000916,0.6353134,0.0999406,0.21564385
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.03071321,0.08643686,0.6033559,0.15658674,0.104146756,0.46566883,0.1257896,0.059425373,0.09228135,0.045327492,0.17666712,0.22604144,0.31049657,0.03012657,0.16375369,0.07348945,0.13790548,0.35013705,0.42850703,0.19738898,0.22759853,0.40249616,0.49420005,0.25403506,0.2778881,0.43259478,0.06760762,0.059694007,0.04729169,0.14352874,0.21965826,0.12458456,0.8293533,0.7938764,0.5721113,0.11649494,0.16173604,0.057402913,0.079691075,0.16319478,0.20890813,0.07534788,0.12986682,0.21421875,0.29080972,0.37362477,0.55168265,0.016667541,0.058535714,0.14770047,0.009937573,0.1619563,0.33283892,0.11377129,0.21498004,0.91256803,0.24621098,0.26787174,0.57057583,0.3183764,0.60968983,0.31477135,0.2862119,0.03330529,0.08567886,0.24497984,0.21838492,0.15155485,0.21568973,0.013263174,0.03771942,0.20536052,0.0154466545,0.06234936,0.027859135,0.17071755,0.0686254,0.014450623,0.259212,0.0982917,0.046830997,0.46565983,0.19267012,0.13589437,0.24889262,0.4170146,0.26357782,0.4098357,0.07719718,0.0277688,0.18395835,0.010715927,0.5858198,0.1900859,0.23179413,0.23769283,0.27352658,0.7071341,0.010864743,0.020153265,0.01991494,0.15487553,0.32548606,0.13081765,0.16027932,0.14301586,0.28915662,0.088442296,0.29008272,0.08050379,0.26552737,0.38834542,0.021783488,0.23012896,0.08469793,0.22238745,0.48239505,0.081372894,0.16080089
O[C@H](c1ccccc1C1CC1)C1CNC1,0.03071321,0.08643686,0.6033559,0.15658674,0.104146756,0.46566883,0.1257896,0.059425373,0.09228135,0.045327492,0.17666712,0.22604144,0.31049657,0.03012657,0.16375369,0.07348945,0.13790548,0.35013705,0.42850703,0.19738898,0.22759853,0.40249616,0.49420005,0.25403506,0.2778881,0.43259478,0.06760762,0.059694007,0.04729169,0.14352874,0.21965826,0.12458456,0.8293533,0.7938764,0.5721113,0.11649494,0.16173604,0.057402913,0.079691075,0.16319478,0.20890813,0.07534788,0.12986682,0.21421875,0.29080972,0.37362477,0.55168265,0.016667541,0.058535714,0.14770047,0.009937573,0.1619563,0.33283892,0.11377129,0.21498004,0.91256803,0.24621098,0.26787174,0.57057583,0.3183764,0.60968983,0.31477135,0.2862119,0.03330529,0.08567886,0.24497984,0.21838492,0.15155485,0.21568973,0.013263174,0.03771942,0.20536052,0.0154466545,0.06234936,0.027859135,0.17071755,0.0686254,0.014450623,0.259212,0.0982917,0.046830997,0.46565983,0.19267012,0.13589437,0.24889262,0.4170146,0.26357782,0.4098357,0.07719718,0.0277688,0.18395835,0.010715927,0.5858198,0.1900859,0.23179413,0.23769283,0.27352658,0.7071341,0.010864743,0.020153265,0.01991494,0.15487553,0.32548606,0.13081765,0.16027932,0.14301586,0.28915662,0.088442296,0.29008272,0.08050379,0.26552737,0.38834542,0.021783488,0.23012896,0.08469793,0.22238745,0.48239505,0.081372894,0.16080089
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.058887437,0.10646547,0.3865785,0.06175019,0.09633602,0.6181431,0.09536752,0.05484532,0.16829795,0.13707322,0.19618165,0.29185975,0.24975143,0.055425834,0.20430586,0.10072783,0.1997891,0.30745873,0.09222134,0.021137971,0.41489607,0.45914534,0.35410783,0.34120643,0.4090862,0.5389636,0.01926743,0.052837282,0.057115834,0.30018684,0.3070929,0.25790527,0.99466276,0.9392647,0.9321358,0.15195556,0.37004364,0.0995604,0.1986299,0.3484533,0.25362048,0.14601743,0.32175556,0.18142028,0.49574664,0.4248616,0.68330115,0.14922701,0.17358235,0.15297553,0.017509263,0.15141854,0.31661528,0.19683295,0.36958775,0.92200065,0.28758544,0.25803187,0.5990971,0.12218632,0.48435113,0.5213437,0.39521244,0.07127333,0.15548715,0.2603602,0.2814514,0.14171316,0.16780023,0.08443195,0.02762777,0.24950767,0.09494376,0.09160653,0.076927766,0.125262,0.086367466,0.051662695,0.29732838,0.09136873,0.07855729,0.5443344,0.32847962,0.19470933,0.07762247,0.393194,0.44082066,0.38778207,0.118891165,0.10633554,0.47025862,0.14317551,0.4528532,0.27798507,0.28412372,0.2184771,0.07986913,0.680128,0.04074228,0.015069534,0.0089021195,0.13965717,0.4192582,0.097176306,0.17417873,0.14283544,0.23448534,0.20422255,0.49745232,0.05277706,0.33557972,0.54691154,0.08828209,0.45030257,0.071362354,0.18494259,0.5931005,0.1383581,0.18895467
