SMILES,BACE1
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.027064335
Oc1nc(c2ccccc2C2CC2)no1,0.25220937
Clc1cc(c2ccccc2C2CC2)no1,0.5368889
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.15267368
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.15267368
OCc1cc(c2ccccc2C2CC2)no1,0.123550385
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.09694527
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.059425373
O[C@H](c1ccccc1C1CC1)C1CNC1,0.059425373
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.05484532
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.05484532
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.06380258
NC1CN(Cc2ccccc2C2CC2)C1,0.09376018
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.10945467
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.25412333
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.1732649
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.1732649
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.08440406
N[C@H](c1ccccc1C1CCC1)C1CC1,0.08440406
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.07061017
O[C@H](c1ccccc1C1CCC1)C1CC1,0.07061017
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.07839129
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.11973686
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.6317345
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.6317345
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.063749574
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.12373123
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.24948965
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.15474808
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.053051826
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.053051826
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.053051826
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.05998451
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.053051826
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.036201235
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.036201235
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.036201235
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.036201235
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.16332789
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.17464508
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.17464508
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.17464508
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.17464508
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.055224977
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.055224977
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.055224977
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.055224977
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.33107507
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.33107507
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.053323608
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.053323608
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.053323608
O[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.053323608
CC1(C#N)CN(Cc2ccccc2C2CC2)C1,0.041591145
NC1=NC[C@@H](c2ccccc2C2CC2)N1,0.122336835
NC1=NC[C@H](c2ccccc2C2CC2)N1,0.122336835
NC1=NC[C@@H](c2ccccc2C2CC2)O1,0.31316635
NC1=NC[C@H](c2ccccc2C2CC2)O1,0.31316635
CC(C)(C)n1cnc(c2ccccc2C2CC2)c1N,0.037528653
N#C[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.03765022
N#C[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.03765022
N#C[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.03765022
N#C[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.03765022
CN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.15403432
CN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.15403432
CC1([C@@H](NN)c2ccccc2C2CCC2)CC1,0.087891735
CC1([C@H](NN)c2ccccc2C2CCC2)CC1,0.087891735
CC1(C)NCC[C@H]1c1ccccc1C1CC1,0.1863923
CC1(C)NCC[C@@H]1c1ccccc1C1CC1,0.1863923
C[C@@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.18822932
C[C@@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.18822932
CC1(C)C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.06759716
CC1(C)C[C@@H]1[C@@H](N)c1ccccc1C1CCC1,0.06759716
CC1(C)C[C@H]1[C@@H](N)c1ccccc1C1CCC1,0.06759716
C[C@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.18822932
C[C@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.18822932
CC1(C)C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.06759716
Cn1c(N)c(c2ccccc2C2CC2)nc1C(C)(C)C,0.081816204
CCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.16803092
CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.6544653
CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.6544653
C[C@@H]1C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.14764947
C[C@@H]1C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.14764947
CC[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.029371386
CC[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.029371386
CC[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.029371386
CC[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.029371386
C[C@@H]1C[C@H]1[C@H](O)c1ccccc1C1CCC1,0.24986514
C[C@@H]1C[C@@H]1[C@H](O)c1ccccc1C1CCC1,0.24986514
C[C@@H]1C[C@H]1[C@H](NN)c1ccccc1C1CCC1,0.12522404
C[C@@H]1C[C@H]1[C@@H](NN)c1ccccc1C1CCC1,0.12522404
C[C@@H]1C[C@@H]1[C@@H](NN)c1ccccc1C1CCC1,0.12522404
C[C@@H]1C[C@@H]1[C@H](NN)c1ccccc1C1CCC1,0.12522404
CCc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.13404623
CCCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.14902072
CC[C@@H]1N[C@H](C)C[C@H]1c1ccccc1C1CC1,0.093308866
CC(C)(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.1694712
CC(C)c1onc(c2ccccc2C2CC2)c1C(=O)O,0.070902914
Cc1nc(c2ccccc2C2CC2)c(N)n1CC(C)C,0.15455197
OC[C@@H]1CC(=NO1)c1ccccc1C1CC1,0.092425294
OC[C@H]1CC(=NO1)c1ccccc1C1CC1,0.092425294
NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.30830523
NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.30830523
NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.30830523
NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.30830523
CCCc1onc(c2ccccc2C2CC2)c1C(=O)O,0.03622367
