SMILES,BCL2
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.044504218
Oc1nc(c2ccccc2C2CC2)no1,0.116417944
Clc1cc(c2ccccc2C2CC2)no1,0.17252848
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.13723527
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.13723527
OCc1cc(c2ccccc2C2CC2)no1,0.21427299
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.09382148
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.09228135
O[C@H](c1ccccc1C1CC1)C1CNC1,0.09228135
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.16829795
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.16829795
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.08304353
NC1CN(Cc2ccccc2C2CC2)C1,0.13471231
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.14401406
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.09305566
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.107668124
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.107668124
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.15440726
N[C@H](c1ccccc1C1CCC1)C1CC1,0.15440726
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.16025877
O[C@H](c1ccccc1C1CCC1)C1CC1,0.16025877
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.09325527
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.13090484
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.10775736
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.10775736
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.29132324
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.10144107
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.2507596
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.089720055
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.10401689
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.10401689
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.10401689
