SMILES,CASR
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.08397763
Oc1nc(c2ccccc2C2CC2)no1,0.10126152
Clc1cc(c2ccccc2C2CC2)no1,0.2537712
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.3848278
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.3848278
OCc1cc(c2ccccc2C2CC2)no1,0.13656594
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.23763028
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.35013705
O[C@H](c1ccccc1C1CC1)C1CNC1,0.35013705
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.30745873
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.30745873
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.10330773
NC1CN(Cc2ccccc2C2CC2)C1,0.3087695
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.23908164
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.2368572
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.091693915
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.091693915
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.18197924
N[C@H](c1ccccc1C1CCC1)C1CC1,0.18197924
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.3574437
O[C@H](c1ccccc1C1CCC1)C1CC1,0.3574437
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.25523046
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.13037993
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.13474439
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.13474439
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.36835563
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.22759125
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.37434703
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.062208485
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.2168535
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.2168535
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.2168535
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.16999842
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.2168535
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.1502805
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.1502805
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.1502805
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.1502805
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.16291277
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.297731
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.297731
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.297731
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.297731
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.26558417
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.26558417
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.26558417
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.26558417
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.12807421
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.12807421
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.18541054
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.18541054
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.18541054
O[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.18541054
CC1(C#N)CN(Cc2ccccc2C2CC2)C1,0.32467937
NC1=NC[C@@H](c2ccccc2C2CC2)N1,0.17116354
NC1=NC[C@H](c2ccccc2C2CC2)N1,0.17116354
NC1=NC[C@@H](c2ccccc2C2CC2)O1,0.1671084
NC1=NC[C@H](c2ccccc2C2CC2)O1,0.1671084
CC(C)(C)n1cnc(c2ccccc2C2CC2)c1N,0.15979236
N#C[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.1868914
N#C[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.1868914
N#C[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.1868914
N#C[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.1868914
