SMILES,CDC7
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.144148
Oc1nc(c2ccccc2C2CC2)no1,0.09657745
Clc1cc(c2ccccc2C2CC2)no1,0.17680748
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.1672804
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.1672804
OCc1cc(c2ccccc2C2CC2)no1,0.13810539
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.23689964
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.22759853
O[C@H](c1ccccc1C1CC1)C1CNC1,0.22759853
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.41489607
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.41489607
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.22564706
NC1CN(Cc2ccccc2C2CC2)C1,0.16089779
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.11320654
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.08987712
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.13738003
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.13738003
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.3713763
N[C@H](c1ccccc1C1CCC1)C1CC1,0.3713763
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.24071598
O[C@H](c1ccccc1C1CCC1)C1CC1,0.24071598
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.10408986
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.04961792
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.2741864
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.2741864
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.1806121
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.08887173
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.11902666
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.08621045
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.25365132
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.25365132
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.25365132
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.1309909
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.25365132
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.13852216
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.13852216
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.13852216
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.13852216
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.10786882
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.33506128
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.33506128
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.33506128
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.33506128
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.26771754
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.26771754
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.26771754
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.26771754
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.13498521
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.13498521
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.36707282
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.36707282
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.36707282
O[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.36707282
CC1(C#N)CN(Cc2ccccc2C2CC2)C1,0.04996174
NC1=NC[C@@H](c2ccccc2C2CC2)N1,0.26736668
NC1=NC[C@H](c2ccccc2C2CC2)N1,0.26736668
NC1=NC[C@@H](c2ccccc2C2CC2)O1,0.19811414
NC1=NC[C@H](c2ccccc2C2CC2)O1,0.19811414
CC(C)(C)n1cnc(c2ccccc2C2CC2)c1N,0.09096506
N#C[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.2752559
N#C[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.2752559
N#C[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.2752559
N#C[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.2752559
CN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.14437686
CN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.14437686
CC1([C@@H](NN)c2ccccc2C2CCC2)CC1,0.14054592
CC1([C@H](NN)c2ccccc2C2CCC2)CC1,0.14054592
CC1(C)NCC[C@H]1c1ccccc1C1CC1,0.15586527
CC1(C)NCC[C@@H]1c1ccccc1C1CC1,0.15586527
C[C@@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.19897315
C[C@@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.19897315
CC1(C)C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.13485974
CC1(C)C[C@@H]1[C@@H](N)c1ccccc1C1CCC1,0.13485974
CC1(C)C[C@H]1[C@@H](N)c1ccccc1C1CCC1,0.13485974
C[C@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.19897315
C[C@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.19897315
CC1(C)C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.13485974
Cn1c(N)c(c2ccccc2C2CC2)nc1C(C)(C)C,0.15901013
CCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.13836293
CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.09036513
CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.09036513
C[C@@H]1C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.15274727
C[C@@H]1C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.15274727
CC[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.11614043
CC[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.11614043
CC[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.11614043
CC[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.11614043
C[C@@H]1C[C@H]1[C@H](O)c1ccccc1C1CCC1,0.16360316
C[C@@H]1C[C@@H]1[C@H](O)c1ccccc1C1CCC1,0.16360316
C[C@@H]1C[C@H]1[C@H](NN)c1ccccc1C1CCC1,0.17874567
C[C@@H]1C[C@H]1[C@@H](NN)c1ccccc1C1CCC1,0.17874567
C[C@@H]1C[C@@H]1[C@@H](NN)c1ccccc1C1CCC1,0.17874567
C[C@@H]1C[C@@H]1[C@H](NN)c1ccccc1C1CCC1,0.17874567
CCc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.114484295
CCCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.06236789
CC[C@@H]1N[C@H](C)C[C@H]1c1ccccc1C1CC1,0.21125701
CC(C)(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.12594707
CC(C)c1onc(c2ccccc2C2CC2)c1C(=O)O,0.08084142
Cc1nc(c2ccccc2C2CC2)c(N)n1CC(C)C,0.116075635
OC[C@@H]1CC(=NO1)c1ccccc1C1CC1,0.11774522
OC[C@H]1CC(=NO1)c1ccccc1C1CC1,0.11774522
NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.2105337
NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.2105337
NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.2105337
NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.2105337
CCCc1onc(c2ccccc2C2CC2)c1C(=O)O,0.060556617
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.11527184
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)(C)C,0.08106513
CN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.07992724
CN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.07992724
CCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.1079267
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.07104599
CCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.07855773
CCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.07855773
COCCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.045274336
COCCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.045274336
CC(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.069749765
CC(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.069749765
CC1(C)C([C@@H](N)c2ccccc2C2CCC2)C1(C)C,0.17254356
CC1(C)C([C@H](N)c2ccccc2C2CCC2)C1(C)C,0.17254356
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.07216011
