SMILES,CFTR
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.1428018
Oc1nc(c2ccccc2C2CC2)no1,0.20636895
Clc1cc(c2ccccc2C2CC2)no1,0.37613833
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.38449278
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.38449278
OCc1cc(c2ccccc2C2CC2)no1,0.30818188
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.40575743
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.25403506
O[C@H](c1ccccc1C1CC1)C1CNC1,0.25403506
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.34120643
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.34120643
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.32461238
NC1CN(Cc2ccccc2C2CC2)C1,0.2042466
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.3252962
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.2613619
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.20574807
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.20574807
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.40053228
N[C@H](c1ccccc1C1CCC1)C1CC1,0.40053228
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.39281315
O[C@H](c1ccccc1C1CCC1)C1CC1,0.39281315
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.16380857
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.3452135
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.20608966
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.20608966
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.3022114
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.2177054
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.19717592
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.14603272
