SMILES,CLK4
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.5830438
Oc1nc(c2ccccc2C2CC2)no1,0.5000759
Clc1cc(c2ccccc2C2CC2)no1,0.49476096
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.5712551
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.5712551
OCc1cc(c2ccccc2C2CC2)no1,0.43288743
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.4203223
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.43259478
O[C@H](c1ccccc1C1CC1)C1CNC1,0.43259478
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.5389636
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.5389636
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.40874395
NC1CN(Cc2ccccc2C2CC2)C1,0.46855888
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.30525002
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.3693645
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.51678735
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.51678735
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.5339144
N[C@H](c1ccccc1C1CCC1)C1CC1,0.5339144
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.49721313
O[C@H](c1ccccc1C1CCC1)C1CC1,0.49721313
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.31300303
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.3284547
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.5567593
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.5567593
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.40853274
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.34324446
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.45508686
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.3524051
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.46862614
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.46862614
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.46862614
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.35921985
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.46862614
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.566979
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.566979
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.566979
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.566979
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.30254215
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.5236574
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.5236574
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.5236574
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.5236574
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.48637575
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.48637575
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.48637575
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.48637575
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.5038075
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.5038075
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.4781896
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.4781896
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.4781896
O[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.4781896
CC1(C#N)CN(Cc2ccccc2C2CC2)C1,0.4747391
NC1=NC[C@@H](c2ccccc2C2CC2)N1,0.5256977
NC1=NC[C@H](c2ccccc2C2CC2)N1,0.5256977
NC1=NC[C@@H](c2ccccc2C2CC2)O1,0.5417783
NC1=NC[C@H](c2ccccc2C2CC2)O1,0.5417783
CC(C)(C)n1cnc(c2ccccc2C2CC2)c1N,0.41742024
N#C[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.5753272
N#C[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.5753272
N#C[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.5753272
N#C[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.5753272
CN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.4741729
CN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.4741729
CC1([C@@H](NN)c2ccccc2C2CCC2)CC1,0.51008743
CC1([C@H](NN)c2ccccc2C2CCC2)CC1,0.51008743
CC1(C)NCC[C@H]1c1ccccc1C1CC1,0.5179982
CC1(C)NCC[C@@H]1c1ccccc1C1CC1,0.5179982
C[C@@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.48315147
C[C@@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.48315147
CC1(C)C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.46830356
CC1(C)C[C@@H]1[C@@H](N)c1ccccc1C1CCC1,0.46830356
CC1(C)C[C@H]1[C@@H](N)c1ccccc1C1CCC1,0.46830356
C[C@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.48315147
C[C@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.48315147
CC1(C)C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.46830356
Cn1c(N)c(c2ccccc2C2CC2)nc1C(C)(C)C,0.35689732
CCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.35695395
CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.5383018
CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.5383018
C[C@@H]1C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.4932908
C[C@@H]1C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.4932908
CC[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.530096
CC[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.530096
CC[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.530096
CC[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.530096
C[C@@H]1C[C@H]1[C@H](O)c1ccccc1C1CCC1,0.42466995
C[C@@H]1C[C@@H]1[C@H](O)c1ccccc1C1CCC1,0.42466995
C[C@@H]1C[C@H]1[C@H](NN)c1ccccc1C1CCC1,0.45441756
C[C@@H]1C[C@H]1[C@@H](NN)c1ccccc1C1CCC1,0.45441756
C[C@@H]1C[C@@H]1[C@@H](NN)c1ccccc1C1CCC1,0.45441756
C[C@@H]1C[C@@H]1[C@H](NN)c1ccccc1C1CCC1,0.45441756
CCc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.28688225
CCCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.31177142
CC[C@@H]1N[C@H](C)C[C@H]1c1ccccc1C1CC1,0.5193194
CC(C)(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.42743132
CC(C)c1onc(c2ccccc2C2CC2)c1C(=O)O,0.38718572
Cc1nc(c2ccccc2C2CC2)c(N)n1CC(C)C,0.32252118
OC[C@@H]1CC(=NO1)c1ccccc1C1CC1,0.40551627
OC[C@H]1CC(=NO1)c1ccccc1C1CC1,0.40551627
NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.56878793
NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.56878793
NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.56878793
NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.56878793
CCCc1onc(c2ccccc2C2CC2)c1C(=O)O,0.37175924
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.29160982
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)(C)C,0.33060583
CN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.5661563
CN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.5661563
CCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.27938792
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.28434682
CCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.46773383
CCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.46773383
COCCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.49863392
COCCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.49863392
CC(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.40908828
CC(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.40908828
CC1(C)C([C@@H](N)c2ccccc2C2CCC2)C1(C)C,0.49727237
CC1(C)C([C@H](N)c2ccccc2C2CCC2)C1(C)C,0.49727237
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.24741662
CC[C@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.529996
CC[C@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.529996
CC[C@@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.529996
CC[C@@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.529996
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@@H]1C,0.4100075
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.4100075
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@@H]1C,0.4100075
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.4100075
C[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.4764751
C[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.4764751
C[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.4764751
C[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.4764751
CCCN[C@@H](c1ccccc1C1CCC1)C1(C)CC1,0.44822508
CCCN[C@H](c1ccccc1C1CCC1)C1(C)CC1,0.44822508
NS(=O)(=O)c1c(C(F)(F)F)ccc(C2CC2)c1c1nn[nH]n1,0.33645597
CC(C)Cc1onc(c2ccccc2C2CC2)c1C(=O)O,0.3886518
CCOc1cc(C=O)cc(C2CC2)c1C1CCCC1,0.55527717
C[C@@]1(C(=O)N)C[N@H+](Cc2ccccc2C2CC2)C1,0.45892563
CC(C)CN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.3863375
CC(C)CN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.3863375
CC(C)N1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.51048064
CC(C)N1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.51048064
CC(C)N1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.51048064
CC(C)N1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.51048064
CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.47747606
CCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.51054347
CCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.51054347
CCCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.25152764
C=CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.35322258
CCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.4685874
CCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.4685874
CCCN1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.44486108
CCCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.44486108
CCCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.44486108
CCCN1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.44486108
NN[C@@H](c1ccccc1C1CCC1)C1CC1,0.48576185
NN[C@H](c1ccccc1C1CCC1)C1CC1,0.48576185
CC(C)CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.3953115
CC(C)CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.3953115
CC(C)CN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.3953115
CC(C)CN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.3953115
CCOc1cc(C2CCC2)c(C2CC2)cc1CO,0.5947778
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1CO,0.51167005
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.25407115
CN(C)CCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.42371944
CN(C)CCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.42371944
CCOc1cc(C=O)cc(C2CC2)c1C1CCC1,0.57022685
CC1(OCC(=O)O)CN(Cc2ccccc2C2CC2)C1,0.35848033
CC(C)Oc1cc(C2CCC2)c(C2CC2)cc1C=O,0.5101269
CCCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.4170784
CCCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.4170784
CCCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.4170784
CCCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.4170784
CCCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.314741
CCOc1cc(C2CCC2)c(C2CC2)cc1C=O,0.5976981
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1C=O,0.49493805
CCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.540892
CCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.540892
CCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.540892
CCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.540892
CC(C)(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.4688388
CC(C)(C)N1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.4688388
CC(C)(C)N1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.4688388
CC(C)(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.4688388
