SMILES,CSF1R
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.10632326
Oc1nc(c2ccccc2C2CC2)no1,0.03666861
Clc1cc(c2ccccc2C2CC2)no1,0.12871765
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.081949644
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.081949644
OCc1cc(c2ccccc2C2CC2)no1,0.08679087
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.062010024
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.04729169
O[C@H](c1ccccc1C1CC1)C1CNC1,0.04729169
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.057115834
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.057115834
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.13263148
NC1CN(Cc2ccccc2C2CC2)C1,0.058384664
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.031846277
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.024065025
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.09546317
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.09546317
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.052817695
N[C@H](c1ccccc1C1CCC1)C1CC1,0.052817695
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.055017445
O[C@H](c1ccccc1C1CCC1)C1CC1,0.055017445
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.03743898
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.026088068
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.05202571
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.05202571
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.033112668
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.02925268
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.02952898
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.025744552
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.054636527
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.054636527
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.054636527
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.035355233
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.054636527
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.11742139
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.11742139
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.11742139
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.11742139
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.018853001
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.034653723
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.034653723
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.034653723
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.034653723
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.12091632
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.12091632
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.12091632
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.12091632
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.06701865
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.06701865
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.05294524
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.05294524
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.05294524
O[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.05294524
CC1(C#N)CN(Cc2ccccc2C2CC2)C1,0.10577737
NC1=NC[C@@H](c2ccccc2C2CC2)N1,0.06816794
NC1=NC[C@H](c2ccccc2C2CC2)N1,0.06816794
NC1=NC[C@@H](c2ccccc2C2CC2)O1,0.040407673
NC1=NC[C@H](c2ccccc2C2CC2)O1,0.040407673
CC(C)(C)n1cnc(c2ccccc2C2CC2)c1N,0.041263066
N#C[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.06363626
N#C[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.06363626
N#C[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.06363626
N#C[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.06363626
CN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.085793875
CN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.085793875
CC1([C@@H](NN)c2ccccc2C2CCC2)CC1,0.05405161
CC1([C@H](NN)c2ccccc2C2CCC2)CC1,0.05405161
CC1(C)NCC[C@H]1c1ccccc1C1CC1,0.07131564
CC1(C)NCC[C@@H]1c1ccccc1C1CC1,0.07131564
C[C@@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.10676779
C[C@@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.10676779
CC1(C)C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.050011553
CC1(C)C[C@@H]1[C@@H](N)c1ccccc1C1CCC1,0.050011553
CC1(C)C[C@H]1[C@@H](N)c1ccccc1C1CCC1,0.050011553
C[C@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.10676779
C[C@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.10676779
CC1(C)C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.050011553
Cn1c(N)c(c2ccccc2C2CC2)nc1C(C)(C)C,0.057781324
CCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.025056027
CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.068809666
CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.068809666
C[C@@H]1C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.048520897
C[C@@H]1C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.048520897
CC[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.050361834
CC[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.050361834
CC[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.050361834
CC[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.050361834
C[C@@H]1C[C@H]1[C@H](O)c1ccccc1C1CCC1,0.040753495
C[C@@H]1C[C@@H]1[C@H](O)c1ccccc1C1CCC1,0.040753495
C[C@@H]1C[C@H]1[C@H](NN)c1ccccc1C1CCC1,0.08526521
C[C@@H]1C[C@H]1[C@@H](NN)c1ccccc1C1CCC1,0.08526521
C[C@@H]1C[C@@H]1[C@@H](NN)c1ccccc1C1CCC1,0.08526521
C[C@@H]1C[C@@H]1[C@H](NN)c1ccccc1C1CCC1,0.08526521
CCc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.027701262
CCCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.0315858
CC[C@@H]1N[C@H](C)C[C@H]1c1ccccc1C1CC1,0.040882625
CC(C)(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.042156547
CC(C)c1onc(c2ccccc2C2CC2)c1C(=O)O,0.046717603
Cc1nc(c2ccccc2C2CC2)c(N)n1CC(C)C,0.036647648
OC[C@@H]1CC(=NO1)c1ccccc1C1CC1,0.044106472
OC[C@H]1CC(=NO1)c1ccccc1C1CC1,0.044106472
NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.024486031
NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.024486031
NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.024486031
NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.024486031
CCCc1onc(c2ccccc2C2CC2)c1C(=O)O,0.034121905
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.033476286
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)(C)C,0.027783513
CN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.09880952
CN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.09880952
CCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.02208849
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.01617947
CCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.03976811
CCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.03976811
COCCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.08787231
COCCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.08787231
CC(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.06373158
CC(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.06373158
CC1(C)C([C@@H](N)c2ccccc2C2CCC2)C1(C)C,0.03919495
CC1(C)C([C@H](N)c2ccccc2C2CCC2)C1(C)C,0.03919495
