SMILES,DPP9
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.051737454
Oc1nc(c2ccccc2C2CC2)no1,0.16513549
Clc1cc(c2ccccc2C2CC2)no1,0.21973029
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.12294971
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.12294971
OCc1cc(c2ccccc2C2CC2)no1,0.11983669
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.19205397
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.12458456
O[C@H](c1ccccc1C1CC1)C1CNC1,0.12458456
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.25790527
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.25790527
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.14637968
NC1CN(Cc2ccccc2C2CC2)C1,0.18270312
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.2986557
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.25141042
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.34306172
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.34306172
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.35436454
N[C@H](c1ccccc1C1CCC1)C1CC1,0.35436454
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.20498855
O[C@H](c1ccccc1C1CCC1)C1CC1,0.20498855
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.18515871
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.20986709
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.080837615
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.080837615
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.23197946
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.21401691
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.19239756
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.13605067
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.36765522
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.36765522
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.36765522
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.24040543
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.36765522
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.13667496
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.13667496
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.13667496
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.13667496
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.28912866
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.16056183
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.16056183
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.16056183
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.16056183
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.23491769
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.23491769
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.23491769
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.23491769
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.37461776
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.37461776
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.33611473
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.33611473
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.33611473
O[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.33611473
CC1(C#N)CN(Cc2ccccc2C2CC2)C1,0.38290748
NC1=NC[C@@H](c2ccccc2C2CC2)N1,0.108123295
NC1=NC[C@H](c2ccccc2C2CC2)N1,0.108123295
NC1=NC[C@@H](c2ccccc2C2CC2)O1,0.17197223
NC1=NC[C@H](c2ccccc2C2CC2)O1,0.17197223
CC(C)(C)n1cnc(c2ccccc2C2CC2)c1N,0.28013933
N#C[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.2212445
N#C[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.2212445
N#C[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.2212445
N#C[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.2212445
CN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.11657524
CN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.11657524
CC1([C@@H](NN)c2ccccc2C2CCC2)CC1,0.1515225
CC1([C@H](NN)c2ccccc2C2CCC2)CC1,0.1515225
CC1(C)NCC[C@H]1c1ccccc1C1CC1,0.14322346
CC1(C)NCC[C@@H]1c1ccccc1C1CC1,0.14322346
C[C@@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.15637028
C[C@@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.15637028
CC1(C)C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.22786143
CC1(C)C[C@@H]1[C@@H](N)c1ccccc1C1CCC1,0.22786143
CC1(C)C[C@H]1[C@@H](N)c1ccccc1C1CCC1,0.22786143
C[C@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.15637028
C[C@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.15637028
CC1(C)C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.22786143
Cn1c(N)c(c2ccccc2C2CC2)nc1C(C)(C)C,0.11808168
CCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.20615277
CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.14796133
CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.14796133
C[C@@H]1C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.17214835
C[C@@H]1C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.17214835
CC[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.18412353
CC[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.18412353
CC[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.18412353
CC[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.18412353
C[C@@H]1C[C@H]1[C@H](O)c1ccccc1C1CCC1,0.19035245
C[C@@H]1C[C@@H]1[C@H](O)c1ccccc1C1CCC1,0.19035245
C[C@@H]1C[C@H]1[C@H](NN)c1ccccc1C1CCC1,0.113826334
C[C@@H]1C[C@H]1[C@@H](NN)c1ccccc1C1CCC1,0.113826334
C[C@@H]1C[C@@H]1[C@@H](NN)c1ccccc1C1CCC1,0.113826334
C[C@@H]1C[C@@H]1[C@H](NN)c1ccccc1C1CCC1,0.113826334
CCc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.21159773
CCCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.24029714
CC[C@@H]1N[C@H](C)C[C@H]1c1ccccc1C1CC1,0.23370619
CC(C)(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.14960715
CC(C)c1onc(c2ccccc2C2CC2)c1C(=O)O,0.30860546
Cc1nc(c2ccccc2C2CC2)c(N)n1CC(C)C,0.23671931
OC[C@@H]1CC(=NO1)c1ccccc1C1CC1,0.11323741
OC[C@H]1CC(=NO1)c1ccccc1C1CC1,0.11323741
NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.20420629
NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.20420629
NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.20420629
NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.20420629
CCCc1onc(c2ccccc2C2CC2)c1C(=O)O,0.33664152
