SMILES,EGFR
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.80166835
Oc1nc(c2ccccc2C2CC2)no1,0.019237615
Clc1cc(c2ccccc2C2CC2)no1,0.045935795
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.59767437
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.59767437
OCc1cc(c2ccccc2C2CC2)no1,0.0325493
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.010428766
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.16173604
O[C@H](c1ccccc1C1CC1)C1CNC1,0.16173604
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.37004364
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.37004364
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.0049223355
NC1CN(Cc2ccccc2C2CC2)C1,0.11174696
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.13422082
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.10635834
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.01560771
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.01560771
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.33307967
N[C@H](c1ccccc1C1CCC1)C1CC1,0.33307967
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.22449139
O[C@H](c1ccccc1C1CCC1)C1CC1,0.22449139
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.06260591
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.07063088
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.11772796
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.11772796
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.09766069
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.08190217
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.03499497
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.33090663
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.26118287
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.26118287
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.26118287
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.29933885
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.26118287
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.02164373
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.02164373
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.02164373
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.02164373
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.00783334
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.033041183
