SMILES,ESR1
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.038969874
Oc1nc(c2ccccc2C2CC2)no1,0.34342447
Clc1cc(c2ccccc2C2CC2)no1,0.32284382
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.25562805
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.25562805
OCc1cc(c2ccccc2C2CC2)no1,0.1737329
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.17538688
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.16319478
O[C@H](c1ccccc1C1CC1)C1CNC1,0.16319478
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.3484533
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.3484533
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.046498965
NC1CN(Cc2ccccc2C2CC2)C1,0.3251653
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.060715728
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.10296799
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.036057405
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.036057405
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.17351331
N[C@H](c1ccccc1C1CCC1)C1CC1,0.17351331
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.22123738
O[C@H](c1ccccc1C1CCC1)C1CC1,0.22123738
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.12520541
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.012374353
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.21642181
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.21642181
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.15222317
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.07800722
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.14440426
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.14405872
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.3132464
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.3132464
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.3132464
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.0981926
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.3132464
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.29128203
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.29128203
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.29128203
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.29128203
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.035276648
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.51726496
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.51726496
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.51726496
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.51726496
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.3250342
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.3250342
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.3250342
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.3250342
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.05483447
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.05483447
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.6213995
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.6213995
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.6213995
O[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.6213995
CC1(C#N)CN(Cc2ccccc2C2CC2)C1,0.30832538
NC1=NC[C@@H](c2ccccc2C2CC2)N1,0.15885134
NC1=NC[C@H](c2ccccc2C2CC2)N1,0.15885134
NC1=NC[C@@H](c2ccccc2C2CC2)O1,0.45337376
NC1=NC[C@H](c2ccccc2C2CC2)O1,0.45337376
CC(C)(C)n1cnc(c2ccccc2C2CC2)c1N,0.10587488
N#C[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.4093931
N#C[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.4093931
N#C[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.4093931
N#C[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.4093931
CN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.23171991
CN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.23171991
CC1([C@@H](NN)c2ccccc2C2CCC2)CC1,0.22661738
CC1([C@H](NN)c2ccccc2C2CCC2)CC1,0.22661738
CC1(C)NCC[C@H]1c1ccccc1C1CC1,0.21735434
CC1(C)NCC[C@@H]1c1ccccc1C1CC1,0.21735434
C[C@@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.17806873
C[C@@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.17806873
CC1(C)C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.34583825
CC1(C)C[C@@H]1[C@@H](N)c1ccccc1C1CCC1,0.34583825
CC1(C)C[C@H]1[C@@H](N)c1ccccc1C1CCC1,0.34583825
C[C@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.17806873
C[C@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.17806873
CC1(C)C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.34583825
Cn1c(N)c(c2ccccc2C2CC2)nc1C(C)(C)C,0.044728052
CCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.13167417
CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.1903623
CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.1903623
C[C@@H]1C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.34011182
C[C@@H]1C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.34011182
CC[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.12061277
CC[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.12061277
CC[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.12061277
CC[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.12061277
C[C@@H]1C[C@H]1[C@H](O)c1ccccc1C1CCC1,0.4977327
C[C@@H]1C[C@@H]1[C@H](O)c1ccccc1C1CCC1,0.4977327
C[C@@H]1C[C@H]1[C@H](NN)c1ccccc1C1CCC1,0.10965713
C[C@@H]1C[C@H]1[C@@H](NN)c1ccccc1C1CCC1,0.10965713
C[C@@H]1C[C@@H]1[C@@H](NN)c1ccccc1C1CCC1,0.10965713
C[C@@H]1C[C@@H]1[C@H](NN)c1ccccc1C1CCC1,0.10965713
CCc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.10774484
CCCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.07756783
CC[C@@H]1N[C@H](C)C[C@H]1c1ccccc1C1CC1,0.43698254
CC(C)(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.09861188
CC(C)c1onc(c2ccccc2C2CC2)c1C(=O)O,0.08151553
Cc1nc(c2ccccc2C2CC2)c(N)n1CC(C)C,0.15216313
OC[C@@H]1CC(=NO1)c1ccccc1C1CC1,0.20268407
OC[C@H]1CC(=NO1)c1ccccc1C1CC1,0.20268407
NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.320084
NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.320084
NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.320084
NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.320084
CCCc1onc(c2ccccc2C2CC2)c1C(=O)O,0.046193343
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.105387345
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)(C)C,0.11932844
CN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.15330403
CN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.15330403
CCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.07445199
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.14135614
CCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.3258275
CCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.3258275
COCCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.039296735
COCCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.039296735
CC(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.22068393
CC(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.22068393
CC1(C)C([C@@H](N)c2ccccc2C2CCC2)C1(C)C,0.31362167
CC1(C)C([C@H](N)c2ccccc2C2CCC2)C1(C)C,0.31362167
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.1277158
CC[C@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.058067314
CC[C@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.058067314
CC[C@@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.058067314
CC[C@@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.058067314
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@@H]1C,0.08014271
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.08014271
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@@H]1C,0.08014271
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.08014271
C[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.65613323
C[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.65613323
C[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.65613323
C[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.65613323
CCCN[C@@H](c1ccccc1C1CCC1)C1(C)CC1,0.19576801
CCCN[C@H](c1ccccc1C1CCC1)C1(C)CC1,0.19576801
NS(=O)(=O)c1c(C(F)(F)F)ccc(C2CC2)c1c1nn[nH]n1,0.035358272
CC(C)Cc1onc(c2ccccc2C2CC2)c1C(=O)O,0.08862751
CCOc1cc(C=O)cc(C2CC2)c1C1CCCC1,0.10832786
C[C@@]1(C(=O)N)C[N@H+](Cc2ccccc2C2CC2)C1,0.14929129
CC(C)CN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.10647396
CC(C)CN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.10647396
CC(C)N1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.2568985
CC(C)N1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.2568985
CC(C)N1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.2568985
CC(C)N1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.2568985
CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.15336867
CCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.2761028
CCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.2761028
CCCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.074030936
C=CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.10748429
CCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.114471555
CCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.114471555
