SMILES,FGFR1
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.30929655
Oc1nc(c2ccccc2C2CC2)no1,0.17924058
Clc1cc(c2ccccc2C2CC2)no1,0.20436564
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.093754046
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.093754046
OCc1cc(c2ccccc2C2CC2)no1,0.25574195
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.20171574
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.07534788
O[C@H](c1ccccc1C1CC1)C1CNC1,0.07534788
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.14601743
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.14601743
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.20266713
NC1CN(Cc2ccccc2C2CC2)C1,0.13130373
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.27390403
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.13951825
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.11880014
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.11880014
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.100107536
N[C@H](c1ccccc1C1CCC1)C1CC1,0.100107536
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.056036334
O[C@H](c1ccccc1C1CCC1)C1CC1,0.056036334
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.17945017
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.26292816
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.10588816
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.10588816
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.16977492
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.24541733
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.108128555
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.1863183
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.14808251
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.14808251
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.14808251
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.19510026
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.14808251
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.12946281
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.12946281
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.12946281
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.12946281
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.1305689
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.1255893
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.1255893
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.1255893
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.1255893
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.13745356
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.13745356
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.13745356
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.13745356
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.13331977
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.13331977
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.19800688
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.19800688
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.19800688
O[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.19800688
CC1(C#N)CN(Cc2ccccc2C2CC2)C1,0.2234768
NC1=NC[C@@H](c2ccccc2C2CC2)N1,0.15735137
NC1=NC[C@H](c2ccccc2C2CC2)N1,0.15735137
NC1=NC[C@@H](c2ccccc2C2CC2)O1,0.11882764
NC1=NC[C@H](c2ccccc2C2CC2)O1,0.11882764
CC(C)(C)n1cnc(c2ccccc2C2CC2)c1N,0.1843304
N#C[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.06561575
N#C[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.06561575
N#C[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.06561575
N#C[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.06561575
CN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.19528203
CN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.19528203
CC1([C@@H](NN)c2ccccc2C2CCC2)CC1,0.052903175
CC1([C@H](NN)c2ccccc2C2CCC2)CC1,0.052903175
CC1(C)NCC[C@H]1c1ccccc1C1CC1,0.19652018
CC1(C)NCC[C@@H]1c1ccccc1C1CC1,0.19652018
C[C@@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.17983034
C[C@@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.17983034
CC1(C)C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.1301143
CC1(C)C[C@@H]1[C@@H](N)c1ccccc1C1CCC1,0.1301143
CC1(C)C[C@H]1[C@@H](N)c1ccccc1C1CCC1,0.1301143
C[C@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.17983034
C[C@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.17983034
