SMILES,FLT3
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.530175
Oc1nc(c2ccccc2C2CC2)no1,0.2866323
Clc1cc(c2ccccc2C2CC2)no1,0.29382002
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.24442826
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.24442826
OCc1cc(c2ccccc2C2CC2)no1,0.30157954
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.40795913
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.12986682
O[C@H](c1ccccc1C1CC1)C1CNC1,0.12986682
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.32175556
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.32175556
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.37008005
NC1CN(Cc2ccccc2C2CC2)C1,0.14279748
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.105730005
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.19089517
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.23670574
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.23670574
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.15030694
N[C@H](c1ccccc1C1CCC1)C1CC1,0.15030694
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.116557345
O[C@H](c1ccccc1C1CCC1)C1CC1,0.116557345
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.1862401
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.09885334
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.20480987
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.20480987
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.18188123
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.12349841
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.2492863
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.22265269
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.304261
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.304261
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.304261
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.18205169
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.304261
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.44586533
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.44586533
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.44586533
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.44586533
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.08146998
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.23755911
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.23755911
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.23755911
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.23755911
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.3332118
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.3332118
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.3332118
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.3332118
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.20779838
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.20779838
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.21902727
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.21902727
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.21902727
O[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.21902727
CC1(C#N)CN(Cc2ccccc2C2CC2)C1,0.12081038
NC1=NC[C@@H](c2ccccc2C2CC2)N1,0.3138956
NC1=NC[C@H](c2ccccc2C2CC2)N1,0.3138956
NC1=NC[C@@H](c2ccccc2C2CC2)O1,0.26135692
NC1=NC[C@H](c2ccccc2C2CC2)O1,0.26135692
CC(C)(C)n1cnc(c2ccccc2C2CC2)c1N,0.12069137
N#C[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.26753154
N#C[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.26753154
N#C[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.26753154
N#C[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.26753154
CN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.35137922
CN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.35137922
CC1([C@@H](NN)c2ccccc2C2CCC2)CC1,0.028463012
CC1([C@H](NN)c2ccccc2C2CCC2)CC1,0.028463012
CC1(C)NCC[C@H]1c1ccccc1C1CC1,0.22695817
CC1(C)NCC[C@@H]1c1ccccc1C1CC1,0.22695817
C[C@@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.3204548
C[C@@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.3204548
CC1(C)C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.15981042
CC1(C)C[C@@H]1[C@@H](N)c1ccccc1C1CCC1,0.15981042
CC1(C)C[C@H]1[C@@H](N)c1ccccc1C1CCC1,0.15981042
C[C@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.3204548
C[C@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.3204548
CC1(C)C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.15981042
Cn1c(N)c(c2ccccc2C2CC2)nc1C(C)(C)C,0.23054957
CCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.17413086
CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.21731937
CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.21731937
C[C@@H]1C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.17902283
C[C@@H]1C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.17902283
CC[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.16246577
CC[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.16246577
CC[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.16246577
