SMILES,FYN
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.33264095
Oc1nc(c2ccccc2C2CC2)no1,0.18525377
Clc1cc(c2ccccc2C2CC2)no1,0.17615744
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.24249777
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.24249777
OCc1cc(c2ccccc2C2CC2)no1,0.14862639
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.15975688
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.21421875
O[C@H](c1ccccc1C1CC1)C1CNC1,0.21421875
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.18142028
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.18142028
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.18932505
NC1CN(Cc2ccccc2C2CC2)C1,0.16396363
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.122413315
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.1417469
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.20930696
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.20930696
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.17986259
N[C@H](c1ccccc1C1CCC1)C1CC1,0.17986259
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.2493703
O[C@H](c1ccccc1C1CCC1)C1CC1,0.2493703
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.17138112
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.17581096
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.14289631
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.14289631
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.19979332
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.17411493
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.1830251
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.1705402
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.17296635
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.17296635
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.17296635
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.15551181
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.17296635
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.19689563
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.19689563
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.19689563
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.19689563
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.1617429
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.14488015
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.14488015
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.14488015
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.14488015
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.16541415
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.16541415
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.16541415
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.16541415
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.19781439
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.19781439
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.21426472
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.21426472
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.21426472
O[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.21426472
CC1(C#N)CN(Cc2ccccc2C2CC2)C1,0.21585026
NC1=NC[C@@H](c2ccccc2C2CC2)N1,0.18838303
NC1=NC[C@H](c2ccccc2C2CC2)N1,0.18838303
NC1=NC[C@@H](c2ccccc2C2CC2)O1,0.18367685
NC1=NC[C@H](c2ccccc2C2CC2)O1,0.18367685
CC(C)(C)n1cnc(c2ccccc2C2CC2)c1N,0.19952421
N#C[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.13998929
