SMILES,HDAC1
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.02112089
Oc1nc(c2ccccc2C2CC2)no1,0.03426233
Clc1cc(c2ccccc2C2CC2)no1,0.0067516146
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.11633194
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.11633194
OCc1cc(c2ccccc2C2CC2)no1,0.10507865
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.02795668
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.009937573
O[C@H](c1ccccc1C1CC1)C1CNC1,0.009937573
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.017509263
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.017509263
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.08221164
NC1CN(Cc2ccccc2C2CC2)C1,0.13354482
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.03861912
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.03659997
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.011952738
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.011952738
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.028273793
N[C@H](c1ccccc1C1CCC1)C1CC1,0.028273793
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.012005427
O[C@H](c1ccccc1C1CCC1)C1CC1,0.012005427
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.065733105
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.0130455345
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.104459874
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.104459874
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.014637958
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.031889345
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.012297052
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.05951202
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.021262342
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.021262342
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.021262342
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.038248163
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.021262342
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.029403934
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.029403934
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.029403934
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.029403934
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.01994767
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.034954306
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.034954306
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.034954306
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.034954306
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.015249954
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.015249954
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.015249954
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.015249954
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.006747949
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.006747949
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.06025765
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.06025765
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.06025765
O[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.06025765
CC1(C#N)CN(Cc2ccccc2C2CC2)C1,0.08334668
NC1=NC[C@@H](c2ccccc2C2CC2)N1,0.15722287
NC1=NC[C@H](c2ccccc2C2CC2)N1,0.15722287
NC1=NC[C@@H](c2ccccc2C2CC2)O1,0.026854007
NC1=NC[C@H](c2ccccc2C2CC2)O1,0.026854007
CC(C)(C)n1cnc(c2ccccc2C2CC2)c1N,0.007082871
N#C[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.026476022
N#C[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.026476022
N#C[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.026476022
N#C[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.026476022
CN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.041659538
CN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.041659538
CC1([C@@H](NN)c2ccccc2C2CCC2)CC1,0.025507275
CC1([C@H](NN)c2ccccc2C2CCC2)CC1,0.025507275
CC1(C)NCC[C@H]1c1ccccc1C1CC1,0.05057193
CC1(C)NCC[C@@H]1c1ccccc1C1CC1,0.05057193
C[C@@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.058135577
C[C@@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.058135577
CC1(C)C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.0087443795
CC1(C)C[C@@H]1[C@@H](N)c1ccccc1C1CCC1,0.0087443795
CC1(C)C[C@H]1[C@@H](N)c1ccccc1C1CCC1,0.0087443795
C[C@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.058135577
C[C@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.058135577
CC1(C)C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.0087443795
Cn1c(N)c(c2ccccc2C2CC2)nc1C(C)(C)C,0.01124543
CCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.051904265
CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.058464292
CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.058464292
C[C@@H]1C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.0457024
C[C@@H]1C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.0457024
CC[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.026656887
CC[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.026656887
CC[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.026656887
CC[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.026656887
C[C@@H]1C[C@H]1[C@H](O)c1ccccc1C1CCC1,0.027801178
C[C@@H]1C[C@@H]1[C@H](O)c1ccccc1C1CCC1,0.027801178
C[C@@H]1C[C@H]1[C@H](NN)c1ccccc1C1CCC1,0.027905172
C[C@@H]1C[C@H]1[C@@H](NN)c1ccccc1C1CCC1,0.027905172
C[C@@H]1C[C@@H]1[C@@H](NN)c1ccccc1C1CCC1,0.027905172
C[C@@H]1C[C@@H]1[C@H](NN)c1ccccc1C1CCC1,0.027905172
CCc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.0401264
CCCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.044865638
CC[C@@H]1N[C@H](C)C[C@H]1c1ccccc1C1CC1,0.031034684
CC(C)(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.007307574
CC(C)c1onc(c2ccccc2C2CC2)c1C(=O)O,0.051316798
Cc1nc(c2ccccc2C2CC2)c(N)n1CC(C)C,0.05463584
OC[C@@H]1CC(=NO1)c1ccccc1C1CC1,0.017165935
OC[C@H]1CC(=NO1)c1ccccc1C1CC1,0.017165935
NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.04880104
NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.04880104
NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.04880104
NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.04880104
CCCc1onc(c2ccccc2C2CC2)c1C(=O)O,0.046103172
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.033985134
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)(C)C,0.031206306
CN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.10164201
CN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.10164201
CCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.025905158
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.072024874
CCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.032488413
CCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.032488413
COCCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.026149934
