SMILES,HRH1
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.10103221
Oc1nc(c2ccccc2C2CC2)no1,0.49548405
Clc1cc(c2ccccc2C2CC2)no1,0.7656882
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.8575969
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.8575969
OCc1cc(c2ccccc2C2CC2)no1,0.37274006
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.8191167
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.91256803
O[C@H](c1ccccc1C1CC1)C1CNC1,0.91256803
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.92200065
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.92200065
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.39127716
NC1CN(Cc2ccccc2C2CC2)C1,0.9557589
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.71658564
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.34668022
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.48497155
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.48497155
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.8998274
N[C@H](c1ccccc1C1CCC1)C1CC1,0.8998274
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.85685486
O[C@H](c1ccccc1C1CCC1)C1CC1,0.85685486
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.40417403
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.6542195
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.85486245
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.85486245
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.59247434
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.7280861
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.36112854
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.52527267
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.84981793
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.84981793
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.84981793
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.3711336
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.84981793
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.5687435
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.5687435
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.5687435
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.5687435
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.60370195
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.6928194
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.6928194
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.6928194
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.6928194
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.7297424
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.7297424
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.7297424
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.7297424
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.43966246
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.43966246
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.771715
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.771715
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.771715
O[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.771715
CC1(C#N)CN(Cc2ccccc2C2CC2)C1,0.87078047
NC1=NC[C@@H](c2ccccc2C2CC2)N1,0.8093663
NC1=NC[C@H](c2ccccc2C2CC2)N1,0.8093663
NC1=NC[C@@H](c2ccccc2C2CC2)O1,0.897276
NC1=NC[C@H](c2ccccc2C2CC2)O1,0.897276
CC(C)(C)n1cnc(c2ccccc2C2CC2)c1N,0.6825139
N#C[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.5137887
N#C[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.5137887
N#C[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.5137887
N#C[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.5137887
CN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.85960066
CN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.85960066
CC1([C@@H](NN)c2ccccc2C2CCC2)CC1,0.92099816
CC1([C@H](NN)c2ccccc2C2CCC2)CC1,0.92099816
CC1(C)NCC[C@H]1c1ccccc1C1CC1,0.69216496
CC1(C)NCC[C@@H]1c1ccccc1C1CC1,0.69216496
C[C@@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.6646943
C[C@@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.6646943
CC1(C)C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.710491
CC1(C)C[C@@H]1[C@@H](N)c1ccccc1C1CCC1,0.710491
CC1(C)C[C@H]1[C@@H](N)c1ccccc1C1CCC1,0.710491
C[C@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.6646943
C[C@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.6646943
CC1(C)C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.710491
Cn1c(N)c(c2ccccc2C2CC2)nc1C(C)(C)C,0.5426836
CCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.56861115
CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.786558
CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.786558
C[C@@H]1C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.80148506
