SMILES,INSR
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.31531858
Oc1nc(c2ccccc2C2CC2)no1,0.25898007
Clc1cc(c2ccccc2C2CC2)no1,0.4337415
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.30129024
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.30129024
OCc1cc(c2ccccc2C2CC2)no1,0.31124243
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.16776535
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.26787174
O[C@H](c1ccccc1C1CC1)C1CNC1,0.26787174
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.25803187
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.25803187
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.27632207
NC1CN(Cc2ccccc2C2CC2)C1,0.12279354
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.1969634
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.2231795
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.2735694
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.2735694
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.22439621
N[C@H](c1ccccc1C1CCC1)C1CC1,0.22439621
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.31143758
O[C@H](c1ccccc1C1CCC1)C1CC1,0.31143758
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.22811788
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.21379413
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.18531774
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.18531774
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.21769513
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.30394968
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.20218301
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.3038909
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.256918
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.256918
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.256918
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.18733433
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.256918
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.3399556
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.3399556
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.3399556
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.3399556
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.13907392
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.3056447
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.3056447
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.3056447
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.3056447
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.33492053
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.33492053
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.33492053
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.33492053
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.2336507
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.2336507
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.37074217
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.37074217
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.37074217
O[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.37074217
CC1(C#N)CN(Cc2ccccc2C2CC2)C1,0.29265517
NC1=NC[C@@H](c2ccccc2C2CC2)N1,0.35099965
NC1=NC[C@H](c2ccccc2C2CC2)N1,0.35099965
NC1=NC[C@@H](c2ccccc2C2CC2)O1,0.18941647
NC1=NC[C@H](c2ccccc2C2CC2)O1,0.18941647
CC(C)(C)n1cnc(c2ccccc2C2CC2)c1N,0.3334912
N#C[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.29045612
N#C[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.29045612
N#C[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.29045612
N#C[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.29045612
CN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.3370213
CN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.3370213
CC1([C@@H](NN)c2ccccc2C2CCC2)CC1,0.20609367
CC1([C@H](NN)c2ccccc2C2CCC2)CC1,0.20609367
CC1(C)NCC[C@H]1c1ccccc1C1CC1,0.34505972
CC1(C)NCC[C@@H]1c1ccccc1C1CC1,0.34505972
C[C@@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.33480242
C[C@@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.33480242
