SMILES,IRAK4
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.44785976
Oc1nc(c2ccccc2C2CC2)no1,0.51239467
Clc1cc(c2ccccc2C2CC2)no1,0.44520077
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.38164732
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.38164732
OCc1cc(c2ccccc2C2CC2)no1,0.47309577
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.46228972
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.57057583
O[C@H](c1ccccc1C1CC1)C1CNC1,0.57057583
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.5990971
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.5990971
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.3686954
NC1CN(Cc2ccccc2C2CC2)C1,0.35646063
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.45482185
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.3980198
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.30651563
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.30651563
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.42997363
N[C@H](c1ccccc1C1CCC1)C1CC1,0.42997363
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.52270377
O[C@H](c1ccccc1C1CCC1)C1CC1,0.52270377
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.38455456
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.46176592
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.40464535
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.40464535
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.3130775
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.36943427
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.373315
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.4007228
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.43386725
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.43386725
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.43386725
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.33504602
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.43386725
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.40596247
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.40596247
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.40596247
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.40596247
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.33852783
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.41437426
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.41437426
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.41437426
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.41437426
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.47477093
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.47477093
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.47477093
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.47477093
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.4010381
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.4010381
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.64858687
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.64858687
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.64858687
O[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.64858687
CC1(C#N)CN(Cc2ccccc2C2CC2)C1,0.33220103
NC1=NC[C@@H](c2ccccc2C2CC2)N1,0.43009657
NC1=NC[C@H](c2ccccc2C2CC2)N1,0.43009657
NC1=NC[C@@H](c2ccccc2C2CC2)O1,0.40476808
NC1=NC[C@H](c2ccccc2C2CC2)O1,0.40476808
CC(C)(C)n1cnc(c2ccccc2C2CC2)c1N,0.458044
N#C[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.35465953
N#C[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.35465953
N#C[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.35465953
N#C[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.35465953
CN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.4137569
CN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.4137569
CC1([C@@H](NN)c2ccccc2C2CCC2)CC1,0.41453195
CC1([C@H](NN)c2ccccc2C2CCC2)CC1,0.41453195
CC1(C)NCC[C@H]1c1ccccc1C1CC1,0.5187879
CC1(C)NCC[C@@H]1c1ccccc1C1CC1,0.5187879
C[C@@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.4694361
C[C@@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.4694361
CC1(C)C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.35472548
CC1(C)C[C@@H]1[C@@H](N)c1ccccc1C1CCC1,0.35472548
CC1(C)C[C@H]1[C@@H](N)c1ccccc1C1CCC1,0.35472548
C[C@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.4694361
C[C@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.4694361
CC1(C)C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.35472548
Cn1c(N)c(c2ccccc2C2CC2)nc1C(C)(C)C,0.51048684
CCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.35811976
CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.47719914
CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.47719914
C[C@@H]1C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.39100775
C[C@@H]1C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.39100775
CC[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.44502094
CC[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.44502094
CC[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.44502094
CC[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.44502094
C[C@@H]1C[C@H]1[C@H](O)c1ccccc1C1CCC1,0.41548443
C[C@@H]1C[C@@H]1[C@H](O)c1ccccc1C1CCC1,0.41548443
C[C@@H]1C[C@H]1[C@H](NN)c1ccccc1C1CCC1,0.4420236
C[C@@H]1C[C@H]1[C@@H](NN)c1ccccc1C1CCC1,0.4420236
C[C@@H]1C[C@@H]1[C@@H](NN)c1ccccc1C1CCC1,0.4420236
C[C@@H]1C[C@@H]1[C@H](NN)c1ccccc1C1CCC1,0.4420236
CCc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.3732867
CCCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.504995
CC[C@@H]1N[C@H](C)C[C@H]1c1ccccc1C1CC1,0.3572366
CC(C)(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.47699228
CC(C)c1onc(c2ccccc2C2CC2)c1C(=O)O,0.32059062
Cc1nc(c2ccccc2C2CC2)c(N)n1CC(C)C,0.30169365
OC[C@@H]1CC(=NO1)c1ccccc1C1CC1,0.37980795
OC[C@H]1CC(=NO1)c1ccccc1C1CC1,0.37980795
NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.3503961
NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.3503961
NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.3503961
NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.3503961
CCCc1onc(c2ccccc2C2CC2)c1C(=O)O,0.41386533
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.29221517
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)(C)C,0.4074848
CN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.4509704
CN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.4509704
CCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.30753282
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.34898576
CCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.32555956
CCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.32555956
COCCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.527763
COCCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.527763
CC(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.39631516
CC(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.39631516
