SMILES,ITK
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.13665336
Oc1nc(c2ccccc2C2CC2)no1,0.060461584
Clc1cc(c2ccccc2C2CC2)no1,0.039856445
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.13779984
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.13779984
OCc1cc(c2ccccc2C2CC2)no1,0.035362612
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.12445528
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.3183764
O[C@H](c1ccccc1C1CC1)C1CNC1,0.3183764
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.12218632
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.12218632
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.2119869
NC1CN(Cc2ccccc2C2CC2)C1,0.17665301
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.06388661
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.026535876
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.020843936
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.020843936
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.09924522
N[C@H](c1ccccc1C1CCC1)C1CC1,0.09924522
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.24642271
O[C@H](c1ccccc1C1CCC1)C1CC1,0.24642271
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.07903028
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.060862925
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.084624805
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.084624805
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.068316825
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.05421916
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.04205884
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.07073341
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.16604553
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.16604553
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.16604553
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.1216523
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.16604553
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.10513052
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.10513052
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.10513052
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.10513052
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.07216694
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.2859633
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.2859633
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.2859633
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.2859633
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.10047534
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.10047534
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.10047534
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.10047534
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.020442883
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.020442883
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.20673949
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.20673949
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.20673949
O[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.20673949
CC1(C#N)CN(Cc2ccccc2C2CC2)C1,0.14775406
NC1=NC[C@@H](c2ccccc2C2CC2)N1,0.1492887
NC1=NC[C@H](c2ccccc2C2CC2)N1,0.1492887
NC1=NC[C@@H](c2ccccc2C2CC2)O1,0.19561857
NC1=NC[C@H](c2ccccc2C2CC2)O1,0.19561857
CC(C)(C)n1cnc(c2ccccc2C2CC2)c1N,0.04863155
N#C[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.16687663
N#C[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.16687663
N#C[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.16687663
N#C[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.16687663
CN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.2110218
CN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.2110218
CC1([C@@H](NN)c2ccccc2C2CCC2)CC1,0.076266035
CC1([C@H](NN)c2ccccc2C2CCC2)CC1,0.076266035
CC1(C)NCC[C@H]1c1ccccc1C1CC1,0.19422808
CC1(C)NCC[C@@H]1c1ccccc1C1CC1,0.19422808
C[C@@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.10775289
C[C@@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.10775289
