SMILES,JAK3
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.22460121
Oc1nc(c2ccccc2C2CC2)no1,0.1862125
Clc1cc(c2ccccc2C2CC2)no1,0.25995824
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.3524526
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.3524526
OCc1cc(c2ccccc2C2CC2)no1,0.12813677
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.38281006
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.2862119
O[C@H](c1ccccc1C1CC1)C1CNC1,0.2862119
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.39521244
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.39521244
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.43046013
NC1CN(Cc2ccccc2C2CC2)C1,0.5667685
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.14625905
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.22907053
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.21693109
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.21693109
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.33945116
N[C@H](c1ccccc1C1CCC1)C1CC1,0.33945116
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.2880406
O[C@H](c1ccccc1C1CCC1)C1CC1,0.2880406
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.3691086
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.15451695
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.3693079
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.3693079
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.4414773
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.16930273
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.51357347
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.27883703
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.270929
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.270929
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.270929
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.27498174
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.270929
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.32106996
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.32106996
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.32106996
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.32106996
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.3000234
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.38171896
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.38171896
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.38171896
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.38171896
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.25418514
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.25418514
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.25418514
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.25418514
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.21060386
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.21060386
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.3904261
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.3904261
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.3904261
O[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.3904261
CC1(C#N)CN(Cc2ccccc2C2CC2)C1,0.6975307
NC1=NC[C@@H](c2ccccc2C2CC2)N1,0.45474204
NC1=NC[C@H](c2ccccc2C2CC2)N1,0.45474204
NC1=NC[C@@H](c2ccccc2C2CC2)O1,0.32491896
NC1=NC[C@H](c2ccccc2C2CC2)O1,0.32491896
CC(C)(C)n1cnc(c2ccccc2C2CC2)c1N,0.38851655
N#C[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.42334867
N#C[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.42334867
N#C[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.42334867
N#C[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.42334867
CN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.3088691
