SMILES,KIT
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.380001
Oc1nc(c2ccccc2C2CC2)no1,0.1277562
Clc1cc(c2ccccc2C2CC2)no1,0.20159043
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.10155938
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.10155938
OCc1cc(c2ccccc2C2CC2)no1,0.21779595
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.09430954
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.03330529
O[C@H](c1ccccc1C1CC1)C1CNC1,0.03330529
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.07127333
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.07127333
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.16895184
NC1CN(Cc2ccccc2C2CC2)C1,0.042726275
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.09459671
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.11243036
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.13996075
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.13996075
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.05816557
N[C@H](c1ccccc1C1CCC1)C1CC1,0.05816557
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.032086577
O[C@H](c1ccccc1C1CCC1)C1CC1,0.032086577
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.042610943
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.09064479
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.07954739
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.07954739
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.097865246
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.058815017
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.06872139
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.06552428
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.08259294
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.08259294
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.08259294
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.037087556
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.08259294
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.12371657
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.12371657
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.12371657
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.12371657
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.055183772
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.060795154
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.060795154
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.060795154
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.060795154
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.149526
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.149526
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.149526
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.149526
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.08144424
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.08144424
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.08093741
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.08093741
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.08093741
O[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.08093741
CC1(C#N)CN(Cc2ccccc2C2CC2)C1,0.08923034
NC1=NC[C@@H](c2ccccc2C2CC2)N1,0.089708984
NC1=NC[C@H](c2ccccc2C2CC2)N1,0.089708984
NC1=NC[C@@H](c2ccccc2C2CC2)O1,0.07634137
NC1=NC[C@H](c2ccccc2C2CC2)O1,0.07634137
CC(C)(C)n1cnc(c2ccccc2C2CC2)c1N,0.10287548
N#C[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.06454274
N#C[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.06454274
N#C[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.06454274
N#C[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.06454274
CN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.042734183
CN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.042734183
CC1([C@@H](NN)c2ccccc2C2CCC2)CC1,0.029481504
CC1([C@H](NN)c2ccccc2C2CCC2)CC1,0.029481504
CC1(C)NCC[C@H]1c1ccccc1C1CC1,0.082667366
CC1(C)NCC[C@@H]1c1ccccc1C1CC1,0.082667366
C[C@@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.15520053
C[C@@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.15520053
CC1(C)C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.05244402
CC1(C)C[C@@H]1[C@@H](N)c1ccccc1C1CCC1,0.05244402
CC1(C)C[C@H]1[C@@H](N)c1ccccc1C1CCC1,0.05244402
C[C@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.15520053
C[C@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.15520053
CC1(C)C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.05244402
Cn1c(N)c(c2ccccc2C2CC2)nc1C(C)(C)C,0.19124666
CCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.101754144
CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.07568137
CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.07568137
C[C@@H]1C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.024804216
C[C@@H]1C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.024804216
CC[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.052274995
CC[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.052274995
CC[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.052274995
CC[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.052274995
C[C@@H]1C[C@H]1[C@H](O)c1ccccc1C1CCC1,0.019198755
