SMILES,LIMK1
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.4029439
Oc1nc(c2ccccc2C2CC2)no1,0.17786115
Clc1cc(c2ccccc2C2CC2)no1,0.2216148
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.27587387
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.27587387
OCc1cc(c2ccccc2C2CC2)no1,0.23652229
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.3176934
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.24497984
O[C@H](c1ccccc1C1CC1)C1CNC1,0.24497984
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.2603602
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.2603602
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.23689824
NC1CN(Cc2ccccc2C2CC2)C1,0.16806088
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.23496094
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.26268786
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.2886547
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.2886547
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.24790461
N[C@H](c1ccccc1C1CCC1)C1CC1,0.24790461
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.21604729
O[C@H](c1ccccc1C1CCC1)C1CC1,0.21604729
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.20681149
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.23950772
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.28070933
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.28070933
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.22562575
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.19337665
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.27046984
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.2574056
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.22584744
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.22584744
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.22584744
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.1702622
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.22584744
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.25595585
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.25595585
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.25595585
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.25595585
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.20418297
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.19697219
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.19697219
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.19697219
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.19697219
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.24817152
