SMILES,LYN
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.5391025
Oc1nc(c2ccccc2C2CC2)no1,0.16606997
Clc1cc(c2ccccc2C2CC2)no1,0.23019667
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.2394717
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.2394717
OCc1cc(c2ccccc2C2CC2)no1,0.1409378
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.30049685
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.21838492
O[C@H](c1ccccc1C1CC1)C1CNC1,0.21838492
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.2814514
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.2814514
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.24308857
NC1CN(Cc2ccccc2C2CC2)C1,0.20489286
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.14510296
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.18151793
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.206043
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.206043
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.16821988
N[C@H](c1ccccc1C1CCC1)C1CC1,0.16821988
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.20295799
O[C@H](c1ccccc1C1CCC1)C1CC1,0.20295799
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.21215318
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.29499298
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.23369817
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.23369817
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.18527626
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.17128457
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.23155122
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.16964762
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.25693375
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.25693375
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.25693375
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.15441708
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.25693375
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.25371233
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.25371233
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.25371233
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.25371233
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.21100162
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.24774389
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.24774389
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.24774389
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.24774389
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.24321581
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.24321581
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.24321581
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.24321581
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.19658214
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.19658214
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.19689304
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.19689304
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.19689304
O[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.19689304
CC1(C#N)CN(Cc2ccccc2C2CC2)C1,0.20684542
NC1=NC[C@@H](c2ccccc2C2CC2)N1,0.2930099
NC1=NC[C@H](c2ccccc2C2CC2)N1,0.2930099
NC1=NC[C@@H](c2ccccc2C2CC2)O1,0.21425469
NC1=NC[C@H](c2ccccc2C2CC2)O1,0.21425469
CC(C)(C)n1cnc(c2ccccc2C2CC2)c1N,0.31666422
N#C[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.21199961
N#C[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.21199961
N#C[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.21199961
N#C[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.21199961
CN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.14871447
CN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.14871447
CC1([C@@H](NN)c2ccccc2C2CCC2)CC1,0.10561455
CC1([C@H](NN)c2ccccc2C2CCC2)CC1,0.10561455
CC1(C)NCC[C@H]1c1ccccc1C1CC1,0.21681218
CC1(C)NCC[C@@H]1c1ccccc1C1CC1,0.21681218
C[C@@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.18643793
C[C@@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.18643793
CC1(C)C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.1407167
CC1(C)C[C@@H]1[C@@H](N)c1ccccc1C1CCC1,0.1407167
CC1(C)C[C@H]1[C@@H](N)c1ccccc1C1CCC1,0.1407167
C[C@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.18643793
C[C@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.18643793
CC1(C)C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.1407167
Cn1c(N)c(c2ccccc2C2CC2)nc1C(C)(C)C,0.2228605
CCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.17413042
CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.24810453
CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.24810453
C[C@@H]1C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.14439942
C[C@@H]1C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.14439942
CC[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.28782326
CC[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.28782326
CC[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.28782326
CC[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.28782326
C[C@@H]1C[C@H]1[C@H](O)c1ccccc1C1CCC1,0.16277419
C[C@@H]1C[C@@H]1[C@H](O)c1ccccc1C1CCC1,0.16277419
C[C@@H]1C[C@H]1[C@H](NN)c1ccccc1C1CCC1,0.138854
C[C@@H]1C[C@H]1[C@@H](NN)c1ccccc1C1CCC1,0.138854
C[C@@H]1C[C@@H]1[C@@H](NN)c1ccccc1C1CCC1,0.138854
C[C@@H]1C[C@@H]1[C@H](NN)c1ccccc1C1CCC1,0.138854
CCc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.20455392
CCCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.1920481
CC[C@@H]1N[C@H](C)C[C@H]1c1ccccc1C1CC1,0.14854194
CC(C)(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.24202074
CC(C)c1onc(c2ccccc2C2CC2)c1C(=O)O,0.123276174
Cc1nc(c2ccccc2C2CC2)c(N)n1CC(C)C,0.12212199
OC[C@@H]1CC(=NO1)c1ccccc1C1CC1,0.14714172
OC[C@H]1CC(=NO1)c1ccccc1C1CC1,0.14714172
NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.20727338
NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.20727338
NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.20727338
NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.20727338
CCCc1onc(c2ccccc2C2CC2)c1C(=O)O,0.12158174
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.14988814
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)(C)C,0.2136176
CN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.233306
CN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.233306
CCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.14038672
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.14334995
CCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.22353965
CCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.22353965
COCCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.17075501
COCCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.17075501
CC(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.2492967
CC(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.2492967
CC1(C)C([C@@H](N)c2ccccc2C2CCC2)C1(C)C,0.1144566
CC1(C)C([C@H](N)c2ccccc2C2CCC2)C1(C)C,0.1144566
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.087115526
CC[C@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.17026404
CC[C@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.17026404
CC[C@@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.17026404
CC[C@@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.17026404
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@@H]1C,0.104186825
