SMILES,MCL1
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.025976945
Oc1nc(c2ccccc2C2CC2)no1,0.10336954
Clc1cc(c2ccccc2C2CC2)no1,0.085217714
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.14287467
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.14287467
OCc1cc(c2ccccc2C2CC2)no1,0.10128523
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.057577237
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.15155485
O[C@H](c1ccccc1C1CC1)C1CNC1,0.15155485
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.14171316
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.14171316
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.06334017
NC1CN(Cc2ccccc2C2CC2)C1,0.08977065
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.11390937
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.08963662
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.06411311
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.06411311
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.119723454
N[C@H](c1ccccc1C1CCC1)C1CC1,0.119723454
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.20984803
O[C@H](c1ccccc1C1CCC1)C1CC1,0.20984803
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.075182505
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.077805765
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.07751963
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.07751963
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.1279406
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.06958974
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.10272313
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.055383723
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.14133061
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.14133061
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.14133061
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.06299042
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.14133061
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.09635869
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.09635869
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.09635869
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.09635869
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.09051064
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.094705954
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.094705954
