SMILES,MERTK
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.35225433
Oc1nc(c2ccccc2C2CC2)no1,0.1769446
Clc1cc(c2ccccc2C2CC2)no1,0.17343587
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.18880911
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.18880911
OCc1cc(c2ccccc2C2CC2)no1,0.16267823
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.21476486
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.21568973
O[C@H](c1ccccc1C1CC1)C1CNC1,0.21568973
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.16780023
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.16780023
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.1726189
NC1CN(Cc2ccccc2C2CC2)C1,0.22440104
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.17277114
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.17311934
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.16656367
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.16656367
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.16480328
N[C@H](c1ccccc1C1CCC1)C1CC1,0.16480328
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.20923729
O[C@H](c1ccccc1C1CCC1)C1CC1,0.20923729
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.18507078
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.2969616
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.15214853
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.15214853
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.23971947
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.15597259
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.27422625
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.17843065
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.11813743
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.11813743
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.11813743
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.17815422
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.11813743
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.14821555
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.14821555
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.14821555
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.14821555
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.23277126
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.22862998
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.22862998
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.22862998
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.22862998
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.15209338
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.15209338
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.15209338
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.15209338
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.19084266
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.19084266
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.27189216
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.27189216
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.27189216
O[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.27189216
CC1(C#N)CN(Cc2ccccc2C2CC2)C1,0.12416772
NC1=NC[C@@H](c2ccccc2C2CC2)N1,0.15608649
NC1=NC[C@H](c2ccccc2C2CC2)N1,0.15608649
NC1=NC[C@@H](c2ccccc2C2CC2)O1,0.09986605
NC1=NC[C@H](c2ccccc2C2CC2)O1,0.09986605
CC(C)(C)n1cnc(c2ccccc2C2CC2)c1N,0.2248974
N#C[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.15910286
N#C[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.15910286
N#C[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.15910286
N#C[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.15910286
CN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.15327543
CN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.15327543
CC1([C@@H](NN)c2ccccc2C2CCC2)CC1,0.13918428
CC1([C@H](NN)c2ccccc2C2CCC2)CC1,0.13918428
CC1(C)NCC[C@H]1c1ccccc1C1CC1,0.16819155
CC1(C)NCC[C@@H]1c1ccccc1C1CC1,0.16819155
C[C@@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.19400106
C[C@@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.19400106
CC1(C)C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.14516433
CC1(C)C[C@@H]1[C@@H](N)c1ccccc1C1CCC1,0.14516433
CC1(C)C[C@H]1[C@@H](N)c1ccccc1C1CCC1,0.14516433
C[C@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.19400106
C[C@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.19400106
CC1(C)C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.14516433
Cn1c(N)c(c2ccccc2C2CC2)nc1C(C)(C)C,0.2121404
CCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.1670009
CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.20095232
CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.20095232
C[C@@H]1C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.13336858
C[C@@H]1C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.13336858
CC[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.178142
CC[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.178142
CC[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.178142
CC[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.178142
C[C@@H]1C[C@H]1[C@H](O)c1ccccc1C1CCC1,0.15084004
C[C@@H]1C[C@@H]1[C@H](O)c1ccccc1C1CCC1,0.15084004
C[C@@H]1C[C@H]1[C@H](NN)c1ccccc1C1CCC1,0.15022619
C[C@@H]1C[C@H]1[C@@H](NN)c1ccccc1C1CCC1,0.15022619
C[C@@H]1C[C@@H]1[C@@H](NN)c1ccccc1C1CCC1,0.15022619
C[C@@H]1C[C@@H]1[C@H](NN)c1ccccc1C1CCC1,0.15022619
CCc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.208834
CCCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.2716827
CC[C@@H]1N[C@H](C)C[C@H]1c1ccccc1C1CC1,0.10458781
CC(C)(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.2258731
CC(C)c1onc(c2ccccc2C2CC2)c1C(=O)O,0.20479886
Cc1nc(c2ccccc2C2CC2)c(N)n1CC(C)C,0.1782475
OC[C@@H]1CC(=NO1)c1ccccc1C1CC1,0.17394394
OC[C@H]1CC(=NO1)c1ccccc1C1CC1,0.17394394
NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.1913033
NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.1913033
NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.1913033
NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.1913033
CCCc1onc(c2ccccc2C2CC2)c1C(=O)O,0.18610494
