SMILES,MTAP
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.3728202
Oc1nc(c2ccccc2C2CC2)no1,0.25829184
Clc1cc(c2ccccc2C2CC2)no1,0.1645157
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.32551697
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.32551697
OCc1cc(c2ccccc2C2CC2)no1,0.26104206
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.37921688
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.259212
O[C@H](c1ccccc1C1CC1)C1CNC1,0.259212
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.29732838
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.29732838
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.29439276
NC1CN(Cc2ccccc2C2CC2)C1,0.5211289
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.25314614
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.2686734
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.2136439
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.2136439
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.3158466
N[C@H](c1ccccc1C1CCC1)C1CC1,0.3158466
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.26470292
O[C@H](c1ccccc1C1CCC1)C1CC1,0.26470292
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.18636091
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.39808893
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.35439298
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.35439298
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.15984888
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.2555861
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.18164021
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.1690912
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.25119174
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.25119174
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.25119174
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.14665313
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.25119174
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.30773973
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.30773973
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.30773973
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.30773973
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.29722717
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.31205717
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.31205717
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.31205717
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.31205717
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.24765657
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.24765657
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.24765657
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.24765657
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.27392897
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.27392897
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.30539927
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.30539927
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.30539927
O[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.30539927
CC1(C#N)CN(Cc2ccccc2C2CC2)C1,0.2442978
NC1=NC[C@@H](c2ccccc2C2CC2)N1,0.34040037
NC1=NC[C@H](c2ccccc2C2CC2)N1,0.34040037
NC1=NC[C@@H](c2ccccc2C2CC2)O1,0.3221097
NC1=NC[C@H](c2ccccc2C2CC2)O1,0.3221097
CC(C)(C)n1cnc(c2ccccc2C2CC2)c1N,0.2629925
N#C[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.17654738
N#C[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.17654738
N#C[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.17654738
N#C[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.17654738
CN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.14392866
CN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.14392866
CC1([C@@H](NN)c2ccccc2C2CCC2)CC1,0.16230327
CC1([C@H](NN)c2ccccc2C2CCC2)CC1,0.16230327
CC1(C)NCC[C@H]1c1ccccc1C1CC1,0.21821398
CC1(C)NCC[C@@H]1c1ccccc1C1CC1,0.21821398
C[C@@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.22447912
C[C@@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.22447912
CC1(C)C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.18860523
CC1(C)C[C@@H]1[C@@H](N)c1ccccc1C1CCC1,0.18860523
CC1(C)C[C@H]1[C@@H](N)c1ccccc1C1CCC1,0.18860523
C[C@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.22447912
C[C@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.22447912
CC1(C)C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.18860523
Cn1c(N)c(c2ccccc2C2CC2)nc1C(C)(C)C,0.15791126
CCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.24443303
CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.22932933
CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.22932933
C[C@@H]1C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.19299698
C[C@@H]1C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.19299698
CC[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.43328115
CC[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.43328115
CC[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.43328115
CC[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.43328115
C[C@@H]1C[C@H]1[C@H](O)c1ccccc1C1CCC1,0.2220634
C[C@@H]1C[C@@H]1[C@H](O)c1ccccc1C1CCC1,0.2220634
C[C@@H]1C[C@H]1[C@H](NN)c1ccccc1C1CCC1,0.14885087
C[C@@H]1C[C@H]1[C@@H](NN)c1ccccc1C1CCC1,0.14885087
C[C@@H]1C[C@@H]1[C@@H](NN)c1ccccc1C1CCC1,0.14885087
C[C@@H]1C[C@@H]1[C@H](NN)c1ccccc1C1CCC1,0.14885087
CCc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.24969831
CCCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.2403413
CC[C@@H]1N[C@H](C)C[C@H]1c1ccccc1C1CC1,0.28802773
CC(C)(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.20589362
CC(C)c1onc(c2ccccc2C2CC2)c1C(=O)O,0.15559193
Cc1nc(c2ccccc2C2CC2)c(N)n1CC(C)C,0.14445488
OC[C@@H]1CC(=NO1)c1ccccc1C1CC1,0.27063698
OC[C@H]1CC(=NO1)c1ccccc1C1CC1,0.27063698
NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.30066592
NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.30066592
NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.30066592
NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.30066592
CCCc1onc(c2ccccc2C2CC2)c1C(=O)O,0.115638584
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.16853262
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)(C)C,0.20806475
CN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.20994183
CN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.20994183
CCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.28783938
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.180783
CCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.21291272
CCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.21291272
COCCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.28271714
COCCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.28271714
CC(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.1743034
CC(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.1743034
CC1(C)C([C@@H](N)c2ccccc2C2CCC2)C1(C)C,0.21902414
CC1(C)C([C@H](N)c2ccccc2C2CCC2)C1(C)C,0.21902414
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.1721529
CC[C@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.19704425
CC[C@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.19704425
CC[C@@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.19704425
CC[C@@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.19704425
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@@H]1C,0.18688726
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.18688726
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@@H]1C,0.18688726
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.18688726
C[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.24851137
C[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.24851137
C[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.24851137
C[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.24851137
CCCN[C@@H](c1ccccc1C1CCC1)C1(C)CC1,0.16797847
CCCN[C@H](c1ccccc1C1CCC1)C1(C)CC1,0.16797847
NS(=O)(=O)c1c(C(F)(F)F)ccc(C2CC2)c1c1nn[nH]n1,0.1285279
CC(C)Cc1onc(c2ccccc2C2CC2)c1C(=O)O,0.08284894
CCOc1cc(C=O)cc(C2CC2)c1C1CCCC1,0.3535988
C[C@@]1(C(=O)N)C[N@H+](Cc2ccccc2C2CC2)C1,0.17655428
CC(C)CN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.24523234
CC(C)CN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.24523234
CC(C)N1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.15037847
CC(C)N1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.15037847
CC(C)N1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.15037847
CC(C)N1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.15037847
CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.1679698
CCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.19028963
CCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.19028963
CCCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.27137205
C=CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.1238602
CCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.18704294
CCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.18704294
CCCN1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.2079539
CCCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.2079539
CCCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.2079539
CCCN1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.2079539
NN[C@@H](c1ccccc1C1CCC1)C1CC1,0.19864619
NN[C@H](c1ccccc1C1CCC1)C1CC1,0.19864619
CC(C)CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.17549233
CC(C)CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.17549233
CC(C)CN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.17549233
CC(C)CN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.17549233
CCOc1cc(C2CCC2)c(C2CC2)cc1CO,0.4375212
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1CO,0.32338196
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.16037281
CN(C)CCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.26203248
CN(C)CCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.26203248
CCOc1cc(C=O)cc(C2CC2)c1C1CCC1,0.33035123
CC1(OCC(=O)O)CN(Cc2ccccc2C2CC2)C1,0.28267375
CC(C)Oc1cc(C2CCC2)c(C2CC2)cc1C=O,0.20522934
CCCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.14100385
CCCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.14100385
CCCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.14100385
CCCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.14100385
CCCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.23363082
CCOc1cc(C2CCC2)c(C2CC2)cc1C=O,0.29546317
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1C=O,0.2225989
CCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.14620143
CCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.14620143
CCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.14620143
CCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.14620143
CC(C)(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.20503996
CC(C)(C)N1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.20503996
CC(C)(C)N1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.20503996
CC(C)(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.20503996
CCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.12810679
CCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.12810679
CCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.12810679
CCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.12810679
CN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.13596487
CN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.13596487
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.21191543
CC(C)NC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.11973953
CC(C)NC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.11973953
CC(C)NC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.11973953
CC(C)NC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.11973953
CNC[C@@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.09963288
CNC[C@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.09963288
CNC[C@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.09963288
CNC[C@@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.09963288
CC(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.19665663
CC(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.19665663
CC(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.19665663
CC(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.19665663
CC(C)CNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.1924348
CC(C)CNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.1924348
CC(C)CNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.1924348
CC(C)CNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.1924348
COCCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.20484474
COCCN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.20484474
COCCN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.20484474
COCCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.20484474
CCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.26195747
CCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.26195747
CCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.26195747
CCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.26195747
CC(C)(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.18845394
CC(C)(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.18845394
CC(C)(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.18845394
CC(C)(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.18845394
CCCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.16473721
CCCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.16473721
CCCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.16473721
CCCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.16473721
CCN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.19550247
CCN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.19550247
CCOC(=O)c1cc(OCC)c(C2CCC2)c(C2CC2)c1,0.33956563
COCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.23640564
COCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.23640564
COCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.23640564
COCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.23640554
