SMILES,MTOR
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.10345376
Oc1nc(c2ccccc2C2CC2)no1,0.30458283
Clc1cc(c2ccccc2C2CC2)no1,0.095543
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.07057417
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.07057417
OCc1cc(c2ccccc2C2CC2)no1,0.021280251
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.21781757
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.0982917
O[C@H](c1ccccc1C1CC1)C1CNC1,0.0982917
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.09136873
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.09136873
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.19357395
NC1CN(Cc2ccccc2C2CC2)C1,0.044519518
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.14992923
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.13257463
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.056909442
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.056909442
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.12147917
N[C@H](c1ccccc1C1CCC1)C1CC1,0.12147917
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.12745728
O[C@H](c1ccccc1C1CCC1)C1CC1,0.12745728
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.31513068
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.05164262
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.34210902
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.34210902
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.35380253
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.07375228
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.20108381
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.050034087
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.10211927
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.10211927
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.10211927
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.13939229
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.10211927
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.087592
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.087592
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.087592
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.087592
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.13009727
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.07632063
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.07632063
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.07632063
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.07632063
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.055896964
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.055896964
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.055896964
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.055896964
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.026872715
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.026872715
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.04022767
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.04022767
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.04022767
O[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.04022767
CC1(C#N)CN(Cc2ccccc2C2CC2)C1,0.015087545
NC1=NC[C@@H](c2ccccc2C2CC2)N1,0.11872805
NC1=NC[C@H](c2ccccc2C2CC2)N1,0.11872805
NC1=NC[C@@H](c2ccccc2C2CC2)O1,0.1063482
NC1=NC[C@H](c2ccccc2C2CC2)O1,0.1063482
CC(C)(C)n1cnc(c2ccccc2C2CC2)c1N,0.11242205
N#C[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.065943375
N#C[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.065943375
N#C[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.065943375
N#C[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.065943375
CN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.059607103
CN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.059607103
CC1([C@@H](NN)c2ccccc2C2CCC2)CC1,0.020378286
CC1([C@H](NN)c2ccccc2C2CCC2)CC1,0.020378286
CC1(C)NCC[C@H]1c1ccccc1C1CC1,0.09813254
CC1(C)NCC[C@@H]1c1ccccc1C1CC1,0.09813254
C[C@@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.07255388
C[C@@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.07255388
CC1(C)C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.033757824
CC1(C)C[C@@H]1[C@@H](N)c1ccccc1C1CCC1,0.033757824
CC1(C)C[C@H]1[C@@H](N)c1ccccc1C1CCC1,0.033757824
C[C@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.07255388
C[C@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.07255388
CC1(C)C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.033757824
Cn1c(N)c(c2ccccc2C2CC2)nc1C(C)(C)C,0.29383904
CCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.17468081
CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.095065035
CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.095065035
C[C@@H]1C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.06687286
C[C@@H]1C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.06687286
CC[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.044050284
CC[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.044050284
CC[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.044050284
CC[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.044050284
C[C@@H]1C[C@H]1[C@H](O)c1ccccc1C1CCC1,0.04199887
C[C@@H]1C[C@@H]1[C@H](O)c1ccccc1C1CCC1,0.04199887
C[C@@H]1C[C@H]1[C@H](NN)c1ccccc1C1CCC1,0.040314693
C[C@@H]1C[C@H]1[C@@H](NN)c1ccccc1C1CCC1,0.040314693
C[C@@H]1C[C@@H]1[C@@H](NN)c1ccccc1C1CCC1,0.040314693
C[C@@H]1C[C@@H]1[C@H](NN)c1ccccc1C1CCC1,0.040314693
CCc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.17198648
CCCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.065387614
CC[C@@H]1N[C@H](C)C[C@H]1c1ccccc1C1CC1,0.043855302
CC(C)(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.362284
CC(C)c1onc(c2ccccc2C2CC2)c1C(=O)O,0.0803109
Cc1nc(c2ccccc2C2CC2)c(N)n1CC(C)C,0.124828406
OC[C@@H]1CC(=NO1)c1ccccc1C1CC1,0.24467307
OC[C@H]1CC(=NO1)c1ccccc1C1CC1,0.24467307
NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.05870646
NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.05870646
NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.05870646
NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.05870646
CCCc1onc(c2ccccc2C2CC2)c1C(=O)O,0.011332
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.1693214
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)(C)C,0.17723395
CN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.041600823
CN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.041600823
CCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.06057496
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.048966683
CCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.039845906
CCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.039845906
COCCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.11465024
COCCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.11465024
CC(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.09850654
CC(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.09850654
CC1(C)C([C@@H](N)c2ccccc2C2CCC2)C1(C)C,0.04882125
CC1(C)C([C@H](N)c2ccccc2C2CCC2)C1(C)C,0.04882125
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.046570983
CC[C@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.050924074
CC[C@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.050924074
CC[C@@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.050924074
CC[C@@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.050924074
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@@H]1C,0.010261718
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.010261718
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@@H]1C,0.010261718
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.010261718
C[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.07104317
C[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.07104317
C[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.07104317
C[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.07104317
CCCN[C@@H](c1ccccc1C1CCC1)C1(C)CC1,0.008422593
CCCN[C@H](c1ccccc1C1CCC1)C1(C)CC1,0.008422593
NS(=O)(=O)c1c(C(F)(F)F)ccc(C2CC2)c1c1nn[nH]n1,0.099371724
CC(C)Cc1onc(c2ccccc2C2CC2)c1C(=O)O,0.023322145
CCOc1cc(C=O)cc(C2CC2)c1C1CCCC1,0.047040135
C[C@@]1(C(=O)N)C[N@H+](Cc2ccccc2C2CC2)C1,0.019291526
CC(C)CN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.12094936
CC(C)CN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.12094936
CC(C)N1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.058535494
CC(C)N1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.058535494
CC(C)N1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.058535494
CC(C)N1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.058535494
CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.28101066
CCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.028855631
CCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.028855631
CCCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.053618304
C=CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.04851468
CCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.022241611
