SMILES,NR1H2
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.08723649
Oc1nc(c2ccccc2C2CC2)no1,0.19001785
Clc1cc(c2ccccc2C2CC2)no1,0.2776286
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.2529279
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.2529279
OCc1cc(c2ccccc2C2CC2)no1,0.17528276
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.183003
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.19267012
O[C@H](c1ccccc1C1CC1)C1CNC1,0.19267012
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.32847962
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.32847962
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.07708261
NC1CN(Cc2ccccc2C2CC2)C1,0.13630678
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.29083544
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.2124094
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.14158879
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.14158879
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.24994804
N[C@H](c1ccccc1C1CCC1)C1CC1,0.24994804
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.29971024
O[C@H](c1ccccc1C1CCC1)C1CC1,0.29971024
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.09909612
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.06797824
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.2153756
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.2153756
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.10177325
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.06321276
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.06730772
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.054390218
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.38696665
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.38696665
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.38696665
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.12824547
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.38696665
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.33051282
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.33051282
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.33051282
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.33051282
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.0929803
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.3053587
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.3053587
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.3053587
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.3053587
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.27310538
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.27310538
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.27310538
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.27310538
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.14385611
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.14385611
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.2543445
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.2543445
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.2543445
O[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.2543445
CC1(C#N)CN(Cc2ccccc2C2CC2)C1,0.2043237
NC1=NC[C@@H](c2ccccc2C2CC2)N1,0.16776592
NC1=NC[C@H](c2ccccc2C2CC2)N1,0.16776592
NC1=NC[C@@H](c2ccccc2C2CC2)O1,0.42086628
NC1=NC[C@H](c2ccccc2C2CC2)O1,0.42086628
CC(C)(C)n1cnc(c2ccccc2C2CC2)c1N,0.1272385
N#C[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.33878654
N#C[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.33878654
N#C[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.33878654
N#C[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.33878654
CN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.24256642
CN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.24256642
CC1([C@@H](NN)c2ccccc2C2CCC2)CC1,0.35753345
CC1([C@H](NN)c2ccccc2C2CCC2)CC1,0.35753345
CC1(C)NCC[C@H]1c1ccccc1C1CC1,0.3498176
CC1(C)NCC[C@@H]1c1ccccc1C1CC1,0.3498176
C[C@@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.23321906
C[C@@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.23321906
CC1(C)C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.17493762
CC1(C)C[C@@H]1[C@@H](N)c1ccccc1C1CCC1,0.17493762
CC1(C)C[C@H]1[C@@H](N)c1ccccc1C1CCC1,0.17493762
C[C@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.23321906
C[C@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.23321906
CC1(C)C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.17493762
Cn1c(N)c(c2ccccc2C2CC2)nc1C(C)(C)C,0.084542885
CCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.24221146
CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.22517592
CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.22517592
C[C@@H]1C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.29575822
C[C@@H]1C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.29575822
CC[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.24952668
CC[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.24952668
CC[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.24952668
CC[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.24952668
C[C@@H]1C[C@H]1[C@H](O)c1ccccc1C1CCC1,0.32347614
C[C@@H]1C[C@@H]1[C@H](O)c1ccccc1C1CCC1,0.32347614
C[C@@H]1C[C@H]1[C@H](NN)c1ccccc1C1CCC1,0.22017437
C[C@@H]1C[C@H]1[C@@H](NN)c1ccccc1C1CCC1,0.22017437
C[C@@H]1C[C@@H]1[C@@H](NN)c1ccccc1C1CCC1,0.22017437
C[C@@H]1C[C@@H]1[C@H](NN)c1ccccc1C1CCC1,0.22017437
CCc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.11910322
CCCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.054386333
CC[C@@H]1N[C@H](C)C[C@H]1c1ccccc1C1CC1,0.24780369
CC(C)(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.1051308
CC(C)c1onc(c2ccccc2C2CC2)c1C(=O)O,0.064308
Cc1nc(c2ccccc2C2CC2)c(N)n1CC(C)C,0.066372775
OC[C@@H]1CC(=NO1)c1ccccc1C1CC1,0.2565164
OC[C@H]1CC(=NO1)c1ccccc1C1CC1,0.2565164
NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.18596068
NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.18596068
NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.18596068
NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.18596068
CCCc1onc(c2ccccc2C2CC2)c1C(=O)O,0.17890036
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.22243212
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)(C)C,0.17998615
CN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.2782297
CN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.2782297
CCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.12768227
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.12531509
CCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.37341315
CCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.37341315
COCCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.095214374
COCCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.095214374
CC(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.1645841
CC(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.1645841
CC1(C)C([C@@H](N)c2ccccc2C2CCC2)C1(C)C,0.23269704
CC1(C)C([C@H](N)c2ccccc2C2CCC2)C1(C)C,0.23269704
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.12450658
CC[C@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.061501667
CC[C@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.061501667
CC[C@@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.061501667
CC[C@@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.061501667
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@@H]1C,0.15898311
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.15898311
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@@H]1C,0.15898311
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.15898311
C[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.23766743
C[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.23766743
C[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.23766743
C[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.23766743
CCCN[C@@H](c1ccccc1C1CCC1)C1(C)CC1,0.31167796
CCCN[C@H](c1ccccc1C1CCC1)C1(C)CC1,0.31167796
NS(=O)(=O)c1c(C(F)(F)F)ccc(C2CC2)c1c1nn[nH]n1,0.307027
CC(C)Cc1onc(c2ccccc2C2CC2)c1C(=O)O,0.10169537
CCOc1cc(C=O)cc(C2CC2)c1C1CCCC1,0.074153766
C[C@@]1(C(=O)N)C[N@H+](Cc2ccccc2C2CC2)C1,0.2363889
CC(C)CN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.12713203
CC(C)CN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.12713203
