SMILES,NTRK1
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.5346251
Oc1nc(c2ccccc2C2CC2)no1,0.28968897
Clc1cc(c2ccccc2C2CC2)no1,0.514231
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.22385323
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.22385323
OCc1cc(c2ccccc2C2CC2)no1,0.48490506
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.49921045
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.4170146
O[C@H](c1ccccc1C1CC1)C1CNC1,0.4170146
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.393194
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.393194
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.48922637
NC1CN(Cc2ccccc2C2CC2)C1,0.42494848
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.39369664
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.4343092
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.47935653
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.47935653
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.32289934
N[C@H](c1ccccc1C1CCC1)C1CC1,0.32289934
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.32979703
O[C@H](c1ccccc1C1CCC1)C1CC1,0.32979703
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.41114563
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.44070032
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.35385555
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.35385555
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.38215676
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.26817572
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.43502373
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.32377648
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.44398677
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.44398677
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.44398677
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.21374127
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.44398677
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.35203096
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.35203096
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.35203096
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.35203096
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.45573044
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.39608818
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.39608818
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.39608818
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.39608818
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.3910563
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.3910563
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.3910563
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.3910563
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.4357592
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.4357592
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.52213806
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.52213806
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.52213806
O[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.52213806
CC1(C#N)CN(Cc2ccccc2C2CC2)C1,0.5750657
