SMILES,PARP1
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.008670955
Oc1nc(c2ccccc2C2CC2)no1,0.3909329
Clc1cc(c2ccccc2C2CC2)no1,0.16848962
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.082743004
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.082743004
OCc1cc(c2ccccc2C2CC2)no1,0.0988553
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.25604847
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.26357782
O[C@H](c1ccccc1C1CC1)C1CNC1,0.26357782
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.44082066
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.44082066
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.3547609
NC1CN(Cc2ccccc2C2CC2)C1,0.11485952
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.23549156
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.055609386
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.18478522
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.18478522
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.27653772
N[C@H](c1ccccc1C1CCC1)C1CC1,0.27653772
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.116570406
O[C@H](c1ccccc1C1CCC1)C1CC1,0.116570406
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.22580837
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.08157193
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.26812187
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.26812187
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.070024416
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.10225716
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.027915886
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.08550637
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.27928445
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.27928445
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.27928445
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.090021364
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.27928445
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.5291095
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.5291095
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.5291095
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.5291095
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.06719657
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.25165665
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.25165665
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.25165665
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.25165665
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.29117662
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.29117662
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.29117662
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.29117662
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.11293965
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.11293965
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.14865495
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.14865495
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.14865495
O[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.14865495
CC1(C#N)CN(Cc2ccccc2C2CC2)C1,0.04052212
NC1=NC[C@@H](c2ccccc2C2CC2)N1,0.26840237
NC1=NC[C@H](c2ccccc2C2CC2)N1,0.26840237
NC1=NC[C@@H](c2ccccc2C2CC2)O1,0.23260313
NC1=NC[C@H](c2ccccc2C2CC2)O1,0.23260313
CC(C)(C)n1cnc(c2ccccc2C2CC2)c1N,0.25703758
N#C[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.10679817
N#C[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.10679817
N#C[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.10679817
N#C[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.10679817
CN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.05180861
CN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.05180861
CC1([C@@H](NN)c2ccccc2C2CCC2)CC1,0.07335662
CC1([C@H](NN)c2ccccc2C2CCC2)CC1,0.07335662
CC1(C)NCC[C@H]1c1ccccc1C1CC1,0.33358717
CC1(C)NCC[C@@H]1c1ccccc1C1CC1,0.33358717
C[C@@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.38022915
C[C@@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.38022915
CC1(C)C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.14905044
CC1(C)C[C@@H]1[C@@H](N)c1ccccc1C1CCC1,0.14905044
CC1(C)C[C@H]1[C@@H](N)c1ccccc1C1CCC1,0.14905044
C[C@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.38022915
C[C@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.38022915
CC1(C)C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.14905044
Cn1c(N)c(c2ccccc2C2CC2)nc1C(C)(C)C,0.08329178
CCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.13854976
CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.27983934
CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.27983934
C[C@@H]1C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.31688017
C[C@@H]1C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.31688017
CC[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.42561522
CC[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.42561522
CC[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.42561522
CC[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.42561522
C[C@@H]1C[C@H]1[C@H](O)c1ccccc1C1CCC1,0.079028465
C[C@@H]1C[C@@H]1[C@H](O)c1ccccc1C1CCC1,0.079028465
C[C@@H]1C[C@H]1[C@H](NN)c1ccccc1C1CCC1,0.052569784
C[C@@H]1C[C@H]1[C@@H](NN)c1ccccc1C1CCC1,0.052569784
C[C@@H]1C[C@@H]1[C@@H](NN)c1ccccc1C1CCC1,0.052569784
C[C@@H]1C[C@@H]1[C@H](NN)c1ccccc1C1CCC1,0.052569784
CCc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.17084251
CCCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.03235497
CC[C@@H]1N[C@H](C)C[C@H]1c1ccccc1C1CC1,0.660142
CC(C)(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.07846548
CC(C)c1onc(c2ccccc2C2CC2)c1C(=O)O,0.062434286
Cc1nc(c2ccccc2C2CC2)c(N)n1CC(C)C,0.090602286
OC[C@@H]1CC(=NO1)c1ccccc1C1CC1,0.10408382
OC[C@H]1CC(=NO1)c1ccccc1C1CC1,0.10408382
