SMILES,PDE4A
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.10193783
Oc1nc(c2ccccc2C2CC2)no1,0.13929638
Clc1cc(c2ccccc2C2CC2)no1,0.10619708
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.118215375
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.118215375
OCc1cc(c2ccccc2C2CC2)no1,0.049873248
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.08467533
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.07719718
O[C@H](c1ccccc1C1CC1)C1CNC1,0.07719718
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.118891165
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.118891165
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.05590785
NC1CN(Cc2ccccc2C2CC2)C1,0.082174756
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.106931835
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.09617904
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.07221334
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.07221334
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.11359817
N[C@H](c1ccccc1C1CCC1)C1CC1,0.11359817
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.11872663
O[C@H](c1ccccc1C1CCC1)C1CC1,0.11872663
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.108594
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.16942681
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.09610565
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.09610565
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.16160543
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.061095394
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.10137906
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.07181028
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.11914842
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.11914842
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.11914842
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.09982568
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.11914842
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.10085136
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.10085136
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.10085136
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.10085136
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.13549045
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.10234334
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.10234334
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.10234334
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.10234334
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.10010866
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.10010866
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.10010866
