SMILES,PDE4B
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.23900937
Oc1nc(c2ccccc2C2CC2)no1,0.08422188
Clc1cc(c2ccccc2C2CC2)no1,0.16328923
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.18715966
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.18715966
OCc1cc(c2ccccc2C2CC2)no1,0.14423233
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.26743132
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.0277688
O[C@H](c1ccccc1C1CC1)C1CNC1,0.0277688
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.10633554
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.10633554
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.11087111
NC1CN(Cc2ccccc2C2CC2)C1,0.060142692
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.08759483
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.07460248
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.2214709
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.2214709
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.039547388
N[C@H](c1ccccc1C1CCC1)C1CC1,0.039547388
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.055710457
O[C@H](c1ccccc1C1CCC1)C1CC1,0.055710457
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.28755012
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.21311861
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.15103807
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.15103807
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.34830907
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.18063134
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.22863041
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.1815975
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.16519903
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.16519903
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.16519903
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.16601759
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.16519903
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.29944924
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.29944924
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.29944924
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.29944924
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.27534732
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.16125761
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.16125761
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.16125761
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.16125761
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.118517354
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.118517354
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.118517354
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.118517354
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.14231761
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.14231761
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.07457604
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.07457604
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.07457604
O[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.07457604
CC1(C#N)CN(Cc2ccccc2C2CC2)C1,0.100068286
NC1=NC[C@@H](c2ccccc2C2CC2)N1,0.10137636
NC1=NC[C@H](c2ccccc2C2CC2)N1,0.10137636
NC1=NC[C@@H](c2ccccc2C2CC2)O1,0.08289365
NC1=NC[C@H](c2ccccc2C2CC2)O1,0.08289365
CC(C)(C)n1cnc(c2ccccc2C2CC2)c1N,0.3242887
N#C[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.12408781
N#C[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.12408781
N#C[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.12408781
N#C[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.12408781
CN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.108458675
CN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.108458675
CC1([C@@H](NN)c2ccccc2C2CCC2)CC1,0.1564744
CC1([C@H](NN)c2ccccc2C2CCC2)CC1,0.1564744
CC1(C)NCC[C@H]1c1ccccc1C1CC1,0.113567404
CC1(C)NCC[C@@H]1c1ccccc1C1CC1,0.113567404
C[C@@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.23815563
C[C@@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.23815563
CC1(C)C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.04954187
CC1(C)C[C@@H]1[C@@H](N)c1ccccc1C1CCC1,0.04954187
CC1(C)C[C@H]1[C@@H](N)c1ccccc1C1CCC1,0.04954187
C[C@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.23815563
C[C@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.23815563
CC1(C)C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.04954187
Cn1c(N)c(c2ccccc2C2CC2)nc1C(C)(C)C,0.33303037
CCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.31205395
CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.07602375
CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.07602375
C[C@@H]1C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.09246132
C[C@@H]1C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.09246132
CC[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.37116072
CC[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.37116072
CC[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.37116072
CC[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.37116072
C[C@@H]1C[C@H]1[C@H](O)c1ccccc1C1CCC1,0.14021426
C[C@@H]1C[C@@H]1[C@H](O)c1ccccc1C1CCC1,0.14021426
C[C@@H]1C[C@H]1[C@H](NN)c1ccccc1C1CCC1,0.09464959
C[C@@H]1C[C@H]1[C@@H](NN)c1ccccc1C1CCC1,0.09464959
C[C@@H]1C[C@@H]1[C@@H](NN)c1ccccc1C1CCC1,0.09464959
C[C@@H]1C[C@@H]1[C@H](NN)c1ccccc1C1CCC1,0.09464959
CCc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.26506585
CCCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.09938345
CC[C@@H]1N[C@H](C)C[C@H]1c1ccccc1C1CC1,0.23556012
CC(C)(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.19950569
CC(C)c1onc(c2ccccc2C2CC2)c1C(=O)O,0.19607009
Cc1nc(c2ccccc2C2CC2)c(N)n1CC(C)C,0.26527157
OC[C@@H]1CC(=NO1)c1ccccc1C1CC1,0.08667517
OC[C@H]1CC(=NO1)c1ccccc1C1CC1,0.08667517
NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.19503957
NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.19503957
NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.19503957
NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.19503957
CCCc1onc(c2ccccc2C2CC2)c1C(=O)O,0.07463032
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.19666693
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)(C)C,0.16849081
CN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.113612816
CN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.113612816
CCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.18376261
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.13922746
CCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.08484901
CCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.08484901
COCCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.053040147
COCCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.053040147
CC(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.09223957
CC(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.09223957
CC1(C)C([C@@H](N)c2ccccc2C2CCC2)C1(C)C,0.06663645
CC1(C)C([C@H](N)c2ccccc2C2CCC2)C1(C)C,0.06663645
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.04036471
CC[C@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.116996385
CC[C@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.116996385
CC[C@@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.116996385
CC[C@@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.116996385
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@@H]1C,0.09779684
