SMILES,PDE4D
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.117882624
Oc1nc(c2ccccc2C2CC2)no1,0.40623197
Clc1cc(c2ccccc2C2CC2)no1,0.3877455
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.5449029
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.5449029
OCc1cc(c2ccccc2C2CC2)no1,0.32058063
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.35457456
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.18395835
O[C@H](c1ccccc1C1CC1)C1CNC1,0.18395835
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.47025862
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.47025862
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.19375668
NC1CN(Cc2ccccc2C2CC2)C1,0.2914849
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.29748484
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.35071793
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.39302576
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.39302576
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.33499223
N[C@H](c1ccccc1C1CCC1)C1CC1,0.33499223
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.34265676
O[C@H](c1ccccc1C1CCC1)C1CC1,0.34265676
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.21295501
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.42293695
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.5627813
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.5627813
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.39065996
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.23206735
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.37806106
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.30716756
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.54585415
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.54585415
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.54585415
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.18775113
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.54585415
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.44860825
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.44860825
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.44860825
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.44860825
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.40107337
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.5939145
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.5939145
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.5939145
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.5939145
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.48790035
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.48790035
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.48790035
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.48790035
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.25321427
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.25321427
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.36907446
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.36907446
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.36907446
O[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.36907446
CC1(C#N)CN(Cc2ccccc2C2CC2)C1,0.37481558
NC1=NC[C@@H](c2ccccc2C2CC2)N1,0.37944368
NC1=NC[C@H](c2ccccc2C2CC2)N1,0.37944368
NC1=NC[C@@H](c2ccccc2C2CC2)O1,0.40198475
NC1=NC[C@H](c2ccccc2C2CC2)O1,0.40198475
CC(C)(C)n1cnc(c2ccccc2C2CC2)c1N,0.32488245
N#C[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.3949897
N#C[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.3949897
N#C[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.3949897
N#C[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.3949897
CN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.45098716
CN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.45098716
CC1([C@@H](NN)c2ccccc2C2CCC2)CC1,0.5750485
CC1([C@H](NN)c2ccccc2C2CCC2)CC1,0.5750485
CC1(C)NCC[C@H]1c1ccccc1C1CC1,0.467686
CC1(C)NCC[C@@H]1c1ccccc1C1CC1,0.467686
C[C@@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.4117593
C[C@@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.4117593
CC1(C)C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.27492973
CC1(C)C[C@@H]1[C@@H](N)c1ccccc1C1CCC1,0.27492973
CC1(C)C[C@H]1[C@@H](N)c1ccccc1C1CCC1,0.27492973
C[C@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.4117593
C[C@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.4117593
CC1(C)C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.27492973
Cn1c(N)c(c2ccccc2C2CC2)nc1C(C)(C)C,0.36075428
CCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.45389625
CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.42068735
CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.42068735
C[C@@H]1C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.45412278
C[C@@H]1C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.45412278
CC[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.4879309
CC[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.4879309
CC[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.4879309
CC[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.4879309
C[C@@H]1C[C@H]1[C@H](O)c1ccccc1C1CCC1,0.6156672
C[C@@H]1C[C@@H]1[C@H](O)c1ccccc1C1CCC1,0.6156672
C[C@@H]1C[C@H]1[C@H](NN)c1ccccc1C1CCC1,0.46828154
C[C@@H]1C[C@H]1[C@@H](NN)c1ccccc1C1CCC1,0.46828154
C[C@@H]1C[C@@H]1[C@@H](NN)c1ccccc1C1CCC1,0.46828154
C[C@@H]1C[C@@H]1[C@H](NN)c1ccccc1C1CCC1,0.46828154
CCc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.3155839
CCCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.17169942
CC[C@@H]1N[C@H](C)C[C@H]1c1ccccc1C1CC1,0.5348735
CC(C)(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.34775332
CC(C)c1onc(c2ccccc2C2CC2)c1C(=O)O,0.40057358
Cc1nc(c2ccccc2C2CC2)c(N)n1CC(C)C,0.20421544
