SMILES,PDPK1
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.3264505
Oc1nc(c2ccccc2C2CC2)no1,0.16524631
Clc1cc(c2ccccc2C2CC2)no1,0.13906997
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.2464236
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.2464236
OCc1cc(c2ccccc2C2CC2)no1,0.16181004
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.20463476
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.1900859
O[C@H](c1ccccc1C1CC1)C1CNC1,0.1900859
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.27798507
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.27798507
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.24471636
NC1CN(Cc2ccccc2C2CC2)C1,0.18396865
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.1828798
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.26116848
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.13207096
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.13207096
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.20395829
N[C@H](c1ccccc1C1CCC1)C1CC1,0.20395829
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.18563265
O[C@H](c1ccccc1C1CCC1)C1CC1,0.18563265
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.22079085
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.13535073
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.22555223
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.22555223
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.14281185
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.17831741
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.17184176
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.22270289
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.2544172
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.2544172
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.2544172
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.22997756
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.2544172
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.2985107
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.2985107
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.2985107
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.2985107
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.16547497
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.14744167
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.14744167
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.14744167
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.14744167
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.23709124
