SMILES,PIM2
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.15233968
Oc1nc(c2ccccc2C2CC2)no1,0.22259179
Clc1cc(c2ccccc2C2CC2)no1,0.27489978
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.17227821
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.17227821
OCc1cc(c2ccccc2C2CC2)no1,0.21066791
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.32381624
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.23769283
O[C@H](c1ccccc1C1CC1)C1CNC1,0.23769283
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.2184771
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.2184771
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.3504376
NC1CN(Cc2ccccc2C2CC2)C1,0.15578866
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.15138781
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.19045502
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.17677951
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.17677951
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.24416809
N[C@H](c1ccccc1C1CCC1)C1CC1,0.24416809
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.15589313
O[C@H](c1ccccc1C1CCC1)C1CC1,0.15589313
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.13321212
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.09367319
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.19845836
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.19845836
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.1720314
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.17933494
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.18868403
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.31940886
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.19769178
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.19769178
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.19769178
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.25337428
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.19769178
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.16885896
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.16885896
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.16885896
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.16885896
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.07842289
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.2874595
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.2874595
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.2874595
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.2874595
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.19433618
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.19433618
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.19433618
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.19433618
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.18501015
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.18501015
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.21955344
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.21955344
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.21955344
O[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.21955344
CC1(C#N)CN(Cc2ccccc2C2CC2)C1,0.08138446
NC1=NC[C@@H](c2ccccc2C2CC2)N1,0.15521657
NC1=NC[C@H](c2ccccc2C2CC2)N1,0.15521657
NC1=NC[C@@H](c2ccccc2C2CC2)O1,0.16519228
NC1=NC[C@H](c2ccccc2C2CC2)O1,0.16519228
CC(C)(C)n1cnc(c2ccccc2C2CC2)c1N,0.18017656
N#C[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.13824122
N#C[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.13824122
N#C[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.13824122
