SMILES,PLK1
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.33523113
Oc1nc(c2ccccc2C2CC2)no1,0.17230034
Clc1cc(c2ccccc2C2CC2)no1,0.14847013
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.245975
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.245975
OCc1cc(c2ccccc2C2CC2)no1,0.18588859
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.28263775
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.27352658
O[C@H](c1ccccc1C1CC1)C1CNC1,0.27352658
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.07986913
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.07986913
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.23722537
NC1CN(Cc2ccccc2C2CC2)C1,0.11332381
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.22420922
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.23093139
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.19317673
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.19317673
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.37328634
N[C@H](c1ccccc1C1CCC1)C1CC1,0.37328634
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.3197443
O[C@H](c1ccccc1C1CCC1)C1CC1,0.3197443
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.25765613
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.22690761
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.24073018
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.24073018
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.3272074
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.118282914
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.25517148
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.248777
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.06271173
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.06271173
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.06271173
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.15486628
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.06271173
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.06298505
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.06298505
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.06298505
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.06298505
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.47949013
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.2135674
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.2135674
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.2135674
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.2135674
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.06891138
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.06891138
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.06891138
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.06891138
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.12025357
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.12025357
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.062266745
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.062266745
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.062266745
O[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.062266745
CC1(C#N)CN(Cc2ccccc2C2CC2)C1,0.14229232
NC1=NC[C@@H](c2ccccc2C2CC2)N1,0.089814916
NC1=NC[C@H](c2ccccc2C2CC2)N1,0.089814916
NC1=NC[C@@H](c2ccccc2C2CC2)O1,0.31490293
NC1=NC[C@H](c2ccccc2C2CC2)O1,0.31490293
CC(C)(C)n1cnc(c2ccccc2C2CC2)c1N,0.22840439
N#C[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.1406903
N#C[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.1406903
N#C[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.1406903
N#C[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.1406903
CN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.22156975
CN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.22156975
CC1([C@@H](NN)c2ccccc2C2CCC2)CC1,0.27083102
CC1([C@H](NN)c2ccccc2C2CCC2)CC1,0.27083102
CC1(C)NCC[C@H]1c1ccccc1C1CC1,0.10266588
CC1(C)NCC[C@@H]1c1ccccc1C1CC1,0.10266588
C[C@@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.11106146
C[C@@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.11106146
CC1(C)C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.28721634
CC1(C)C[C@@H]1[C@@H](N)c1ccccc1C1CCC1,0.28721634
CC1(C)C[C@H]1[C@@H](N)c1ccccc1C1CCC1,0.28721634
C[C@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.11106146
C[C@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.11106146
CC1(C)C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.28721634
Cn1c(N)c(c2ccccc2C2CC2)nc1C(C)(C)C,0.21651895
CCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.13748142
CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.13114163
CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.13114163
C[C@@H]1C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.3472137
C[C@@H]1C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.3472137
CC[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.06743634
CC[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.06743634
CC[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.06743634
CC[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.06743634
C[C@@H]1C[C@H]1[C@H](O)c1ccccc1C1CCC1,0.22737351
C[C@@H]1C[C@@H]1[C@H](O)c1ccccc1C1CCC1,0.22737351
C[C@@H]1C[C@H]1[C@H](NN)c1ccccc1C1CCC1,0.33823362
C[C@@H]1C[C@H]1[C@@H](NN)c1ccccc1C1CCC1,0.33823362
C[C@@H]1C[C@@H]1[C@@H](NN)c1ccccc1C1CCC1,0.33823362
C[C@@H]1C[C@@H]1[C@H](NN)c1ccccc1C1CCC1,0.33823362
CCc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.13559161
CCCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.13963106
CC[C@@H]1N[C@H](C)C[C@H]1c1ccccc1C1CC1,0.07902724
CC(C)(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.25298744
CC(C)c1onc(c2ccccc2C2CC2)c1C(=O)O,0.27040806
Cc1nc(c2ccccc2C2CC2)c(N)n1CC(C)C,0.23629396
OC[C@@H]1CC(=NO1)c1ccccc1C1CC1,0.12077197
OC[C@H]1CC(=NO1)c1ccccc1C1CC1,0.12077197
NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.14397492
NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.14397492
NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.14397492
NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.14397492
CCCc1onc(c2ccccc2C2CC2)c1C(=O)O,0.16729891
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.10788986
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)(C)C,0.13569735
CN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.1145025
CN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.1145025
CCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.08785169
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.18683556
CCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.110834055
CCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.110834055
COCCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.14716278
COCCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.14716278
CC(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.1283024
CC(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.1283024
CC1(C)C([C@@H](N)c2ccccc2C2CCC2)C1(C)C,0.21032575
CC1(C)C([C@H](N)c2ccccc2C2CCC2)C1(C)C,0.21032575
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.3286876
CC[C@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.1549916
CC[C@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.1549916
CC[C@@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.1549916
CC[C@@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.1549916
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@@H]1C,0.28443936
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.28443936
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@@H]1C,0.28443936
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.28443936
C[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.071720555
C[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.071720555
C[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.071720555
C[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.071720555
CCCN[C@@H](c1ccccc1C1CCC1)C1(C)CC1,0.18320958
CCCN[C@H](c1ccccc1C1CCC1)C1(C)CC1,0.18320958
NS(=O)(=O)c1c(C(F)(F)F)ccc(C2CC2)c1c1nn[nH]n1,0.07652763
CC(C)Cc1onc(c2ccccc2C2CC2)c1C(=O)O,0.18760082
CCOc1cc(C=O)cc(C2CC2)c1C1CCCC1,0.19711626
C[C@@]1(C(=O)N)C[N@H+](Cc2ccccc2C2CC2)C1,0.16475669
CC(C)CN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.25312197
CC(C)CN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.25312197
CC(C)N1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.09409559
CC(C)N1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.09409559
CC(C)N1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.09409559
CC(C)N1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.09409559
CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.25667474
CCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.09851816
CCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.09851816
CCCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.104357466
C=CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.40317646
CCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.37578285
CCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.37578285
CCCN1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.06367197
CCCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.06367197
CCCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.06367197
CCCN1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.06367197
NN[C@@H](c1ccccc1C1CCC1)C1CC1,0.402369
NN[C@H](c1ccccc1C1CCC1)C1CC1,0.402369
CC(C)CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.21145791
CC(C)CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.21145791
CC(C)CN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.21145791
CC(C)CN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.21145791
CCOc1cc(C2CCC2)c(C2CC2)cc1CO,0.43977425
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1CO,0.49361348
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.20490728
CN(C)CCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.10542331
CN(C)CCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.10542331
CCOc1cc(C=O)cc(C2CC2)c1C1CCC1,0.18029751
CC1(OCC(=O)O)CN(Cc2ccccc2C2CC2)C1,0.11562388
CC(C)Oc1cc(C2CCC2)c(C2CC2)cc1C=O,0.26483363
CCCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.061218046
CCCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.061218046
CCCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.061218046
CCCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.061218046
CCCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.2535458
CCOc1cc(C2CCC2)c(C2CC2)cc1C=O,0.23579426
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1C=O,0.28677946
