SMILES,PNMT
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.09762026
Oc1nc(c2ccccc2C2CC2)no1,0.2571825
Clc1cc(c2ccccc2C2CC2)no1,0.24097057
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.47927222
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.47927222
OCc1cc(c2ccccc2C2CC2)no1,0.24719685
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.31633306
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.7071341
O[C@H](c1ccccc1C1CC1)C1CNC1,0.7071341
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.680128
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.680128
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.19079319
NC1CN(Cc2ccccc2C2CC2)C1,0.493168
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.156749
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.18337779
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.2494743
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.2494743
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.5854289
N[C@H](c1ccccc1C1CCC1)C1CC1,0.5854289
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.6429604
O[C@H](c1ccccc1C1CCC1)C1CC1,0.6429604
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.22997253
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.16365038
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.42964864
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.42964864
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.2755319
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.19690467
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.2514161
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.1343999
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.6283003
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.6283003
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.6283003
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.1445329
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.6283003
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.54531956
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.54531956
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.54531956
