SMILES,PTAFR
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.1444554
Oc1nc(c2ccccc2C2CC2)no1,0.04684653
Clc1cc(c2ccccc2C2CC2)no1,0.019813996
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.13824075
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.13824075
OCc1cc(c2ccccc2C2CC2)no1,0.013489275
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.14197657
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.15487553
O[C@H](c1ccccc1C1CC1)C1CNC1,0.15487553
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.13965717
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.13965717
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.24206708
NC1CN(Cc2ccccc2C2CC2)C1,0.143331
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.067222364
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.0687146
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.042200353
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.042200353
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.3423342
N[C@H](c1ccccc1C1CCC1)C1CC1,0.3423342
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.21411927
O[C@H](c1ccccc1C1CCC1)C1CC1,0.21411927
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.15532511
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.1260493
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.3157888
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.3157888
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.054693203
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.2220544
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.07520318
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.09336422
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.42292404
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.42292404
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.42292404
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.34122264
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.42292404
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.17779681
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.17779681
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.17779681
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.17779681
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.053066686
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.13371032
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.13371032
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.13371032
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.13371032
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.13763575
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.13763575
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.13763575
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.13763575
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.03747306
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.03747306
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.16506077
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.16506077
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.16506077
O[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.16506077
CC1(C#N)CN(Cc2ccccc2C2CC2)C1,0.1812873
NC1=NC[C@@H](c2ccccc2C2CC2)N1,0.068461485
NC1=NC[C@H](c2ccccc2C2CC2)N1,0.068461485
NC1=NC[C@@H](c2ccccc2C2CC2)O1,0.36587018
NC1=NC[C@H](c2ccccc2C2CC2)O1,0.36587018
CC(C)(C)n1cnc(c2ccccc2C2CC2)c1N,0.022027273
N#C[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.22028662
N#C[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.22028662
N#C[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.22028662
N#C[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.22028662
CN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.12679054
CN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.12679054
CC1([C@@H](NN)c2ccccc2C2CCC2)CC1,0.24243553
CC1([C@H](NN)c2ccccc2C2CCC2)CC1,0.24243553
CC1(C)NCC[C@H]1c1ccccc1C1CC1,0.090446986
CC1(C)NCC[C@@H]1c1ccccc1C1CC1,0.090446986
C[C@@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.06994192
C[C@@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.06994192
CC1(C)C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.15532587
CC1(C)C[C@@H]1[C@@H](N)c1ccccc1C1CCC1,0.15532587
CC1(C)C[C@H]1[C@@H](N)c1ccccc1C1CCC1,0.15532587
C[C@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.06994192
C[C@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.06994192
CC1(C)C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.15532587
Cn1c(N)c(c2ccccc2C2CC2)nc1C(C)(C)C,0.06024505
CCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.05480885
CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.11341839
CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.11341839
C[C@@H]1C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.37219694
