SMILES,RARA
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.24987015
Oc1nc(c2ccccc2C2CC2)no1,0.4081345
Clc1cc(c2ccccc2C2CC2)no1,0.30049
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.33368096
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.33368096
OCc1cc(c2ccccc2C2CC2)no1,0.31503347
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.29619563
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.32548606
O[C@H](c1ccccc1C1CC1)C1CNC1,0.32548606
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.4192582
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.4192582
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.34913033
NC1CN(Cc2ccccc2C2CC2)C1,0.2731042
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.21844162
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.2069036
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.28157493
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.28157493
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.45220506
N[C@H](c1ccccc1C1CCC1)C1CC1,0.45220506
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.4362642
O[C@H](c1ccccc1C1CCC1)C1CC1,0.4362642
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.27864254
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.23716947
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.37291858
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.37291858
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.2831398
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.13749672
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.34142312
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.17593291
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.24647623
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.24647623
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.24647623
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.19141
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.24647623
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.34771302
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.34771302
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.34771302
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.34771302
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.23638733
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.3669156
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.3669156
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.3669156
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.3669156
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.32562098
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.32562098
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.32562098
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.32562098
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.3007734
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.3007734
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.37804395
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.37804395
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.37804395
O[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.37804395
CC1(C#N)CN(Cc2ccccc2C2CC2)C1,0.38720542
NC1=NC[C@@H](c2ccccc2C2CC2)N1,0.3103051
NC1=NC[C@H](c2ccccc2C2CC2)N1,0.3103051
NC1=NC[C@@H](c2ccccc2C2CC2)O1,0.3213406
NC1=NC[C@H](c2ccccc2C2CC2)O1,0.3213406
CC(C)(C)n1cnc(c2ccccc2C2CC2)c1N,0.25941008
N#C[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.28585362
N#C[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.28585362
N#C[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.28585362
N#C[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.28585362
CN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.3529844
CN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.3529844
CC1([C@@H](NN)c2ccccc2C2CCC2)CC1,0.4710002
CC1([C@H](NN)c2ccccc2C2CCC2)CC1,0.4710002
CC1(C)NCC[C@H]1c1ccccc1C1CC1,0.38112077
CC1(C)NCC[C@@H]1c1ccccc1C1CC1,0.38112077
C[C@@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.4770102
C[C@@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.4770102
CC1(C)C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.51214564
CC1(C)C[C@@H]1[C@@H](N)c1ccccc1C1CCC1,0.51214564
CC1(C)C[C@H]1[C@@H](N)c1ccccc1C1CCC1,0.51214564
C[C@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.4770102
C[C@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.4770102
CC1(C)C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.51214564
Cn1c(N)c(c2ccccc2C2CC2)nc1C(C)(C)C,0.23094454
CCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.18920046
CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.42285764
CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.42285764
C[C@@H]1C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.4761795
C[C@@H]1C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.4761795
