SMILES,RARB
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.15916389
Oc1nc(c2ccccc2C2CC2)no1,0.19297896
Clc1cc(c2ccccc2C2CC2)no1,0.20082648
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.14295082
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.14295082
OCc1cc(c2ccccc2C2CC2)no1,0.30266887
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.20001765
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.13081765
O[C@H](c1ccccc1C1CC1)C1CNC1,0.13081765
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.097176306
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.097176306
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.16738364
NC1CN(Cc2ccccc2C2CC2)C1,0.08048781
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.14566943
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.14074834
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.16937505
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.16937505
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.18758187
N[C@H](c1ccccc1C1CCC1)C1CC1,0.18758187
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.18070976
O[C@H](c1ccccc1C1CCC1)C1CC1,0.18070976
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.13910706
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.15853347
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.17944174
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.17944174
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.08683434
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.08464758
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.08389537
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.0882701
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.06891375
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.06891375
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.06891375
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.119103074
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.06891375
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.1255472
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.1255472
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.1255472
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.1255472
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.075707786
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.121433556
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.121433556
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.121433556
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.121433556
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.14044897
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.14044897
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.14044897
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.14044897
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.20023766
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.20023766
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.11525636
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.11525636
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.11525636
