SMILES,RET
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.53478235
Oc1nc(c2ccccc2C2CC2)no1,0.19836
Clc1cc(c2ccccc2C2CC2)no1,0.22818758
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.23472014
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.23472014
OCc1cc(c2ccccc2C2CC2)no1,0.15635455
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.33831266
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.16027932
O[C@H](c1ccccc1C1CC1)C1CNC1,0.16027932
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.17417873
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.17417873
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.37269983
NC1CN(Cc2ccccc2C2CC2)C1,0.21189539
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.32399714
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.347986
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.26792827
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.26792827
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.1357657
N[C@H](c1ccccc1C1CCC1)C1CC1,0.1357657
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.15542647
O[C@H](c1ccccc1C1CCC1)C1CC1,0.15542647
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.22539434
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.34210607
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.116837315
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.116837315
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.27952057
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.21841593
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.25630406
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.30971462
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.1879284
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.1879284
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.1879284
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.22088712
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.1879284
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.16299012
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.16299012
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.16299012
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.16299012
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.21452336
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.17540954
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.17540954
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.17540954
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.17540954
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.18728639
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.18728639
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.18728639
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.18728639
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.25145787
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.25145787
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.31959024
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.31959024
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.31959024
O[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.31959024
CC1(C#N)CN(Cc2ccccc2C2CC2)C1,0.33165076
NC1=NC[C@@H](c2ccccc2C2CC2)N1,0.22128838
NC1=NC[C@H](c2ccccc2C2CC2)N1,0.22128838
NC1=NC[C@@H](c2ccccc2C2CC2)O1,0.14207274
NC1=NC[C@H](c2ccccc2C2CC2)O1,0.14207274
CC(C)(C)n1cnc(c2ccccc2C2CC2)c1N,0.23892424
N#C[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.23541196
N#C[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.23541196
N#C[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.23541196
N#C[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.23541196
CN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.18354744
CN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.18354744
CC1([C@@H](NN)c2ccccc2C2CCC2)CC1,0.1374867
CC1([C@H](NN)c2ccccc2C2CCC2)CC1,0.1374867
CC1(C)NCC[C@H]1c1ccccc1C1CC1,0.19090214
CC1(C)NCC[C@@H]1c1ccccc1C1CC1,0.19090214
C[C@@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.20620596
C[C@@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.20620596
CC1(C)C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.13205692
CC1(C)C[C@@H]1[C@@H](N)c1ccccc1C1CCC1,0.13205692
CC1(C)C[C@H]1[C@@H](N)c1ccccc1C1CCC1,0.13205692
C[C@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.20620596
C[C@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.20620596
CC1(C)C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.13205692
Cn1c(N)c(c2ccccc2C2CC2)nc1C(C)(C)C,0.34227115
CCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.23741059
CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.17703003
CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.17703003
C[C@@H]1C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.12703511
C[C@@H]1C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.12703511
CC[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.15486492
CC[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.15486492
CC[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.15486492
CC[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.15486492
C[C@@H]1C[C@H]1[C@H](O)c1ccccc1C1CCC1,0.11908239
C[C@@H]1C[C@@H]1[C@H](O)c1ccccc1C1CCC1,0.11908239
C[C@@H]1C[C@H]1[C@H](NN)c1ccccc1C1CCC1,0.20428938
C[C@@H]1C[C@H]1[C@@H](NN)c1ccccc1C1CCC1,0.20428938
C[C@@H]1C[C@@H]1[C@@H](NN)c1ccccc1C1CCC1,0.20428938
C[C@@H]1C[C@@H]1[C@H](NN)c1ccccc1C1CCC1,0.20428938
CCc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.2450713
CCCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.30343276
CC[C@@H]1N[C@H](C)C[C@H]1c1ccccc1C1CC1,0.18375896
CC(C)(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.26266462
CC(C)c1onc(c2ccccc2C2CC2)c1C(=O)O,0.14861302
Cc1nc(c2ccccc2C2CC2)c(N)n1CC(C)C,0.25704828
OC[C@@H]1CC(=NO1)c1ccccc1C1CC1,0.15641026
OC[C@H]1CC(=NO1)c1ccccc1C1CC1,0.15641026
NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.12436201
NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.12436201
NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.12436201
NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.12436201
CCCc1onc(c2ccccc2C2CC2)c1C(=O)O,0.21726881
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.23840955
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)(C)C,0.27122805
CN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.16587716
CN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.16587716
CCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.25396118
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.3273525
CCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.12844087
CCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.12844087
COCCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.23780078
COCCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.23780078
CC(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.15877794
CC(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.15877794
CC1(C)C([C@@H](N)c2ccccc2C2CCC2)C1(C)C,0.15219855
CC1(C)C([C@H](N)c2ccccc2C2CCC2)C1(C)C,0.15219855
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.32170627
CC[C@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.17965922
CC[C@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.17965922
CC[C@@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.17965922
CC[C@@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.17965922
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@@H]1C,0.14199021
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.14199021
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@@H]1C,0.14199021
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.14199021
C[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.24450336
