SMILES,ROCK1
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.1908607
Oc1nc(c2ccccc2C2CC2)no1,0.0540489
Clc1cc(c2ccccc2C2CC2)no1,0.12367469
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.18097432
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.18097432
OCc1cc(c2ccccc2C2CC2)no1,0.13741215
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.118753865
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.14301586
O[C@H](c1ccccc1C1CC1)C1CNC1,0.14301586
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.14283544
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.14283544
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.053489234
NC1CN(Cc2ccccc2C2CC2)C1,0.14474703
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.086811915
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.05012175
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.17662609
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.17662609
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.18144412
N[C@H](c1ccccc1C1CCC1)C1CC1,0.18144412
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.11601988
O[C@H](c1ccccc1C1CCC1)C1CC1,0.11601988
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.13018906
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.049758907
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.15973057
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.15973057
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.17800163
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.07664624
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.13620616
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.101734154
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.16175227
