SMILES,RXRA
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.04890315
Oc1nc(c2ccccc2C2CC2)no1,0.1614542
Clc1cc(c2ccccc2C2CC2)no1,0.06768524
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.13267541
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.13267541
OCc1cc(c2ccccc2C2CC2)no1,0.097654104
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.0651617
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.088442296
O[C@H](c1ccccc1C1CC1)C1CNC1,0.088442296
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.20422255
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.20422255
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.15828347
NC1CN(Cc2ccccc2C2CC2)C1,0.042454343
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.037060298
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.045691937
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.13893956
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.13893956
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.2734278
N[C@H](c1ccccc1C1CCC1)C1CC1,0.2734278
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.14873143
O[C@H](c1ccccc1C1CCC1)C1CC1,0.14873143
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.05551608
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.052548125
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.07676565
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.07676565
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.10375985
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.05339776
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.066116184
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.055057894
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.17520192
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.17520192
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.17520192
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.045610152
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.17520192
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.1488714
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.1488714
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.1488714
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.1488714
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.04080141
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.10257423
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.10257423
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.10257423
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.10257423
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.15009476
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.15009476
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.15009476
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.15009476
