SMILES,RXRG
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.2108057
Oc1nc(c2ccccc2C2CC2)no1,0.3104804
Clc1cc(c2ccccc2C2CC2)no1,0.29205847
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.35170344
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.35170344
OCc1cc(c2ccccc2C2CC2)no1,0.28579605
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.25088918
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.29008272
O[C@H](c1ccccc1C1CC1)C1CNC1,0.29008272
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.49745232
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.49745232
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.3229423
NC1CN(Cc2ccccc2C2CC2)C1,0.26645774
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.25909713
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.23297226
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.22708014
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.22708014
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.42495483
N[C@H](c1ccccc1C1CCC1)C1CC1,0.42495483
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.38281316
O[C@H](c1ccccc1C1CCC1)C1CC1,0.38281316
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.25182128
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.27590165
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.3730533
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.3730533
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.2793175
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.23865451
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.26916903
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.24139716
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.35987112
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.35987112
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.35987112
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.1996311
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.35987112
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.37360582
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.37360582
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.37360582
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.37360582
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.20970064
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.33104476
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.33104476
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.33104476
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.33104476
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.32062146
