SMILES,S1PR1
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.026945718
Oc1nc(c2ccccc2C2CC2)no1,0.4170165
Clc1cc(c2ccccc2C2CC2)no1,0.32310003
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.11363687
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.11363687
OCc1cc(c2ccccc2C2CC2)no1,0.41487926
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.1514377
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.08050379
O[C@H](c1ccccc1C1CC1)C1CNC1,0.08050379
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.05277706
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.05277706
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.03581282
NC1CN(Cc2ccccc2C2CC2)C1,0.091307774
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.13024768
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.16538702
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.6376245
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.6376245
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.18963827
N[C@H](c1ccccc1C1CCC1)C1CC1,0.18963827
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.12030889
O[C@H](c1ccccc1C1CCC1)C1CC1,0.12030889
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.135513
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.21685097
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.18134385
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.18134385
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.07527626
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.14946501
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.024385773
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.060441352
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.09804378
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.09804378
