SMILES,SMO
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.18128787
Oc1nc(c2ccccc2C2CC2)no1,0.6284736
Clc1cc(c2ccccc2C2CC2)no1,0.7241635
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.5427227
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.5427227
OCc1cc(c2ccccc2C2CC2)no1,0.4949203
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.5418369
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.26552737
O[C@H](c1ccccc1C1CC1)C1CNC1,0.26552737
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.33557972
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.33557972
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.33157292
NC1CN(Cc2ccccc2C2CC2)C1,0.36605513
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.20550284
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.14004809
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.34484887
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.34484887
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.3364481
N[C@H](c1ccccc1C1CCC1)C1CC1,0.3364481
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.36918744
O[C@H](c1ccccc1C1CCC1)C1CC1,0.36918744
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.25519824
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.13661678
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.40684882
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.40684882
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.25321463
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.27409118
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.20746574
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.18631501
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.44258544
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.44258544
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.44258544
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.23886175
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.44258544
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.32566938
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.32566938
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.32566938
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.32566938
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.29133576
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.47006646
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.47006646
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.47006646
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.47006646
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.583681
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.583681
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.583681
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.583681
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.2730213
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.2730213
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.3949224
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.3949224
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.3949224
O[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.3949224
CC1(C#N)CN(Cc2ccccc2C2CC2)C1,0.19509786
NC1=NC[C@@H](c2ccccc2C2CC2)N1,0.3077714
NC1=NC[C@H](c2ccccc2C2CC2)N1,0.3077714
NC1=NC[C@@H](c2ccccc2C2CC2)O1,0.42520237
NC1=NC[C@H](c2ccccc2C2CC2)O1,0.42520237
CC(C)(C)n1cnc(c2ccccc2C2CC2)c1N,0.2638662
N#C[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.49022302
N#C[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.49022302
N#C[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.49022302
N#C[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.49022302
CN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.3559614
CN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.3559614
CC1([C@@H](NN)c2ccccc2C2CCC2)CC1,0.37063667
CC1([C@H](NN)c2ccccc2C2CCC2)CC1,0.37063667
CC1(C)NCC[C@H]1c1ccccc1C1CC1,0.3877025
CC1(C)NCC[C@@H]1c1ccccc1C1CC1,0.3877025
C[C@@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.267455
C[C@@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.267455
CC1(C)C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.23184735
CC1(C)C[C@@H]1[C@@H](N)c1ccccc1C1CCC1,0.23184735
CC1(C)C[C@H]1[C@@H](N)c1ccccc1C1CCC1,0.23184735
C[C@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.267455
C[C@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.267455
CC1(C)C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.23184735
Cn1c(N)c(c2ccccc2C2CC2)nc1C(C)(C)C,0.29046518
CCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.28112483
CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.43777227
CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.43777227
C[C@@H]1C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.28810894
C[C@@H]1C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.28810894
CC[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.22414662
CC[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.22414662
CC[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.22414662
CC[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.22414662
C[C@@H]1C[C@H]1[C@H](O)c1ccccc1C1CCC1,0.36056802
C[C@@H]1C[C@@H]1[C@H](O)c1ccccc1C1CCC1,0.36056802
C[C@@H]1C[C@H]1[C@H](NN)c1ccccc1C1CCC1,0.30906317
C[C@@H]1C[C@H]1[C@@H](NN)c1ccccc1C1CCC1,0.30906317
C[C@@H]1C[C@@H]1[C@@H](NN)c1ccccc1C1CCC1,0.30906317
C[C@@H]1C[C@@H]1[C@H](NN)c1ccccc1C1CCC1,0.30906317
CCc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.26020905
CCCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.1946316
CC[C@@H]1N[C@H](C)C[C@H]1c1ccccc1C1CC1,0.51695377
CC(C)(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.20976613
CC(C)c1onc(c2ccccc2C2CC2)c1C(=O)O,0.4569609
Cc1nc(c2ccccc2C2CC2)c(N)n1CC(C)C,0.313717
OC[C@@H]1CC(=NO1)c1ccccc1C1CC1,0.30618095
OC[C@H]1CC(=NO1)c1ccccc1C1CC1,0.30618095
NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.36000177
NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.36000177
NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.36000177
NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.36000177
CCCc1onc(c2ccccc2C2CC2)c1C(=O)O,0.25232512
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.22344503
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)(C)C,0.25620335
CN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.44439125
CN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.44439125
CCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.25639984
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.16178343
CCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.331168
CCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.331168
COCCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.14460811
COCCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.14460811
CC(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.3869642
CC(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.3869642
CC1(C)C([C@@H](N)c2ccccc2C2CCC2)C1(C)C,0.249895
CC1(C)C([C@H](N)c2ccccc2C2CCC2)C1(C)C,0.249895
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.1141282
CC[C@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.21348481
CC[C@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.21348481
CC[C@@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.21348481
CC[C@@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.21348481
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@@H]1C,0.23868854
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.23868854
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@@H]1C,0.23868854
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.23868854
C[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.5361738
C[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.5361738
C[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.5361738
C[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.5361738
CCCN[C@@H](c1ccccc1C1CCC1)C1(C)CC1,0.20069835
CCCN[C@H](c1ccccc1C1CCC1)C1(C)CC1,0.20069835
NS(=O)(=O)c1c(C(F)(F)F)ccc(C2CC2)c1c1nn[nH]n1,0.21229582
CC(C)Cc1onc(c2ccccc2C2CC2)c1C(=O)O,0.38344806
CCOc1cc(C=O)cc(C2CC2)c1C1CCCC1,0.1264728
C[C@@]1(C(=O)N)C[N@H+](Cc2ccccc2C2CC2)C1,0.26340926
CC(C)CN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.2334696
