SMILES,SPHK1
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.44408444
Oc1nc(c2ccccc2C2CC2)no1,0.46194807
Clc1cc(c2ccccc2C2CC2)no1,0.48074257
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.48472145
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.48472145
OCc1cc(c2ccccc2C2CC2)no1,0.5040116
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.45980436
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.38834542
O[C@H](c1ccccc1C1CC1)C1CNC1,0.38834542
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.54691154
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.54691154
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.3358798
NC1CN(Cc2ccccc2C2CC2)C1,0.45018575
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.35342067
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.37756723
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.45773962
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.45773962
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.49164605
N[C@H](c1ccccc1C1CCC1)C1CC1,0.49164605
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.44402212
O[C@H](c1ccccc1C1CCC1)C1CC1,0.44402212
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.26690686
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.3280075
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.38046107
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.38046107
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.2527814
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.32182276
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.2997612
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.24611753
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.4273355
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.4273355
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.4273355
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.26229054
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.4273355
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.5553565
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.5553565
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.5553565
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.5553565
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.24422671
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.42509377
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.42509377
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.42509377
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.42509377
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.41702333
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.41702333
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.41702333
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.41702333
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.40963152
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.40963152
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.5833658
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.5833658
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.5833658
O[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.5833658
CC1(C#N)CN(Cc2ccccc2C2CC2)C1,0.3482723
NC1=NC[C@@H](c2ccccc2C2CC2)N1,0.3921849
NC1=NC[C@H](c2ccccc2C2CC2)N1,0.3921849
NC1=NC[C@@H](c2ccccc2C2CC2)O1,0.39998832
NC1=NC[C@H](c2ccccc2C2CC2)O1,0.39998832
CC(C)(C)n1cnc(c2ccccc2C2CC2)c1N,0.29484907
N#C[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.36188588
N#C[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.36188588
N#C[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.36188588
N#C[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.36188588
CN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.36852568
CN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.36852568
CC1([C@@H](NN)c2ccccc2C2CCC2)CC1,0.4524932
CC1([C@H](NN)c2ccccc2C2CCC2)CC1,0.4524932
CC1(C)NCC[C@H]1c1ccccc1C1CC1,0.39131522
CC1(C)NCC[C@@H]1c1ccccc1C1CC1,0.39131522
C[C@@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.30683276
C[C@@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.30683276
CC1(C)C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.37235835
CC1(C)C[C@@H]1[C@@H](N)c1ccccc1C1CCC1,0.37235835
CC1(C)C[C@H]1[C@@H](N)c1ccccc1C1CCC1,0.37235835
C[C@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.30683276
C[C@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.30683276
CC1(C)C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.37235835
Cn1c(N)c(c2ccccc2C2CC2)nc1C(C)(C)C,0.24581861
CCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.28489763
CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.4137372
CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.4137372
C[C@@H]1C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.44055176
C[C@@H]1C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.44055176
CC[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.5242328
CC[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.5242328
CC[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.5242328
CC[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.5242328
C[C@@H]1C[C@H]1[C@H](O)c1ccccc1C1CCC1,0.4391798
C[C@@H]1C[C@@H]1[C@H](O)c1ccccc1C1CCC1,0.4391798
C[C@@H]1C[C@H]1[C@H](NN)c1ccccc1C1CCC1,0.37304989
C[C@@H]1C[C@H]1[C@@H](NN)c1ccccc1C1CCC1,0.37304989
C[C@@H]1C[C@@H]1[C@@H](NN)c1ccccc1C1CCC1,0.37304989
C[C@@H]1C[C@@H]1[C@H](NN)c1ccccc1C1CCC1,0.37304989
CCc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.29010472
CCCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.37846625
CC[C@@H]1N[C@H](C)C[C@H]1c1ccccc1C1CC1,0.45293197
CC(C)(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.25664595
CC(C)c1onc(c2ccccc2C2CC2)c1C(=O)O,0.2653523
Cc1nc(c2ccccc2C2CC2)c(N)n1CC(C)C,0.28582025
OC[C@@H]1CC(=NO1)c1ccccc1C1CC1,0.38742217
OC[C@H]1CC(=NO1)c1ccccc1C1CC1,0.38742217
NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.42633498
NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.42633498
NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.42633498
NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.42633498
CCCc1onc(c2ccccc2C2CC2)c1C(=O)O,0.3571702
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.27100497
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)(C)C,0.33992037
CN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.3541742
CN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.3541742
CCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.30928224
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.22450599
CCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.4922399
CCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.4922399
COCCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.2720643
COCCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.2720643
CC(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.3766046
CC(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.3766046
CC1(C)C([C@@H](N)c2ccccc2C2CCC2)C1(C)C,0.44905692
CC1(C)C([C@H](N)c2ccccc2C2CCC2)C1(C)C,0.44905692
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.24227482
CC[C@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.4080407
CC[C@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.4080407
CC[C@@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.4080407
CC[C@@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.4080407
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@@H]1C,0.42310444
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.42310444
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@@H]1C,0.42310444
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.42310444
C[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.40426058
C[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.40426058
C[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.40426058
C[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.40426058
CCCN[C@@H](c1ccccc1C1CCC1)C1(C)CC1,0.51296026
CCCN[C@H](c1ccccc1C1CCC1)C1(C)CC1,0.51296026
NS(=O)(=O)c1c(C(F)(F)F)ccc(C2CC2)c1c1nn[nH]n1,0.29337272
CC(C)Cc1onc(c2ccccc2C2CC2)c1C(=O)O,0.25596407
CCOc1cc(C=O)cc(C2CC2)c1C1CCCC1,0.29728216
C[C@@]1(C(=O)N)C[N@H+](Cc2ccccc2C2CC2)C1,0.36679918
CC(C)CN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.37037247
CC(C)CN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.37037247
CC(C)N1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.30679187
CC(C)N1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.30679187
CC(C)N1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.30679187
CC(C)N1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.30679187
CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.2670899
CCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.3951236
CCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.3951236
CCCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.3649062
C=CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.17885159
CCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.36909685
CCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.36909685
CCCN1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.40965378
CCCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.40965378
CCCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.40965378
CCCN1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.40965378
NN[C@@H](c1ccccc1C1CCC1)C1CC1,0.40734
NN[C@H](c1ccccc1C1CCC1)C1CC1,0.40734
CC(C)CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.439594
CC(C)CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.439594
CC(C)CN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.439594
CC(C)CN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.439594
CCOc1cc(C2CCC2)c(C2CC2)cc1CO,0.49730664
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1CO,0.4580343
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.29107276
CN(C)CCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.3465654
CN(C)CCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.3465654
CCOc1cc(C=O)cc(C2CC2)c1C1CCC1,0.27781984
CC1(OCC(=O)O)CN(Cc2ccccc2C2CC2)C1,0.33219802
CC(C)Oc1cc(C2CCC2)c(C2CC2)cc1C=O,0.30123818
CCCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.39575654
CCCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.39575654
CCCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.39575654
CCCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.39575654
CCCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.3055628
CCOc1cc(C2CCC2)c(C2CC2)cc1C=O,0.36792937
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1C=O,0.32161075
CCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.35602236
CCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.35602236
CCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.35602236
CCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.35602236
CC(C)(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.36664182
CC(C)(C)N1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.36664182
CC(C)(C)N1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.36664182
CC(C)(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.36664182
CCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.3814008
CCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.3814008
CCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.3814008
CCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.3814008
CN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.40616956
CN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.40616956
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.2534078
CC(C)NC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.2930267
CC(C)NC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.2930267
CC(C)NC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.2930267
CC(C)NC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.2930267
CNC[C@@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.2946426
CNC[C@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.2946426
CNC[C@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.2946426
CNC[C@@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.2946426
CC(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.33545142
CC(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.33545142
CC(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.33545142
CC(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.33545142
CC(C)CNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.33194402
CC(C)CNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.33194402
CC(C)CNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.33194402
CC(C)CNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.33194402
COCCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.41177917
COCCN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.41177917
COCCN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.41177917
COCCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.41177917
CCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.3820533
CCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.3820533
CCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.3820533
CCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.3820533
CC(C)(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.3715933
CC(C)(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.3715933
CC(C)(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.3715933
CC(C)(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.3715933
CCCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.33672112
CCCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.33672112
CCCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.33672112
CCCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.33672112
CCN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.44149116
CCN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.44149116
CCOC(=O)c1cc(OCC)c(C2CCC2)c(C2CC2)c1,0.22083648
COCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.280954
COCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.280954
COCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.280954
COCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.28095406
