SMILES,TNKS2
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.28671178
Oc1nc(c2ccccc2C2CC2)no1,0.42763326
Clc1cc(c2ccccc2C2CC2)no1,0.2433255
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.33897263
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.33897263
OCc1cc(c2ccccc2C2CC2)no1,0.21245359
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.26394054
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.23012896
O[C@H](c1ccccc1C1CC1)C1CNC1,0.23012896
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.45030257
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.45030257
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.19442418
NC1CN(Cc2ccccc2C2CC2)C1,0.35482192
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.26033548
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.24167679
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.20201156
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.20201156
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.2729255
N[C@H](c1ccccc1C1CCC1)C1CC1,0.2729255
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.30777386
O[C@H](c1ccccc1C1CCC1)C1CC1,0.30777386
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.3582456
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.14122581
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.2307985
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.2307985
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.21781716
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.23352821
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.14106417
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.1861155
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.30169436
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.30169436
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.30169436
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.24383484
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.30169436
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.34427562
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.34427562
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.34427562
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.34427562
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.15887502
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.3866232
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.3866232
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.3866232
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.3866232
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.28336138
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.28336138
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.28336138
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.28336138
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.1671351
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.1671351
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.3116225
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.3116225
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.3116225
O[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.3116225
CC1(C#N)CN(Cc2ccccc2C2CC2)C1,0.37645525
NC1=NC[C@@H](c2ccccc2C2CC2)N1,0.4022098
NC1=NC[C@H](c2ccccc2C2CC2)N1,0.4022098
NC1=NC[C@@H](c2ccccc2C2CC2)O1,0.32181868
NC1=NC[C@H](c2ccccc2C2CC2)O1,0.32181868
CC(C)(C)n1cnc(c2ccccc2C2CC2)c1N,0.23059586
N#C[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.486778
N#C[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.486778
N#C[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.486778
N#C[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.486778
CN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.2709689
CN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.2709689
CC1([C@@H](NN)c2ccccc2C2CCC2)CC1,0.29038095
CC1([C@H](NN)c2ccccc2C2CCC2)CC1,0.29038095
CC1(C)NCC[C@H]1c1ccccc1C1CC1,0.26223522
CC1(C)NCC[C@@H]1c1ccccc1C1CC1,0.26223522
C[C@@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.18010996
C[C@@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.18010996
CC1(C)C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.18595466
CC1(C)C[C@@H]1[C@@H](N)c1ccccc1C1CCC1,0.18595466
CC1(C)C[C@H]1[C@@H](N)c1ccccc1C1CCC1,0.18595466
C[C@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.18010996
C[C@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.18010996
CC1(C)C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.18595466
Cn1c(N)c(c2ccccc2C2CC2)nc1C(C)(C)C,0.2930236
CCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.2393449
CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.19609582
CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.19609582
C[C@@H]1C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.30165896
C[C@@H]1C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.30165896
CC[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.4021569
CC[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.4021569
CC[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.4021569
CC[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.4021569
C[C@@H]1C[C@H]1[C@H](O)c1ccccc1C1CCC1,0.32653913
C[C@@H]1C[C@@H]1[C@H](O)c1ccccc1C1CCC1,0.32653913
C[C@@H]1C[C@H]1[C@H](NN)c1ccccc1C1CCC1,0.2310264
C[C@@H]1C[C@H]1[C@@H](NN)c1ccccc1C1CCC1,0.2310264
C[C@@H]1C[C@@H]1[C@@H](NN)c1ccccc1C1CCC1,0.2310264
C[C@@H]1C[C@@H]1[C@H](NN)c1ccccc1C1CCC1,0.2310264
CCc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.37164864
CCCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.19572836
CC[C@@H]1N[C@H](C)C[C@H]1c1ccccc1C1CC1,0.27466708
CC(C)(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.2001206
CC(C)c1onc(c2ccccc2C2CC2)c1C(=O)O,0.21746315
Cc1nc(c2ccccc2C2CC2)c(N)n1CC(C)C,0.23082526
OC[C@@H]1CC(=NO1)c1ccccc1C1CC1,0.21932644
OC[C@H]1CC(=NO1)c1ccccc1C1CC1,0.21932644
NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.34252205
NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.34252205
NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.34252205
NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.34252205
CCCc1onc(c2ccccc2C2CC2)c1C(=O)O,0.23797435
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.19887552
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)(C)C,0.29955342
CN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.17075495
CN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.17075495
