SMILES,TYK2
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.092497036
Oc1nc(c2ccccc2C2CC2)no1,0.14901295
Clc1cc(c2ccccc2C2CC2)no1,0.24383
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.12664957
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.12664957
OCc1cc(c2ccccc2C2CC2)no1,0.13255982
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.24000916
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.22238745
O[C@H](c1ccccc1C1CC1)C1CNC1,0.22238745
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.18494259
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.18494259
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.2072278
NC1CN(Cc2ccccc2C2CC2)C1,0.16607197
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.10009814
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.12741563
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.09620884
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.09620884
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.108651
N[C@H](c1ccccc1C1CCC1)C1CC1,0.108651
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.22217202
O[C@H](c1ccccc1C1CCC1)C1CC1,0.22217202
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.11408626
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.12277212
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.20075081
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.20075081
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.18618938
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.10352126
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.21144265
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.11493131
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.19184746
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.19184746
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.19184746
