SMILES,TYRO3
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.29858008
Oc1nc(c2ccccc2C2CC2)no1,0.61952144
Clc1cc(c2ccccc2C2CC2)no1,0.55043066
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.5631404
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.5631404
OCc1cc(c2ccccc2C2CC2)no1,0.54651105
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.6353134
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.48239505
O[C@H](c1ccccc1C1CC1)C1CNC1,0.48239505
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.5931005
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.5931005
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.5895684
NC1CN(Cc2ccccc2C2CC2)C1,0.55826676
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.60940576
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.5823266
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.52862525
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.52862525
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.46911275
N[C@H](c1ccccc1C1CCC1)C1CC1,0.46911275
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.5022385
O[C@H](c1ccccc1C1CCC1)C1CC1,0.5022385
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.51292926
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.61658484
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.5018487
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.5018487
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.5792832
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.6100208
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.5123904
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.6077134
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.41966414
