SMILES,WEE1
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.0232718
Oc1nc(c2ccccc2C2CC2)no1,0.10628802
Clc1cc(c2ccccc2C2CC2)no1,0.13015686
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.07921803
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.07921803
OCc1cc(c2ccccc2C2CC2)no1,0.14086947
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.0999406
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.081372894
O[C@H](c1ccccc1C1CC1)C1CNC1,0.081372894
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.1383581
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.1383581
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.08865597
NC1CN(Cc2ccccc2C2CC2)C1,0.058423318
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.10842752
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.06482108
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.037156016
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.037156016
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.040123228
N[C@H](c1ccccc1C1CCC1)C1CC1,0.040123228
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.049594678
O[C@H](c1ccccc1C1CCC1)C1CC1,0.049594678
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.10825038
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.06673518
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.0607433
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.0607433
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.11804914
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.094239496
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.07772493
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.09027889
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.10957048
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.10957048
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.10957048
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.07898709
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.10957048
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.0833179
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.0833179
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.0833179
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.0833179
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.050658472
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.08892488
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.08892488
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.08892488
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.08892488
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.099457934
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.099457934
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.099457934
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.099457934
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.02485874
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.02485874
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.096686736
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.096686736
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.096686736
O[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.096686736
CC1(C#N)CN(Cc2ccccc2C2CC2)C1,0.083669566
NC1=NC[C@@H](c2ccccc2C2CC2)N1,0.10305645
NC1=NC[C@H](c2ccccc2C2CC2)N1,0.10305645
NC1=NC[C@@H](c2ccccc2C2CC2)O1,0.06305049
NC1=NC[C@H](c2ccccc2C2CC2)O1,0.06305049
CC(C)(C)n1cnc(c2ccccc2C2CC2)c1N,0.12975942
N#C[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.102520056
N#C[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.102520056
N#C[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.102520056
N#C[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.102520056
CN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.032423556
CN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.032423556
CC1([C@@H](NN)c2ccccc2C2CCC2)CC1,0.04237456
CC1([C@H](NN)c2ccccc2C2CCC2)CC1,0.04237456
CC1(C)NCC[C@H]1c1ccccc1C1CC1,0.11904215
CC1(C)NCC[C@@H]1c1ccccc1C1CC1,0.11904215
C[C@@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.094121754
C[C@@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.094121754
CC1(C)C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.041801106
CC1(C)C[C@@H]1[C@@H](N)c1ccccc1C1CCC1,0.041801106
CC1(C)C[C@H]1[C@@H](N)c1ccccc1C1CCC1,0.041801106
C[C@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.094121754
C[C@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.094121754
CC1(C)C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.041801106
Cn1c(N)c(c2ccccc2C2CC2)nc1C(C)(C)C,0.13953482
CCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.06821631
CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.1314429
CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.1314429
C[C@@H]1C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.040218696
C[C@@H]1C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.040218696
CC[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.06821974
CC[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.06821974
CC[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.06821974
CC[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.06821974
C[C@@H]1C[C@H]1[C@H](O)c1ccccc1C1CCC1,0.042163346
C[C@@H]1C[C@@H]1[C@H](O)c1ccccc1C1CCC1,0.042163346
C[C@@H]1C[C@H]1[C@H](NN)c1ccccc1C1CCC1,0.036537435
C[C@@H]1C[C@H]1[C@@H](NN)c1ccccc1C1CCC1,0.036537435
C[C@@H]1C[C@@H]1[C@@H](NN)c1ccccc1C1CCC1,0.036537435
C[C@@H]1C[C@@H]1[C@H](NN)c1ccccc1C1CCC1,0.036537435
CCc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.054930553
CCCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.13448909
CC[C@@H]1N[C@H](C)C[C@H]1c1ccccc1C1CC1,0.056686122
CC(C)(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.083563805
CC(C)c1onc(c2ccccc2C2CC2)c1C(=O)O,0.061567333
Cc1nc(c2ccccc2C2CC2)c(N)n1CC(C)C,0.12784134
OC[C@@H]1CC(=NO1)c1ccccc1C1CC1,0.118760556
OC[C@H]1CC(=NO1)c1ccccc1C1CC1,0.118760556
NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.057565916
NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.057565916
NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.057565916
NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.057565916
CCCc1onc(c2ccccc2C2CC2)c1C(=O)O,0.08435454
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.063794464
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)(C)C,0.084646985
CN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.0625269
CN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.0625269
CCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.06360937
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.058444634
CCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.091567844
CCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.091567844
COCCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.044079702
COCCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.044079702
CC(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.09693544
CC(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.09693544
CC1(C)C([C@@H](N)c2ccccc2C2CCC2)C1(C)C,0.035000935
CC1(C)C([C@H](N)c2ccccc2C2CCC2)C1(C)C,0.035000935
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.050952315
CC[C@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.02765979
CC[C@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.02765979
CC[C@@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.02765979
CC[C@@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.02765979
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@@H]1C,0.017451975
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.017451975
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@@H]1C,0.017451975
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.017451975
C[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.14185114
C[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.14185114
C[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.14185114
C[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.14185114
CCCN[C@@H](c1ccccc1C1CCC1)C1(C)CC1,0.019827196
CCCN[C@H](c1ccccc1C1CCC1)C1(C)CC1,0.019827196
NS(=O)(=O)c1c(C(F)(F)F)ccc(C2CC2)c1c1nn[nH]n1,0.016286358
CC(C)Cc1onc(c2ccccc2C2CC2)c1C(=O)O,0.040900882
CCOc1cc(C=O)cc(C2CC2)c1C1CCCC1,0.030880086
C[C@@]1(C(=O)N)C[N@H+](Cc2ccccc2C2CC2)C1,0.049881224
CC(C)CN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.039255694
CC(C)CN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.039255694
CC(C)N1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.045760904
CC(C)N1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.045760904
CC(C)N1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.045760904
CC(C)N1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.045760904
CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.07578746
CCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.04995716
CCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.04995716
CCCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.09210715
C=CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.060593303
CCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.023708656
