SMILES,ZAP70
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.11074597
Oc1nc(c2ccccc2C2CC2)no1,0.21729794
Clc1cc(c2ccccc2C2CC2)no1,0.25712976
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.2703956
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.2703956
OCc1cc(c2ccccc2C2CC2)no1,0.25379273
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.21564385
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.16080089
O[C@H](c1ccccc1C1CC1)C1CNC1,0.16080089
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.18895467
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.18895467
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.18925226
NC1CN(Cc2ccccc2C2CC2)C1,0.20285694
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.15587284
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.18145984
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.18124819
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.18124819
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.22848552
N[C@H](c1ccccc1C1CCC1)C1CC1,0.22848552
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.21936959
O[C@H](c1ccccc1C1CCC1)C1CC1,0.21936959
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.17056046
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.1398853
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.25404873
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.25404873
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.14675857
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.11798101
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.17723621
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.1750591
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.18202849
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.18202849
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.18202849
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.16301869
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.18202849
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.21703415
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.21703415
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.21703415
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.21703415
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.16630663
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.262717
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.262717
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.262717
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.262717
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.20212188
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.20212188
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.20212188
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.20212188
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.18780364
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.18780364
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.21283798
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.21283798
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.21283798
O[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.21283798
CC1(C#N)CN(Cc2ccccc2C2CC2)C1,0.15256824
NC1=NC[C@@H](c2ccccc2C2CC2)N1,0.17900959
NC1=NC[C@H](c2ccccc2C2CC2)N1,0.17900959
