ID,SMILES,y
ZINC000049067631,Cn1cc(-c2cc3c(cn2)OC2(CCN(C(=O)c4ccc5[nH]c(-c6ccn(C)n6)nc5c4)CC2)CC3=O)cn1,1
ZINC000049112128,Cc1cc(C(=O)N2CCC3(CC2)CC(=O)c2cc(-c4cnn(C)c4)ncc2O3)cc2cn[nH]c12,1
ZINC000049068864,COc1cc2c(cn1)OC1(CCN(C(=O)c3cc(C)c4[nH]ncc4c3)CC1)CC2=O,1
ZINC000095581932,CNc1ccc2ccc(C(=O)N3CCC4(CC3)CC(=O)c3nn(C(C)(C)C)cc3C4)cc2n1,1
ZINC000096283399,CCCNc1ccc2ccc(C(=O)N3CCC4(CC3)Cc3cn(C(C)(C)C)nc3C(=O)N4)cc2n1,1
ZINC000207531097,COc1ccccc1[C@H](Cn1c(=O)n(C(C)(C)C(=O)O)c(=O)c2c(C)c(-c3ncco3)sc21)OC1CCOCC1,1
ZINC000095582237,COc1ccc2ncc(C(=O)N3CCC4(CC3)CC(=O)c3c(cnn3C(C)C)C4)cc2c1,1
ZINC000096283395,CN(C)c1ccc2ccc(C(=O)N3CCC4(CC3)Cc3cn(C(C)(C)C)nc3C(=O)N4)cc2n1,1
ZINC000095584880,CC(C)n1ncc2c1C(=O)CC1(CCN(C(=O)c3ccc4[nH]c(C(N)=O)cc4c3)CC1)C2,1
ZINC000035259988,CC(=O)N[C@@H](C)c1cc(-c2cnc(Oc3ccc(OC(C)C)cc3)s2)no1,1
ZINC000096283397,CC(C)(C)n1cc2c(n1)C(=O)NC1(CCN(C(=O)c3ccc4c(Cl)c[nH]c4c3)CC1)C2,1
ZINC000299844000,CO[C@H]1CCCC[C@@H](c2ccccc2)OC(=O)[C@@H](C)[C@@]2(O)O[C@@H]([C@@H](C)/C=C/[C@H]1OC(=O)CCC1=[N+]3C(=Cc4c(C)cc(C)n4[B-]3(F)F)C=C1)[C@@H](C)[C@H](O)[C@H]2OC,1
ZINC000012339911,CCCOc1ccc(Oc2ncc(C#C[C@@H](C)NC(C)=O)s2)cc1,1
ZINC000012339912,CCCOc1ccc(Oc2ncc(C#C[C@H](C)NC(C)=O)s2)cc1,1
ZINC000096283388,COc1ccc2ccc(C(=O)N3CCC4(CC3)Cc3cn(C(C)(C)C)nc3C(=O)N4)cc2n1,1
ZINC000096283394,COc1nccc2ccc(C(=O)N3CCC4(CC3)Cc3cn(C(C)(C)C)nc3C(=O)N4)cc12,1
ZINC000096283396,CNc1ccc2ccc(C(=O)N3CCC4(CC3)Cc3cn(C(C)(C)C)nc3C(=O)N4)cc2n1,1
ZINC000043197872,CNC(=O)Nc1sc2nc(C)ccc2c1C(=O)N1CCC(N2CCC[C@@]3(C2)CC(C)(C)OC3=O)CC1,1
ZINC000049067243,Cc1cc(C(=O)N2CCC3(CC2)CC(=O)c2c(ccnc2OC(C)C)O3)cc2cn[nH]c12,1
ZINC000049068803,Cc1cc(C(=O)N2CCC3(CC2)CC(=O)c2cc(-c4cc[nH]n4)ccc2O3)cc2cn[nH]c12,1
ZINC000096283398,CCC(C)(C)n1cc2c(n1)C(=O)NC1(CCN(C(=O)c3cc(C)c4[nH]nc(C)c4c3)CC1)C2,1
ZINC000084688676,CCNC(=O)Nc1sc2c(OC)cccc2c1C(=O)N1CCC(N2CCCC3(C2)C(=O)N2CCCCN2C3=O)CC1,1
ZINC000036185010,CC(=O)N[C@@H](C)C#Cc1cnc(Oc2ccc(OCC3CCCC3)cc2)s1,1
ZINC000036185011,CC(=O)N[C@H](C)C#Cc1cnc(Oc2ccc(OCC3CCCC3)cc2)s1,1
ZINC000096283389,CC(C)(C)n1cc2c(n1)C(=O)NC1(CCN(C(=O)c3cnc4c(Cl)c[nH]c4c3)CC1)C2,1
ZINC000084690381,CCNC(=O)Nc1sc2ccccc2c1C(=O)N1CCC(N2CCCC3(C2)C(=O)N2CCCCCCN2C3=O)CC1,1
ZINC000034946415,CCNC(=O)Nc1sc2ccccc2c1C(=O)N1CCC(N2CCC[C@@]3(C2)CC(C)(C)OC3=O)CC1,1
ZINC000103252716,CCOc1ccc(N2CCN(c3noc([C@H](C)NC(C)=O)n3)[C@@H](C)C2)c(C)c1,1
ZINC000084688675,COc1cccc2c(C(=O)N3CCC(N4CCCC5(C4)C(=O)N4CCCCN4C5=O)CC3)c(NC(N)=O)sc12,1
ZINC000035930308,CC(=O)N[C@H](C)C#Cc1ccc(Oc2ccc(OC(C)C)cc2)cc1,1
ZINC000035930309,CC(=O)N[C@@H](C)C#Cc1ccc(Oc2ccc(OC(C)C)cc2)cc1,1
ZINC000096283387,Cc1n[nH]c2c(C)cc(C(=O)N3CCC4(CC3)Cc3cn(C(C)(C)C)nc3C(=O)N4)cc12,1
ZINC000096283391,CNc1nccc2ccc(C(=O)N3CCC4(CC3)Cc3cn(C(C)(C)C)nc3C(=O)N4)cc12,1
ZINC000043207917,CNC(=O)Nc1sc2c(OC)cccc2c1C(=O)N1CCC(N2CCCC3(C2)C(=O)N2CCCCN2C3=O)CC1,1
ZINC000049114621,Cc1cc(C(=O)N2CCC3(CC2)CC(=O)c2cc(-c4ccn(C)n4)ccc2O3)cc2cn[nH]c12,1
ZINC000049066866,Cc1noc(C)c1-c1ccc2c(c1)C(=O)CC1(CCN(C(=O)c3cc(C)c4[nH]ncc4c3)CC1)O2,1
ZINC000049115517,COc1cccc2c1C(=O)CC1(CCN(C(=O)c3cc(C)c4[nH]ncc4c3)CC1)O2,1
ZINC000073296223,Cc1nc2cc(C(=O)N3CCC4(CC3)CC(=O)c3nn(C(C)(C)C)cc3O4)cc(C)c2[nH]1,1
ZINC000096283390,CC(C)(C)n1cc2c(n1)C(=O)NC1(CCN(C(=O)c3ccc4[nH]cc(Cl)c4c3)CC1)C2,1
ZINC000096283392,CC(C)(C)n1cc2c(n1)C(=O)NC1(CCN(C(=O)c3ccc4[nH]nc(Cl)c4c3)CC1)C2,1
ZINC000073314836,Cc1cc(C(=O)N2CCC3(CC2)CC(=O)c2nn(C(C)(C)C)cc2O3)cc2cn[nH]c12,1
ZINC000012339913,CC(=O)N[C@H](C)C#Cc1cnc(Oc2ccc(OCC3CC3)cc2)s1,1
ZINC000012339914,CC(=O)N[C@@H](C)C#Cc1cnc(Oc2ccc(OCC3CC3)cc2)s1,1
ZINC000045252955,CC(=O)N[C@@H](C)c1ccc(-c2ccc(Oc3ccc(Oc4ccccc4)cc3)cc2)cc1,1
ZINC000045252957,CC(=O)N[C@H](C)c1ccc(-c2ccc(Oc3ccc(Oc4ccccc4)cc3)cc2)cc1,1
ZINC000073294747,Cc1cc(C(=O)N2CCC3(CC2)CC(=O)c2nn(C(C)(C)C)cc2O3)cc2nc[nH]c12,1
ZINC000049067983,Cc1cc(-c2ccc3c(c2)C(=O)CC2(CCN(C(=O)c4cc(C)c5[nH]ncc5c4)CC2)O3)n[nH]1,1
ZINC000084691035,CCNC(=O)Nc1sc2ccccc2c1C(=O)N1CCC(N2CCCC3(C2)C(=O)N2CCCCCN2C3=O)CC1,1
