ID,SMILES,y
ZINC000014976181,CC(=O)N[C@@H](CC(C)C)C(=O)N1CCC[C@@H]1[P@](=O)(O)C[C@@H](Cc1ccccc1)C(=O)O,1
ZINC000014976300,CC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N1CCC[C@@H]1[P@](=O)(O)C[C@@H](Cc1cc(-c2ccccc2)no1)C(=O)O,1
ZINC000029051758,CC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N1CCC[C@@H]1[P@](=O)(O)C[C@H](Cc1cc(-c2ccccc2)no1)C(=O)O,1
ZINC000001549629,CC(C)C[C@H](N[C@@H](Cc1cncn1Cc1cc(Cl)cc(Cl)c1)C(=O)O)C(=O)O,1
ZINC000003812851,C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,1
ZINC000014976250,CC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N1CCC[C@@H]1[P@](=O)(O)C[C@@H](Cc1ccccc1)C(=O)O,1
ZINC000029038525,CC[C@@H](C)[C@H](S)C(=O)N[C@@H](Cc1ccc(OCc2ccc(F)c(F)c2)cc1)C(=O)O,1
ZINC000029038492,CC[C@@H](C)[C@H](S)C(=O)N[C@@H](Cc1ccccc1Oc1ccccc1)C(=O)O,1
ZINC000014976291,CC(=O)N[C@@H](CC(C)C)C(=O)N1CCC[C@@H]1[P@](=O)(O)C[C@@H](Cc1cc(-c2ccccc2)no1)C(=O)O,1
ZINC000029051777,CC(=O)N[C@@H](CC(C)C)C(=O)N1CCC[C@@H]1[P@](=O)(O)C[C@H](Cc1cc(-c2ccccc2)no1)C(=O)O,1
ZINC000029038473,CC[C@@H](C)[C@H](S)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O,1
ZINC000029128447,CC[C@H](S)C(=O)N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)O,1
ZINC000029129066,CC(C)C[C@H](S)C(=O)N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)O,1
ZINC000029038457,CC[C@@H](C)[C@H](S)C(=O)N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)O,1
ZINC000029038472,CC[C@@H](C)[C@H](S)C(=O)N[C@@H](Cc1ccccc1)C(=O)O,1
ZINC000029128406,CC(C)[C@H](S)C(=O)N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)O,1
ZINC000029128405,CC[C@H](C)[C@H](S)C(=O)N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)O,1
ZINC000029128363,O=C(O)[C@H](Cc1ccc(-c2ccccc2)cc1)NC(=O)[C@@H](S)C1CCCC1,1
ZINC000029128445,CCCC[C@H](S)C(=O)N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)O,1
ZINC000029038520,CC[C@@H](C)[C@H](S)C(=O)N[C@@H](Cc1ccc(OCc2ccc(F)cc2F)cc1)C(=O)O,1
ZINC000029038475,CC[C@@H](C)[C@H](S)C(=O)N[C@@H](Cc1cccc2ccccc12)C(=O)O,1
ZINC000029038488,CC[C@@H](C)[C@H](S)C(=O)N[C@@H](Cc1cccc(-c2ccccc2)c1)C(=O)O,1
ZINC000029038495,CC[C@@H](C)[C@H](S)C(=O)N[C@@H](Cc1ccc(Oc2ccccc2)cc1)C(=O)O,1
ZINC000029038480,CC[C@@H](C)[C@H](S)C(=O)N[C@@H](Cc1ccc2ccccc2c1)C(=O)O,1
ZINC000029038504,CC[C@@H](C)[C@H](S)C(=O)N[C@@H](Cc1cccc(OCc2ccccc2)c1)C(=O)O,1
ZINC000029128362,O=C(O)[C@H](Cc1ccc(-c2ccccc2)cc1)NC(=O)[C@@H](S)C1CCC1,1
ZINC000029038517,CC[C@@H](C)[C@H](S)C(=O)N[C@@H](Cc1ccc(OCc2ccc(F)cc2)cc1)C(=O)O,1
ZINC000029038509,CC[C@@H](C)[C@H](S)C(=O)N[C@@H](Cc1ccc(OCc2ccccc2)cc1)C(=O)O,1
ZINC000014976215,CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N1CCC[C@@H]1[P@](=O)(O)C[C@@H](Cc1ccccc1)C(=O)O,1
ZINC000014976227,CC(=O)N[C@@H](Cc1ccccc1)C(=O)N1CCC[C@@H]1[P@](=O)(O)C[C@@H](Cc1ccccc1)C(=O)O,1
ZINC000029038494,CC[C@@H](C)[C@H](S)C(=O)N[C@@H](Cc1cccc(Oc2ccccc2)c1)C(=O)O,1
ZINC000029038497,CC[C@@H](C)[C@H](S)C(=O)N[C@@H](Cc1ccccc1OCc1ccccc1)C(=O)O,1
ZINC000014976190,CC(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@@H]1[P@](=O)(O)C[C@@H](Cc1ccccc1)C(=O)O,1
ZINC000014976241,CC(=O)N[C@H](C(=O)N1CCC[C@@H]1[P@](=O)(O)C[C@@H](Cc1ccccc1)C(=O)O)C(C)C,1
ZINC000029128449,C[C@H](S)C(=O)N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)O,1
ZINC000014976203,CC(=O)N[C@@H](CCC(=O)O)C(=O)N1CCC[C@@H]1[P@](=O)(O)C[C@@H](Cc1ccccc1)C(=O)O,1
ZINC000029129063,CC(C)(C)C[C@H](S)C(=O)N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)O,1
ZINC000014976170,CC(=O)N[C@@H](C)C(=O)N1CCC[C@@H]1[P@](=O)(O)C[C@@H](Cc1ccccc1)C(=O)O,1
ZINC000029038464,CC[C@@H](C)[C@H](S)C(=O)N[C@@H](C)C(=O)O,1
ZINC000002038416,CC[C@@H](C)c1ccccc1OC(=O)NC,1
ZINC000002038417,CC[C@H](C)c1ccccc1OC(=O)NC,1
ZINC000029038526,CC[C@@H](C)[C@H](S)C(=O)N[C@@H](Cc1ccc(OCc2ccc(C(F)(F)F)cc2)cc1)C(=O)O,1
ZINC000029038485,CC[C@@H](C)[C@H](S)C(=O)N[C@@H](Cc1ccccc1-c1ccccc1)C(=O)O,1
ZINC000000001090,CNC(=O)Oc1cccc2ccccc12,1
ZINC000029128360,O=C(O)[C@H](Cc1ccc(-c2ccccc2)cc1)NC(=O)[C@@H](S)C1CCCCC1,1
ZINC000029038537,CC[C@@H](C)[C@H](S)C(=O)N[C@@H](Cc1ccc(OCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc1)C(=O)O,1
ZINC000029129065,O=C(O)[C@H](Cc1ccc(-c2ccccc2)cc1)NC(=O)[C@@H](S)c1ccccc1,1
ZINC000027861567,O=C(N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)O)[C@@H](S)Cc1ccccc1,1
ZINC000029038462,CC[C@@H](C)[C@H](S)C(=O)NCC(=O)O,1
ZINC000002040106,CCOP(=O)(OCC)Oc1cc(C)nc(C(C)C)n1,1
ZINC000014976320,CC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@H](CC(C)C)[P@](=O)(O)C[C@@H](Cc1cc(-c2ccccc2)no1)C(=O)O,1
ZINC000029051606,CC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@H](CC(C)C)[P@](=O)(O)C[C@H](Cc1cc(-c2ccccc2)no1)C(=O)O,1
ZINC000029051504,CC(C)C[C@H](C[P@](=O)(O)[C@H]1CCCN1C(=O)OCc1ccccc1)C(=O)O,1
ZINC000029051517,O=C(O)[C@H](Cc1ccccc1)C[P@](=O)(O)[C@H]1CCCN1C(=O)OCc1ccccc1,1
ZINC000029128489,O=C(CS)N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)O,1
ZINC000002038743,COP(=O)(OC)Oc1ccc([N+](=O)[O-])c(C)c1,1
ZINC000029129064,O=C(N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)O)[C@@H](S)CC1CCCCC1,1
ZINC000029129030,O=C(N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)O)[C@@H](S)Cc1ccc2ccccc2c1,1
ZINC000014976282,CC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@H](CC(C)C)[P@](=O)(O)C[C@@H](Cc1ccccc1)C(=O)O,1
ZINC000029129029,O=C(N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)O)[C@@H](S)CCc1ccccc1,1
ZINC000014976273,CC(=O)N[C@@H](CC(C)C)C(=O)N[C@H](Cc1ccccc1)[P@](=O)(O)C[C@@H](Cc1ccccc1)C(=O)O,1
ZINC000027843717,O=C(O)[C@H](Cc1ccc(-c2ccccc2)cc1)NC(=O)[C@H](S)Cc1ccccc1,1
ZINC000029128446,CC(C)(S)C(=O)N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)O,1
ZINC000028228464,CC(C)C[C@H](N[C@H](Cc1ccccc1)N[P@](=O)(O)CNC(=O)[C@H](C)NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)O,1
