ID,SMILES,y
ZINC000028951410,COc1ccc(-c2ccccc2)cc1NS(=O)(=O)c1cc(Cl)cc(Cl)c1O,1
ZINC000001656422,O=C(O)C[C@@](O)(C(=O)O)[C@H](O)C(=O)O,1
ZINC000028951312,O=S(=O)(Nc1c(-c2ccccc2)cc(-c2ccccc2)cc1-c1ccccc1)c1cc(Cl)cc(Cl)c1O,1
ZINC000001903715,O=C(O)C[C@@](O)(C[C@H](O)CCCCC[C@H]1c2ccccc2-c2cc(Cl)ccc21)C(=O)O,1
ZINC000004394348,O=C(O)C[C@@](O)(C[C@H](O)CCCCC[C@@H]1c2ccccc2-c2cc(Cl)ccc21)C(=O)O,1
ZINC000095553968,O=C(O)C[C@](O)(C[C@@H](O)CCCCC[C@@H]1c2ccccc2-c2cc(Cl)ccc21)C(=O)O,1
ZINC000095553969,O=C(O)C[C@](O)(C[C@@H](O)CCCCC[C@H]1c2ccccc2-c2cc(Cl)ccc21)C(=O)O,1
ZINC000000006578,Cc1cc(O)c2c(c1)Cc1cc(O)c(Cl)c(O)c1C2=O,1
ZINC000013781081,Cc1cn(-c2cc(Cl)ccc2CCCCCC[C@@H](O)C[C@](O)(CC(=O)O)C(=O)O)cc1C,1
ZINC000095552848,Cc1cn(-c2cc(Cl)ccc2CCCCCC[C@H](O)C[C@@](O)(CC(=O)O)C(=O)O)cc1C,1
ZINC000028951435,O=C(OC/C=C\c1ccccc1)c1ccccc1NS(=O)(=O)c1cc(Cl)cc(Cl)c1O,1
ZINC000013781093,O=C(O)C[C@@](O)(C[C@H](O)CCCCCn1c(-c2ccccc2)cc2cc(Cl)ccc21)C(=O)O,1
ZINC000028951424,CC(C)[C@@H]1CC[C@@H](C)C[C@@H]1OC(=O)c1ccccc1NS(=O)(=O)c1cc(Cl)cc(Cl)c1O,1
ZINC000028951426,CC(C)[C@H]1CC[C@@H](C)C[C@@H]1OC(=O)c1ccccc1NS(=O)(=O)c1cc(Cl)cc(Cl)c1O,1
ZINC000036179286,CC(C)[C@H]1CC[C@@H](C)C[C@H]1OC(=O)c1ccccc1NS(=O)(=O)c1cc(Cl)cc(Cl)c1O,1
ZINC000036179293,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OC(=O)c1ccccc1NS(=O)(=O)c1cc(Cl)cc(Cl)c1O,1
ZINC000095553292,O=C(O)C[C@](O)(C[C@@H](O)CCCCCn1c(-c2ccccc2)cc2cc(Cl)ccc21)C(=O)O,1
ZINC000013781072,O=C(O)[C@H](O)[C@@](O)(C[C@H](O)CCCCCCc1ccc(Cl)cc1Cl)C(=O)O,1
ZINC000013781073,O=C(O)[C@@H](O)[C@@](O)(C[C@H](O)CCCCCCc1ccc(Cl)cc1Cl)C(=O)O,1
ZINC000079365773,O=C(O)[C@H](O)[C@](O)(C[C@@H](O)CCCCCCc1ccc(Cl)cc1Cl)C(=O)O,1
ZINC000001903710,O=C(O)C[C@@](O)(C[C@H](O)CCCCCCc1ccc(Cl)cc1Cl)C(=O)O,1
ZINC000005112778,O=C(O)C[C@](O)(C(=O)O)C(F)(F)C(=O)O,1
ZINC000013781096,O=C(O)C[C@@](O)(C[C@H](O)CCCCCn1c2ccccc2c2cc(Cl)ccc21)C(=O)O,1
ZINC000095552847,O=C(O)C[C@](O)(C[C@@H](O)CCCCCn1c2ccccc2c2cc(Cl)ccc21)C(=O)O,1
ZINC000013781074,O=C(O)C[C@@](O)(C[C@H](O)CCCCCCc1ccc(Cl)cc1-c1ccccc1)C(=O)O,1
ZINC000013781083,O=C(O)C[C@@](O)(C[C@H](O)CCCCCCc1ccc(Cl)cc1OCc1ccccc1)C(=O)O,1
ZINC000028951295,CC(C)(C)c1cc(NS(=O)(=O)c2cc(Cl)cc(Cl)c2O)cc(C(C)(C)C)c1,1
ZINC000013758169,O=C(O)C[C@@](O)(CC(=O)CCCCCCc1ccc(Cl)cc1Cl)C(=O)O,1
ZINC000013758171,O=C(O)C[C@](O)(CC(=O)CCCCCCc1ccc(Cl)cc1Cl)C(=O)O,1
ZINC000013781087,O=C(O)C[C@@](O)(C[C@H](O)CCCCCn1ccc2cc(Cl)cc(Cl)c21)C(=O)O,1
ZINC000013781097,O=C(O)C[C@@](O)(C[C@@H](O)CCCCCCc1ccc(Cl)cc1Cl)C(=O)O,1
ZINC000028951299,O=S(=O)(Nc1cc(Cl)cc(Cl)c1)c1cc(Cl)cc(Cl)c1O,1
ZINC000013758147,O=C(O)C[C@@H](CSCCCCCCc1ccc(Cl)cc1Cl)C(=O)O,1
ZINC000013758149,O=C(O)C[C@H](CSCCCCCCc1ccc(Cl)cc1Cl)C(=O)O,1
ZINC000013781075,O=C(O)C[C@@](O)(C[C@H](O)CCCCCCc1ccc(Cl)cc1-c1ccc(F)cc1)C(=O)O,1
ZINC000013781076,Cc1ccc(-c2cc(Cl)ccc2CCCCCC[C@@H](O)C[C@](O)(CC(=O)O)C(=O)O)cc1,1
ZINC000013758156,O=C(O)C[C@@](O)(CCCCCCCCc1ccc(Cl)cc1Cl)C(=O)O,1
ZINC000013758159,O=C(O)C[C@](O)(CCCCCCCCc1ccc(Cl)cc1Cl)C(=O)O,1
ZINC000013758164,O=C(O)C[C@@](O)(CCSCCCCCc1ccc(Cl)cc1Cl)C(=O)O,1
ZINC000013758167,O=C(O)C[C@](O)(CCSCCCCCc1ccc(Cl)cc1Cl)C(=O)O,1
ZINC000013781089,O=C(O)C[C@@](O)(C[C@H](O)CCCCCn1cc(Cc2ccccc2)c2cc(Cl)ccc21)C(=O)O,1
ZINC000013781095,O=C(O)C[C@@](O)(C[C@H](O)CCCCCn1c2c(c3cc(Cl)ccc31)CCCC2)C(=O)O,1
ZINC000003786349,CC(C)(CCCCCCCCCCC(C)(C)CC(=O)O)CC(=O)O,1
ZINC000013781086,O=C(O)C[C@@](O)(C[C@H](O)CCCCCCn1ccc2cc(Cl)ccc21)C(=O)O,1
ZINC000013758094,O=C(O)C[C@@](O)(CSCCCCCCc1ccc(Cl)cc1Cl)C(=O)O,1
ZINC000013758096,O=C(O)C[C@](O)(CSCCCCCCc1ccc(Cl)cc1Cl)C(=O)O,1
ZINC000013781085,O=C(O)C[C@@](O)(C[C@H](O)CCCCCn1ccc2cc(Cl)ccc21)C(=O)O,1
ZINC000013781080,O=C(O)C[C@@](O)(C[C@H](O)CCCCCCc1ccc(Cl)cc1-n1cccc1)C(=O)O,1
ZINC000013781078,O=C(O)C[C@@](O)(C[C@H](O)CCCCCCc1ccc(Cl)cc1-c1ccc(Cl)cc1)C(=O)O,1
ZINC000013781077,COc1ccc(-c2cc(Cl)ccc2CCCCCC[C@@H](O)C[C@](O)(CC(=O)O)C(=O)O)cc1,1
ZINC000028951307,CC(C)(C)c1ccc(C(C)(C)C)c(NS(=O)(=O)c2cc(Cl)cc(Cl)c2O)c1,1
ZINC000013781070,O=C(O)C[C@](O)(C(=O)O)[C@@H](O)CCCCCCCc1ccc(Cl)cc1Cl,1
ZINC000013758090,O=C(O)C[C@@](O)(CSCCCCCc1ccc(Cl)cc1Cl)C(=O)O,1
ZINC000013758092,O=C(O)C[C@](O)(CSCCCCCc1ccc(Cl)cc1Cl)C(=O)O,1
ZINC000028951417,CCCCCCc1ccc(NS(=O)(=O)c2cc(Cl)cc(Cl)c2O)cc1,1
