ID,SMILES,y
ZINC000036056301,CC(C)n1nc(-c2cc3cc(O)ccc3[nH]2)c2c(N)ncnc21,1
ZINC000299837880,COc1cc(-c2cc(-c3ccc(N4CCNCC4)cc3)cnc2N)cc(OC)c1OC,1
ZINC000096270777,CN1CCN(c2ccc(-c3cnc4c(-c5ccnc6ccccc56)cnn4c3)cc2)CC1,1
ZINC000096270779,c1ccc2c(-c3cnn4cc(-c5ccc(N6CCOCC6)cc5)cnc34)ccnc2c1,1
ZINC000299820165,COc1cc(-c2cc(-c3cccc(N4CCNCC4)c3)cnc2N)cc(OC)c1OC,1
ZINC000299839834,COc1cc(-c2cc(-c3cccc(NS(C)(=O)=O)c3)cnc2N)cc(OC)c1OC,1
ZINC000299836930,COc1cc(-c2cnn3cc(-c4ccc(N5CCNCC5)cc4)cnc23)cc(OC)c1OC,1
ZINC000299839846,COc1cc(OC)cc(-c2cc(-c3ccc(N4CCNCC4)cc3)cnc2N)c1,1
ZINC000095921309,COc1cc(-c2cncc(-c3ccc(N4CCNCC4)cc3)c2)cc(OC)c1OC,1
ZINC000299837044,COc1cc(-c2cc(-c3ccc(O)cc3)cnc2N)cc(OC)c1OC,1
ZINC000299839368,COc1ccc(-c2cc(-c3ccc(N4CCNCC4)cc3)cnc2N)cc1OC,1
ZINC000215969064,COc1cc(-c2cc(-c3ccc(N4CCNCC4)cc3)cnc2C)cc(OC)c1OC,1
ZINC000096173500,c1cc(-c2cnn3cc(-c4ccc(N5CCNCC5)cc4)cnc23)c2cccnc2c1,1
ZINC000055760827,COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1,1
ZINC000040977335,COc1ccc(-c2cnc3c(-c4cccc5ncccc45)cnn3c2)cc1,1
ZINC000040401756,COc1ccc(-c2cnc3c(-c4ccnc5ccccc45)cnn3c2)cc1,1
ZINC000058638788,COc1cc(-c2cc(-c3cccc(O)c3)cnc2N)cc(OC)c1OC,1
ZINC000040880920,c1ccc2c(-c3cnn4cc(-c5ccc(N6CCNCC6)cc5)cnc34)ccnc2c1,1
ZINC000096270776,c1cc(N2CCNCC2)ccc1-c1cnc2c(-c3cn[nH]c3)cnn2c1,1
ZINC000096270778,c1cc(N2CCOCC2)ccc1-c1cnc2c(-c3cn[nH]c3)cnn2c1,1
ZINC000299833608,COc1cc(-c2cc(-c3ccc(N4CCNCC4)cc3)cnc2N)ccc1Cl,1
ZINC000013829435,c1cc(-c2cnn3cc(-c4ccc(OCCN5CCCCC5)cc4)cnc23)ccn1,1
ZINC000003781738,C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O,1
ZINC000299835100,COc1cccc(-c2cc(-c3ccc(N4CCNCC4)cc3)cnc2N)c1,1
ZINC000299831482,COc1cc(-c2cnc(N)c(-c3cc(OC)c(OC)c(OC)c3)c2)ccc1O,1
ZINC000062260292,CC(C)Oc1ccc(-c2cnc3c(-c4ccnc5ccccc45)cnn3c2)cc1,1
ZINC000096270775,COc1ccc(-c2cnc3c(-c4cn[nH]c4)cnn3c2)cc1,1
ZINC000299833637,COc1cc(-c2cc(-c3ccc(N4CCNCC4)cc3)cnc2N)ccc1C,1
ZINC000299836978,Nc1ncc(-c2cccc(N3CCNCC3)c2)cc1-c1ccnc2ccccc12,1
ZINC000299831401,Nc1ncc(-c2ccc(N3CCNCC3)cc2)cc1-c1ccnc2ccccc12,1
ZINC000043201999,O=C(c1ccc(/C=C/c2n[nH]c3ccccc23)cc1)N1CCNCC1,1
ZINC000019862646,Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1,1
ZINC000053683345,COc1cc2/c(=N\c3ccc(Br)cc3F)nc[nH]c2cc1OCC1CCN(C)CC1,1
ZINC000002047743,CSc1cccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)c1,1
ZINC000103297550,Oc1cccc(Nc2ccnc3[nH]c4ccccc4c23)c1,1
ZINC000299836561,COc1cc(OC)cc(-c2cncc(-c3ccc(N4CCNCC4)cc3)c2)c1,1
ZINC000299831530,Nc1ncc(-c2ccc(N3CCNCC3)cc2)cc1-c1cccc2ncccc12,1
ZINC000299837078,CNc1ncc(-c2ccc(N3CCNCC3)cc2)cc1-c1cc(OC)c(OC)c(OC)c1,1
