ID,SMILES,y
ZINC000169352672,COc1nn(C)c2c1-c1cnc(N)c(n1)O[C@H](C)c1cc(F)ccc1C(=O)N(C)C2,1
ZINC000098208524,C[C@H]1Oc2cc(cnc2N)-c2c(nn(C)c2C#N)CN(C)C(=O)c2ccc(F)cc21,1
ZINC000145012611,C[C@H]1Oc2cc(cnc2N)-c2cc(S(C)(=O)=O)ccc2CN(C)C(=O)c2ccc(F)cc21,1
ZINC000098050687,Cc1nc([C@](C)(O)CO)sc1-c1cnc(N)c(O[C@H](C)c2cc(F)ccc2-n2nccn2)c1,1
ZINC000098209037,C[C@H]1Oc2cc(cnc2N)-c2c(C3CC3)nn(C)c2CN(C)C(=O)c2ccc(F)cc21,1
ZINC000144856880,Cc1nn(C)c2c1-c1cnc(N)c(n1)O[C@H](C)c1cc(F)ccc1C(=O)N(C)C2,1
ZINC000144870216,COc1nn(C)c2c1-c1cnc(N)c(c1)O[C@H](C)c1cc(F)ccc1C(=O)N(C)C2,1
ZINC000144939949,N#Cc1[nH]nc2c1-c1cnc(N)c(c1)OCc1cc(F)ccc1OCCC2,1
ZINC000169352670,C[C@H]1Oc2cc(cnc2N)-c2c(nn(C)c2C#N)CCOc2ccc(F)cc21,1
ZINC000169352671,C[C@H]1Oc2cc(cnc2N)-c2c(nn(C)c2C#N)CCCOc2ccc(F)cc21,1
ZINC000169352673,C[C@H]1Oc2nc(cnc2N)-c2cc(S(C)(=O)=O)ccc2CN(C)C(=O)c2ccc(F)cc21,1
ZINC000096272772,Cc1cc(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC(C)C)cc1C1CCNCC1,1
ZINC000098209030,Cc1nn(C)c2c1-c1cnc(N)c(c1)O[C@H](C)c1cc(F)ccc1C(=O)N(C)C2,1
ZINC000103249713,Cc1nn(C)cc1-c1cnc(N)c(O[C@H](C)c2cc(F)ccc2-n2nccn2)c1,1
ZINC000145044924,Cc1nn(C)c2c1-c1cnc(N)c(c1)OCc1cc(F)ccc1C(=O)N(C)C2,1
ZINC000169352668,COc1ncccc1-c1cnc(N)c(O[C@H](C)c2cc(F)ccc2-n2nccn2)n1,1
ZINC000169352669,C[C@@H](Oc1cc(-c2cccc(S(C)(=O)=O)c2)cnc1N)c1cc(F)ccc1-n1nccn1,1
ZINC000254092345,CC(C)NC(=O)[C@H]1CC[C@@H](n2c(NC(=O)c3cc(F)cc(F)c3)nc3ccc(CN4CCC(C(C)(C)O)CC4)cc32)CC1,1
ZINC000147521830,COc1cc(N2CCC(N3CCOCC3)CC2)ccc1-c1nc2c(N[C@H]3[C@@H](C(N)=O)[C@@H]4C=C[C@H]3C4)c(Cl)cnc2[nH]1,1
ZINC000144955087,N#Cc1n[nH]c2c1-c1cnc(N)c(c1)OCc1cc(F)ccc1OCC2,1
ZINC000254094473,CC(C)NC(=O)[C@H]1CC[C@@H](n2c(NC(=O)c3ccc(F)cc3)nc3ccc(CN4CCC(C(C)(C)O)CC4)cc32)CC1,1
ZINC000145081291,Cn1ncc2c1-c1cnc(N)c(c1)OCc1cc(F)ccc1OCCC2,1
ZINC000040848255,COc1cc2c(cc1Nc1nc(Nc3ccsc3C(N)=O)c3cc[nH]c3n1)N(C(=O)CN(C)C)CC2,1
ZINC000053186795,COc1cc(N2CCN(C(C)C)CC2)ccc1Nc1nc(Nc2cccc(F)c2C(N)=O)c2cc[nH]c2n1,1
ZINC000103243216,C[C@@H](Oc1cc(-c2ccc3c(c2)NC(=O)C32CCN(C)CC2)cnc1N)c1c(Cl)ccc(F)c1Cl,1
ZINC000073197433,COc1cc(N2CCN(C)CC2)c2cc1Nc1ncc(Cl)c(n1)Nc1cc(ccc1N(C)S(C)(=O)=O)CC2,1
ZINC000043202844,CNC(=O)c1c(F)cccc1Nc1nc(Nc2cc3c(cc2OC)CCN3C(=O)CN(C)C)nc2[nH]ccc12,1
ZINC000098209090,C[C@H]1Oc2nc(cnc2N)-c2c(nc3ccc(C#N)cn23)CN(C)C(=O)c2ccc(F)cc21,1
ZINC000043078276,Cc1cc(O)cc(-c2nn(CC#N)cc2-c2cc(NC[C@H](C)O)nc(-c3cccnc3)n2)c1,1
ZINC000089630357,COc1cc(N2CCC(N(C)C)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2P(C)(C)=O)n1,1
ZINC000169329265,COc1cc(CN2CCN(C)CC2)ccc1-c1nc2c(N[C@H]3[C@@H](C(N)=O)[C@@H]4C=C[C@H]3C4)c(Cl)cnc2[nH]1,1
ZINC000169329262,COc1cc(N2CCN(C)CC2)ccc1-c1nc2c(N[C@H]3[C@@H](C(N)=O)[C@@H]4C=C[C@H]3C4)c(Cl)cnc2[nH]1,1
ZINC000299826099,CC(C)S(=O)(=O)c1ccccc1Nc1nc(Nc2cccc(NC(=O)CN3CCN(C(=O)/C=C/CN(C)C)CC3)c2)ncc1Cl,1
ZINC000035902489,C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,1
ZINC000143678781,COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1-c1nc2c(N[C@H]3[C@@H](C(N)=O)[C@@H]4C=C[C@H]3C4)c(Cl)cnc2[nH]1,1
ZINC000299826410,CC(C)S(=O)(=O)c1ccccc1Nc1nc(Nc2cccc(NC(=O)C3CN(C(=O)CCCN(C)C)C3)c2)ncc1Cl,1
ZINC000098209651,CNC(=O)c1ccc(F)cc1[C@@H](C)Oc1nc(-c2cccnc2OC)cnc1N,1
ZINC000040918900,CCCN1CCC=C(c2ccc(Nc3nc(Nc4ccccc4C(N)=O)c4cc[nH]c4n3)c(C)c2)C1,1
ZINC000084713097,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2ccc3c(c2)CCCC(=O)N3C)ncc1Cl,1
ZINC000254091837,CC(C)NC(=O)[C@H]1CC[C@@H](n2c(NC(=O)c3ccc(F)cc3)nc3ccc(CNCC(C)(C)O)cc32)CC1,1
ZINC000254093022,CC(C)NC(=O)[C@H]1CC[C@@H](n2c(NC(=O)c3ccncc3)nc3ccc(CN4CCC(C(C)(C)O)CC4)cc32)CC1,1
ZINC000254093766,CC(C)NC(=O)[C@H]1CC[C@@H](n2c(NC(=O)c3ccc(C#N)cc3)nc3ccc(CN4CCC(C(C)(C)O)CC4)cc32)CC1,1
ZINC000254093801,CCOC(=O)[C@H]1CC[C@@H](n2c(NC(=O)c3ccccc3)nc3ccc(CN4CCCCC4)cc32)CC1,1
ZINC000254094665,CC(C)NC(=O)[C@H]1CC[C@@H](n2c(NC(=O)c3cccc(C#N)c3)nc3ccc(CN4CCC(C(C)(C)O)CC4)cc32)CC1,1
ZINC000254094729,CC(C)NC(=O)[C@H]1CC[C@@H](n2c(NC(=O)c3ccc(C#N)c(F)c3)nc3ccc(CN4CCC(C(C)(C)O)CC4)cc32)CC1,1
ZINC000254094747,CC(C)NC(=O)[C@H]1CC[C@@H](n2c(NC(=O)c3cccc(F)c3)nc3ccc(CN4CCC(C(C)(C)O)CC4)cc32)CC1,1
