ID,SMILES,y
ZINC000299861976,Cn1cc(Cn2cnc(-c3cnn(C)c3)c2-c2ccc(C#N)cc2)cn1,1
ZINC000299858344,Cc1cn(Cn2cnc(-c3cnn(C)c3)c2-c2ccc(C#N)cc2F)nn1,1
ZINC000299865033,Cc1cn(Cn2cnc(-c3cnn(C)c3)c2-c2ccc(C#N)c(F)c2)nn1,1
ZINC000263621294,Cc1cn(CCn2cnc(-c3cnn(C)c3)c2-c2ccc(C#N)cc2)nn1,1
ZINC000098209246,Cc1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)c(N)c(C)c1O,1
ZINC000299858737,Cc1cn(Cn2cnc(-c3cnn(C)c3)c2-c2ccc([N+](=O)[O-])cc2)nn1,1
ZINC000097758762,Cc1cc(/N=N/c2ccc(S(=O)(=O)/N=c3/cccc[nH]3)cc2)c(N)cc1O,1
ZINC000103279573,Cc1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)c(N)c(Cl)c1O,1
ZINC000299862760,Cc1cn(CCn2cnc(-c3ccncc3)c2-c2ccc(C#N)cc2)nn1,1
ZINC000299859454,Cc1cn(CCn2cnc(-c3cncs3)c2-c2ccc(C#N)cc2)nn1,1
ZINC000048646276,CNC(=O)N1CCc2[nH]c3ccc(Cl)cc3c2C1,1
ZINC000025548934,CC(=O)N1CCc2[nH]c3ccc(Br)cc3c2C1,1
ZINC000043207851,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,0
ZINC000002005990,CCCCCOc1c(OC)ccc2cc(C(=O)NCCc3ccncc3)c(=O)[nH]c12,0
ZINC000095582294,CC(C)(C)[C@@H](NC(=O)c1c[nH]c2ncc(C3CC3)nc12)C(=O)N1CC(C#N)C1,0
ZINC000299822858,CCn1c(Nc2ccncc2F)nc2c([C@H]3CCCN(C(=O)C4(C#N)CC4)C3)csc2c1=O,0
ZINC000085537053,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@@H]12)C3(C)C,0
ZINC000003976004,CC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)N[C@@H](CC(=O)O)C(=O)CCCc1ccccc1)C(C)C,0
ZINC000013682420,CC#CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1,0
ZINC000088343207,C[C@H]1CN(c2ccc3c(Nc4ccc(Cl)c(-c5ncc(-c6ccccc6)[nH]5)c4)nccc3c2)C[C@@H](C)O1,0
ZINC000040848255,COc1cc2c(cc1Nc1nc(Nc3ccsc3C(N)=O)c3cc[nH]c3n1)N(C(=O)CN(C)C)CC2,0
ZINC000164859715,COc1ccc2c(c1)[C@]1(C[C@H]1c1ccc3c(/C=C/c4ccc(CN5CCOCC5)cc4)n[nH]c3c1)C(=O)N2C,0
ZINC000040430336,O/N=C1\CCc2cc(-c3cn([C@@H]4CCC[C@H](O)C4)nc3-c3ccncc3)ccc21,0
ZINC000026378892,C=CS(=O)(=O)/N=C(\O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](Cc1ccc(-c2ccno2)cc1)N(C)C(=O)c1cc(C)cc(C)c1,0
