ID,SMILES,y
ZINC000198025300,O=C(Nc1nc2ccccc2s1)c1cccc2c1CN(c1nc(C(=O)O)c(CCCCOc3ccc(-n4ncc5cncnc54)cc3)s1)CC2,1
ZINC000094303099,CN(C)CC[C@H](CSc1ccccc1)Nc1ccc(S(=O)(=O)/N=C(\O)c2ccc(N3CCN(Cc4ccccc4-c4ccc(Cl)cc4)CC3)cc2)cc1[N+](=O)[O-],1
ZINC000150533847,CN(C)CC[C@H](CSc1ccccc1)Nc1ccc(S(=O)(=O)Nc2ccc(N3CCN(c4cccc(-c5c(-c6ccc(Cl)cc6)cn(C)c5C(=O)O)c4)CC3)cc2)cc1[N+](=O)[O-],1
ZINC000029464851,CN(C)CC[C@H](CSc1ccccc1)Nc1ccc(S(=O)(=O)/N=C(\O)c2ccc(N3CCC(=Cc4ccccc4Cl)CC3)cc2)cc1[N+](=O)[O-],1
ZINC000150533852,CCc1c(-c2ccc(Cl)cc2)c(-c2cccc(N3CCN(c4ccc(NS(=O)(=O)c5ccc(N[C@H](CCN(C)C)CSc6ccccc6)c([N+](=O)[O-])c5)cc4)CC3)c2)c(C(=O)O)n1C,1
ZINC000150571920,Cc1c(C(=O)NS(C)(=O)=O)c(-c2cccc(N3CCN(c4ccc(NS(=O)(=O)c5ccc(N[C@H](CCN(C)C)CSc6ccccc6)c([N+](=O)[O-])c5)cc4)CC3)c2)c(-c2ccc(Cl)cc2)n1C,1
ZINC000095540681,COc1ccc(-c2ccccc2CN2CCN(c3ccc(/C(O)=N/S(=O)(=O)c4ccc(N[C@H](CCN(C)C)CSc5ccccc5)c([N+](=O)[O-])c4)cc3)CC2)cc1,1
ZINC000095541623,CN(C)CC[C@H](CSc1ccccc1)Nc1ccc(S(=O)(=O)/N=C(\O)c2ccc(N3CCN(Cc4ccccc4-c4cccnc4)CC3)cc2)cc1[N+](=O)[O-],1
ZINC000095542923,CN(C)CC[C@H](CSc1ccccc1)Nc1ccc(S(=O)(=O)/N=C(\O)c2ccc(N3CCN(Cc4ccccc4-c4ccccc4)CC3)cc2)cc1[N+](=O)[O-],1
ZINC000095544825,CSc1ccccc1CN1CCN(c2ccc(/C(O)=N/S(=O)(=O)c3ccc(N[C@H](CCN(C)C)CSc4ccccc4)c([N+](=O)[O-])c3)cc2)CC1,1
ZINC000095544836,CN(C)CC[C@H](CSc1ccccc1)Nc1ccc(S(=O)(=O)/N=C(\O)c2ccc(N3CCN(Cc4ccccc4C4CCCCC4)CC3)cc2)cc1[N+](=O)[O-],1
ZINC000095544839,COc1cccc(-c2ccccc2CN2CCN(c3ccc(/C(O)=N/S(=O)(=O)c4ccc(N[C@H](CCN(C)C)CSc5ccccc5)c([N+](=O)[O-])c4)cc3)CC2)c1,1
ZINC000095544854,COC1(Cc2ccccc2-c2ccccc2)CCN(c2ccc(/C(O)=N/S(=O)(=O)c3ccc(N[C@H](CCN(C)C)CSc4ccccc4)c([N+](=O)[O-])c3)cc2)CC1,1
ZINC000095544896,COC1(Cc2ccc(-c3ccccc3)cc2)CCN(c2ccc(/C(O)=N/S(=O)(=O)c3ccc(N[C@H](CCN(C)C)CSc4ccccc4)c([N+](=O)[O-])c3)cc2)CC1,1
ZINC000095544911,CN(C)CC[C@H](CSc1ccccc1)Nc1ccc(S(=O)(=O)/N=C(\O)c2ccc(N3CCN(Cc4ccccc4-c4ccc(F)cc4)CC3)cc2)cc1[N+](=O)[O-],1
ZINC000095544917,CN(C)CC[C@H](CSc1ccccc1)Nc1ccc(S(=O)(=O)/N=C(\O)c2ccc(N3CCN(Cc4ccccc4-c4ccccc4Cl)CC3)cc2)cc1[N+](=O)[O-],1
ZINC000095544929,COC1(Cc2ccccc2Cl)CCN(c2ccc(/C(O)=N/S(=O)(=O)c3ccc(N[C@H](CCN(C)C)CSc4ccccc4)c([N+](=O)[O-])c3)cc2)CC1,1
ZINC000095545330,CN(C)CC[C@H](CSc1ccccc1)Nc1ccc(S(=O)(=O)/N=C(\O)c2ccc(N3CCC(=Cc4ccccc4-c4ccccc4)CC3)cc2)cc1[N+](=O)[O-],1
ZINC000095545332,CN(C)CC[C@H](CSc1ccccc1)Nc1ccc(S(=O)(=O)/N=C(\O)c2ccc(N3CCN(Cc4ccccc4C(F)(F)F)CC3)cc2)cc1[N+](=O)[O-],1
