ID,SMILES,y
ZINC000095504909,CC(=O)N1c2ccc(-c3ccc(C(=O)O)cc3)cc2[C@H](Nc2ccc(Cl)cc2)C[C@@H]1C,1
ZINC000034195840,Cc1nnc2n1-c1ccccc1C(c1ccccc1)=N[C@@H]2NC(=O)OCc1ccccc1,1
ZINC000034195842,Cc1nnc2n1-c1ccccc1C(c1ccccc1)=N[C@H]2NC(=O)OCc1ccccc1,1
ZINC000058655571,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,1
ZINC000169324311,CC(=O)N1c2ccc(-c3ccc(NC(=O)CCCCCCC(=O)NO)cc3)cc2[C@H](NC(=O)OC(C)C)C[C@@H]1C,1
ZINC000057318556,Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)OC(C)(C)C)c1nnc(C)n1-2,1
ZINC000117475170,CC(=O)N1c2ccc(-c3ccc(C(=O)O)cc3)cc2[C@H](Nc2ccc(C)cc2)C[C@@H]1C,1
ZINC000084618969,COc1cc2c(cc1-c1c(C)noc1C)ncc1[nH]c(=O)n([C@H](C)c3ccccc3)c12,1
ZINC000064837476,Cc1ccc(-c2c(C)noc2C)cc1S(=O)(=O)NC1CCCC1,1
ZINC000073069302,COc1cc2c(cc1-c1c(C)noc1C)ncc1[nH]c(=O)n([C@H](C)c3ccccn3)c12,1
ZINC000084619502,COc1cc2c(cc1-c1c(C)noc1C)ncc1[nH]c(=O)n(-c3ccccc3C(C)(C)C)c12,1
ZINC000084633776,COc1cc2c(cc1-c1c(C)noc1C)ncc1[nH]c(=O)n(Cc3ccccc3)c12,1
ZINC000084634126,COc1cc2c(Nc3ccccc3F)c(C(N)=O)cnc2cc1-c1c(C)noc1C,1
ZINC000117490807,CC(=O)N1c2ccc(-c3ccc(CN4CCCCC4)cc3)cc2[C@H](Nc2ccccc2)C[C@@H]1C,1
ZINC000299835125,COC(=O)c1ccc(-c2ccc3c(c2)[C@H](Nc2ccc(C(C)(C)C)cc2)C[C@H](C)N3C(C)=O)cc1,1
