ID,SMILES,y
ZINC000006794685,COc1ccccc1C(=O)Nc1cc2c(cc1N1CCCC1)n(C)c(=O)n2C,1
ZINC000008594565,COc1ccccc1C(=O)Nc1cc2c(cc1N1CCCCC1)n(C)c(=O)n2C,1
ZINC000006915266,Cn1c(=O)n(C)c2cc(N3CCCCC3)c(NC(=O)c3ccccc3)cc21,1
ZINC000020853236,COc1cccc(C(=O)Nc2cc3c(cc2N2CCCCC2)n(C)c(=O)n3C)c1,1
ZINC000008594629,COc1ccccc1C(=O)Nc1cc2c(cc1N1CCOCC1)n(C)c(=O)n2C,1
ZINC000020853974,COc1cc2c(cc1NC(=O)c1ccccc1OC)n(C)c(=O)n2C,1
ZINC000001063855,Cc1ccc(S(=O)(=O)Nc2ccc3c(c2)n(C)c(=O)n3C)c(C)c1,1
ZINC000006794927,COc1cccc(C(=O)Nc2cc3c(cc2N2CCCC2)n(C)c(=O)n3C)c1,1
ZINC000008594568,Cc1ccccc1C(=O)Nc1cc2c(cc1N1CCCCC1)n(C)c(=O)n2C,1
ZINC000020178421,Cn1c(=O)n(C)c2cc(N3CCCCC3)c(NC(=O)Cc3ccccc3)cc21,1
ZINC000006794912,COc1cccc(C(=O)Nc2cc3c(cc2N2CCOCC2)n(C)c(=O)n3C)c1,1
ZINC000020178379,Cn1c(=O)n(C)c2cc(N3CCCCC3)c(NC(=O)C(C)(C)C)cc21,1
ZINC000299823568,COc1ccccc1C(=O)Nc1cc2[nH]c(=O)n(C)c2cc1N1CCCCC1,1
ZINC000020991656,Cn1c(=O)n(C)c2cc(N3CCCC3)c(NC(=O)Cc3ccccc3)cc21,1
ZINC000009607466,COc1ccccc1C(=O)Nc1cc2c(cc1C)n(C)c(=O)n2C,1
ZINC000004487941,COc1ccccc1C(=O)Nc1ccc2c(c1)n(C)c(=O)n2C,1
ZINC000004488106,COc1cccc(C(=O)Nc2ccc3c(c2)n(C)c(=O)n3C)c1,1
ZINC000009607429,COc1cccc(C(=O)Nc2cc3c(cc2C)n(C)c(=O)n3C)c1,1
ZINC000000812404,Cn1c(=O)n(C)c2cc(C(N)=O)ccc21,1
ZINC000040424027,CC(C)Cc1ccccc1C(=O)N(CCc1ccc(Cl)cc1)C1CCC2(CC1)OCCO2,0
ZINC000001587358,CCCCN(CCCC)C(=S)S,0
ZINC000035049805,CNc1ncc2cc(-c3cc(C(=O)Nc4cccc(C(F)(F)F)c4C)ccc3C)ccc2n1,0
ZINC000034150374,Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1N1Cc2cnc(N)nc2N(C)C1=O,0
ZINC000006745792,COc1cc(Nc2ncc(F)c(Nc3ccc4c(n3)NC(=O)C(C)(C)O4)n2)cc(OC)c1OC,0
ZINC000084708180,CN(C)C[C@@H](OC(=O)N1Cc2c(n[nH]c2NC(=O)C(C)(C)C(F)(F)F)C1(C)C)c1ccccc1,0
ZINC000170110498,CCCCB(O)c1ccccc1,0
ZINC000045261490,Cc1c[nH]c2ncnc(N3CCN(/C(=N\c4cccc(C(=O)NCCO)c4)NC#N)[C@@H](C)C3)c12,0
ZINC000231428538,C[C@@]12Cc3[nH]nc(C(=O)Nc4cnn([C@H](c5ccccc5)[C@H]5CCCCS5(=O)=O)c4)c3C[C@@H]1C2(F)F,0
ZINC000013983251,COc1ccc(F)c(F)c1C(=O)c1cnc(NC2CCN(S(C)(=O)=O)CC2)nc1N,0
ZINC000299861976,Cn1cc(Cn2cnc(-c3cnn(C)c3)c2-c2ccc(C#N)cc2)cn1,0
ZINC000169357943,CC(=O)N[C@@H](CCCCNC(=O)CSCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)CO[P@@](=O)(O)O[P@@](=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)C(N)=O,0
ZINC000299865909,CN1CCN(c2ccc(-c3nc4c(N5CCN(CC(=O)Nc6nccs6)CC5)c(Cl)cnc4[nH]3)cc2)CC1,0
ZINC000003814434,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,0
ZINC000016052569,Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4ccccc4)c3)cc12,0
ZINC000028950516,Cc1ccc(O)cc1Nc1ccnc(Nc2cccc(C(N)=O)c2)n1,0
ZINC000043206474,O=C(Nc1ccc(OC2(C(=O)O)CC2)cc1F)[C@H](C1CCCCC1)n1c(-c2ccc(Cl)cc2)nc2cc(F)c(F)cc21,0
ZINC000062232986,COC(=O)c1ccnc(-c2cc(C(=O)O)ccn2)c1,0
ZINC000006717510,COc1cccc(Nc2c(C(N)=O)cnc3c(C)cc(S(=O)(=O)c4cccc(C(=O)N(C)C)c4)cc23)c1,0
