ID,SMILES,y
ZINC000169341682,CCOc1cc(F)c(Cn2nc(-c3ncc(OC)c(Nc4ccncc4)n3)c3c2CCC3)c(F)c1,1
ZINC000169341684,CCOc1cc(F)c(Cn2nc(-c3ncc(OCC4(CO)COC4)c(Nc4ccncc4)n3)c3c2CCC3)c(F)c1,1
ZINC000169341683,CCOc1cc(F)c(Cn2nc(-c3ncc(OCCN(C)C)c(Nc4ccncc4)n3)c3c2CCC3)c(F)c1,1
ZINC000169341691,CS(=O)(=O)CCOc1cnc(-c2nn(Cc3ccccc3F)c3c2CCC3)nc1Nc1ccncc1C(N)=O,1
ZINC000205937500,NC(=O)c1nnc(N[C@@H]2CCCC[C@@H]2N)nc1Nc1cccc2cc[nH]c12,1
ZINC000169341686,CCOC(=O)c1cnccc1Nc1nc(-c2nn(Cc3ccccc3F)c3c2CCC3)ncc1Oc1ccccc1C(=O)OCC,1
ZINC000169341689,NC(=O)c1cnccc1N(CCO)c1nc(-c2nn(Cc3ccccc3F)c3c2CCC3)ncc1OCCO,1
ZINC000049047821,O=C(Nc1cc2cc[nH]c(=O)c2cc1Cl)[C@@H]1CNC[C@H]1c1ccc(Cl)cc1,0
ZINC000040401732,CC(C)c1n[nH]c2c(=O)[nH]c(Cc3cccc(Cl)c3)nc12,0
ZINC000299862535,CCS(=O)(=O)N1CCN(c2ccc(OCc3c(-c4cccc5c(CCCOc6cccc7ccccc67)c(C(=O)O)n(CCN6CCOCC6)c45)c(C)nn3C)cc2)CC1,0
ZINC000299839340,COc1ccccc1N1CCN(C(=O)/C=C/c2noc(-c3cc(Cl)c(O)cc3O)c2-c2ccc(O)cc2)CC1,0
ZINC000003814434,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,0
ZINC000013559567,C[C@@H]1NC(=O)[C@H](CCCCCC(=O)[C@@H]2CO2)NC(=O)[C@H]2CCCN2C(=O)[C@H](C)NC1=O,0
ZINC000038493164,CC1(C)CCC(C)(C)c2cc(C#Cc3ccc(C(=O)O)cc3)ccc21,0
